attributes.Good For.latenight,attributes.Parking.lot,business_id,categories,name,attributes.Price Range,review_count,state,full_address,city,stars,latitude,longitude,neighborhoods
FALSE,,__CQhr0M-OpKdu0DXgGcaQ,"['Mexican', 'Restaurants']",Sylvia's La Canasta,1,7,AZ,"3824 W Indian School Rd
Phoenix, AZ 85019",Phoenix,2.5,33.4952465,-112.1410799,[]
FALSE,FALSE,__kNfrrGoUXoF-BYciMU_Q,"['Breakfast & Brunch', 'American (Traditional)', 'Restaurants']",Bite Breakfast & Lunch,2,428,NV,"4165 S Grand Canyon Dr
Spring Valley
Las Vegas, NV 89147",Las Vegas,4.5,36.11391655,-115.3086255,['Spring Valley']
FALSE,FALSE,__Y2jjdCFHvq3rzSbpDBlw,"['Cafes', 'Restaurants']",Café Crèpe,2,20,QC,"374 Rue Sainte-Catherine O
Ville-Marie
montreal, QC H3B 1A1",montreal,4,45.5057561,-73.567298,['Ville-Marie']
FALSE,FALSE,_078AkowGpJ00o2FZtnUoA,"['Sushi Bars', 'Restaurants']",Sushi St-Denis,2,41,QC,"1669 rue Saint-Denis
Ville-Marie
montreal, QC H2X 3K4",montreal,3,45.5152647,-73.5635655,['Ville-Marie']
FALSE,FALSE,_0CpbHd0QcxblPByFYkaOw,"['Burgers', 'Fast Food', 'Restaurants']",Burger de Ville,2,41,QC,"5282 Boulevard Saint-Laurent
Plateau-Mont-Royal
montreal, QC H2T 1S1",montreal,4,45.5243878,-73.5959918,['Plateau-Mont-Royal']
FALSE,FALSE,_0LwsuDU1lG2lwFBrCgzCA,"['Thai', 'Asian Fusion', 'Chinese', 'Restaurants']",Red Bowl Asian Bistro,2,50,NC,"3538 Mt Holly Huntersville Rd
Charlotte, NC 28216",Charlotte,3.5,35.33737913,-80.93515368,[]
FALSE,FALSE,_0UC6YiwhkgLOJWxMmMQQQ,"['Pizza', 'Restaurants']",Giorgio's Place,1,25,PA,"908 Western Ave
North Side
Pittsburgh, PA 15233",Pittsburgh,3.5,40.4520512,-80.0170515,['North Side']
FALSE,FALSE,_0xMKAK1_ODB_k1CKiI__Q,"['Fast Food', 'Restaurants']",Yum Yum,1,3,EDH,"Fleshmarket Close
Old Town
Edinburgh EH1 1",Edinburgh,3.5,55.953252,-3.188267,['Old Town']
FALSE,FALSE,_-1EgXrkOlKajCsmasuEgg,"['Restaurants', 'Italian']",Village Tavern and Trattoria,2,28,PA,"424 S Main St
West End
Pittsburgh, PA 15220",Pittsburgh,3.5,40.441158,-80.03373347,['West End']
FALSE,FALSE,_1GI_asXVGhOJMNF51SdlQ,"['Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants']",Taco Bell,1,6,AZ,"9380 W. Northern Avenue
Glendale, AZ 85305",Glendale,2.5,33.551799,-112.261029,[]
,,_1kpFsEZH1VxPcTtEMtd1Q,"['Pizza', 'Restaurants']",Pizza Hut,1,6,AZ,"1450 N Dysart Rd
Avondale, AZ 85323",Avondale,1.5,33.44949699,-112.3427564,[]
FALSE,FALSE,_1qRvGFwQdVmJkuSaO0MjA,"['Sushi Bars', 'Restaurants']",Tora Sushi,2,7,QC,"150 Rue Beaubien E
Rosemont-La Petite-Patrie
montreal, QC H2S 1R2",montreal,3.5,45.5314502,-73.6072027,['Rosemont-La Petite-Patrie']
FALSE,TRUE,_20WCD89imWx15jlxv7kGg,"['Sushi Bars', 'Japanese', 'Chinese', 'Restaurants']",Seksun Sushi,2,134,AZ,"1175 W Ray Rd
Chandler, AZ 85224",Chandler,3.5,33.32013,-111.862674,[]
,,_2BQyxiY4q6xBNh3LgoX0A,"['Burgers', 'Hot Dogs', 'Restaurants']",Chez Gerard,,7,QC,"385 Boul Cure-Labelle
Fabreville, QC H7P 2P3",Fabreville,4.5,45.5762576,-73.7881755,[]
FALSE,FALSE,_2DT03K8fWh82Y9tBVYMKQ,"['Fast Food', 'Sandwiches', 'Restaurants']",Subway,1,8,AZ,"6805 N 19th Ave
Phoenix, AZ 85015",Phoenix,3.5,33.5368504,-112.099065,[]
TRUE,TRUE,_2FUpthYr7h9VLNbe9Gxyw,"['Bars', 'Restaurants', 'American (Traditional)', 'Sports Bars', 'Nightlife']",Porchlight Grille,1,75,NV,"8416 W Desert Inn Rd
Westside
Las Vegas, NV 89117",Las Vegas,4,36.130313,-115.274574,['Westside']
,,_2HFbrYZFp2p59hptZeDbw,"['Fast Food', 'Sandwiches', 'Restaurants']",Subway,1,7,NV,"1750 N Buffalo Dr
Las Vegas, NV 89128",Las Vegas,4,36.1906225,-115.2588414,[]
FALSE,FALSE,_2HWFHK32CRER39vR40oRQ,"['Pizza', 'Hot Dogs', 'Sandwiches', 'Restaurants']",Royal Sous-Marins,1,8,QC,"10 Rue Bernard Ouest
Plateau-Mont-Royal
montreal, QC H2T 2J7",montreal,3.5,45.5270321,-73.6021762,['Plateau-Mont-Royal']
FALSE,TRUE,_2RBxybvzNmw2k1_jJTe1Q,"['Chinese', 'Restaurants']",China Tango,1,150,NV,"1500 N Green Valley Pkwy
Henderson, NV 89074",Henderson,4,36.02953738,-115.0858369,[]
FALSE,FALSE,_2SV0T9wUI2YK4rEfeLhMg,"['Bars', 'Breakfast & Brunch', 'Burgers', 'Nightlife', 'Sports Bars', 'Restaurants']",Orange Burgers & Brunch,2,20,QC,"64 Rue Prince Arthur Est
Plateau-Mont-Royal
montreal, QC H2X 1B3",montreal,4,45.514486,-73.571842,['Plateau-Mont-Royal']
FALSE,FALSE,_31B--Q8eNp8ZLQ8bJabOw,"['Pubs', 'Bars', 'Nightlife', 'British', 'Restaurants']",Nor Loch Bar,3,11,EDH,"Waverley Railway Station
Old Town
Edinburgh EH1 1BB",Edinburgh,2.5,55.9519615,-3.189944,['Old Town']
FALSE,TRUE,_3f8o37w8APyUboCgwPkhA,"['Restaurants', 'Pizza', 'Gluten-Free', 'Italian']",Buon Gusto Ristorante,2,279,NV,"2642 W Horizon Ridge Pkwy
Ste A2
Anthem
Henderson, NV 89052",Henderson,4,36.0019645,-115.1031259,['Anthem']
