Business_id,Name,City,Price Range,Review Count,Stars,Latitude,Longitude,Cuisine
_0LwsuDU1lG2lwFBrCgzCA,Red Bowl Asian Bistro,Charlotte,2,50,3.5,35.33737913,-80.93515368,Thai
_4_Qn9WZVwofeaqjgQG2Zw,Fahrenheit,Charlotte,3,334,3.5,35.22258523,-80.84109407,American (New)
_8QoZBmm4hzyrPMdAwXhZQ,The Mandrake,Charlotte,2,56,3.5,35.228893,-80.845776,Anonymous
_91N3Q_MB5Nula56ZWXzSA,Shoney's Restaurants,Charlotte,0,18,2,35.3052993,-80.7510223,Burgers
_Bh7HA8P570v2DIsltppZQ,Penn Station East Coast Subs,Charlotte,1,21,3.5,35.1611282,-80.8493173,Anonymous
_BQ5JOUWDRgBXNylMSVpOw,Louis'grille,Charlotte,1,23,3.5,35.3212518,-80.6596541,Anonymous
_Bz6YWNI5bi0gqQI4GLvqQ,Jason's Deli,Charlotte,1,50,4,35.0884041,-80.8789436,Anonymous
_CBTn2OXDZFLmDfmZFvnHg,Qdoba Mexican Eats,Charlotte,0,6,3.5,35.02313743,-80.84831721,Mexican
_CSt3oYGYC3uVaifWK0IIg,Zaxby's,Charlotte,1,3,2.5,35.2113988,-80.6939831,Fast Food
_gzo4jScQtavLCHzJo905Q,Midnight Diner,Charlotte,1,391,3.5,35.2195,-80.8521952,Breakfast & Brunch
_h-wWBfKI_cRnnOB5Bkgag,Sub Station II,Charlotte,1,30,3,35.213409,-80.8554748,Anonymous
_JPzBYy24mIK-Iq6xv460A,TK Cafe,Charlotte,1,10,4,35.2310245,-80.8381266,Coffee & Tea
_LYz2vdGyXsV-8b-_T47ag,Le's Sandwiches & Cafe,Charlotte,1,260,4.5,35.25599965,-80.79198092,Vietnamese
_mrGYF6uScU24LcwshEqCA,Kabob Grill,Charlotte,2,124,3.5,35.2031402,-80.8450182,Mediterranean
_naNO-mZQjTav4iLf5TFmA,Chicken King,Charlotte,1,5,4,35.295969,-80.79768,Burgers
_O4NL-cs-Tx1Bb0TTjr5oA,Ty's Wings & Tings,Charlotte,2,17,4,35.2345297,-80.7376363,Chicken Wings
_O9e1y02fxsywUvj7hFiGQ,Taco Bell,Charlotte,1,8,2.5,35.161153,-80.876261,Fast Food
_PINIylE-HAtznOkeQ6OOw,Enso Asian Bistro & Sushi Bar,Charlotte,2,271,3,35.225378,-80.841961,Sushi Bars
_qvxFHGbnbrAPeWBVifJEQ,Lenny's Sub Shop,Charlotte,1,27,3.5,35.3349969,-80.8129698,American (New)
_qvYa_VkaAZLi_k0Bjl_JA,Noodles & Company,Charlotte,1,20,3,35.0984229,-80.780416,Anonymous
_sYVQM-EIWrwgyi-xKVDVg,KFC,Charlotte,0,4,3,35.2284,-80.9239,Fast Food
_ULYg16ncUuhWUsACetojw,Truc Vietnamese Cuisine,Charlotte,2,30,4,35.2561847,-80.7911787,Vietnamese
_UYJfg5GbahLiEDU1HuQhQ,Qdoba Mexican Grill,Charlotte,1,19,3.5,35.1719057,-80.8476871,Fast Food
_VpP18kVhdR9petT8w-cuA,Domino's Pizza,Charlotte,2,15,2.5,35.174289,-80.875561,Pizza
_W5QrZQPfqjj6njeqrGYEA,Texas Roadhouse,Charlotte,2,82,3.5,35.125895,-80.706219,American (Traditional)
_WLYW4vzknVRGiVJBUy8oQ,Anntony's Caribbean Cafe,Charlotte,1,71,4,35.335684,-80.795891,Barbeque
_xczdepRHcB-4RktSA3xgw,Korean Restaurant,Charlotte,2,23,4,35.162832,-80.737656,Korean
_YCwkkdiW5KliTK8g8Tlew,Heist Brewery,Charlotte,2,383,3.5,35.2454677,-80.8094402,American (New)
_YXBQ5Z75ZVlSV1HUtXgBg,Wang & King Asian Cafe,Charlotte,1,47,3,35.1196604,-80.9567161,Japanese
02sOq3KVhvbOzFFmkC4Qtw,Ming Fu,Charlotte,2,83,3.5,35.11600113,-80.72335815,Sushi Bars
08mwcGYuwXeADV9eLATRyQ,Jet's Pizza,Charlotte,2,18,3.5,35.34107587,-80.76462473,Pizza
0AOXM-nZqXro6LAT4EKqpw,TRUE Crafted Pizza,Charlotte,2,163,4,35.06110567,-80.81781508,Pizza
0Ayzd0haow5Ek3CdfZg5bA,Hissho Sushi,Charlotte,2,34,3.5,35.22042682,-80.94093215,American (New)
0F4ZjPgecXQQxvYy0onC5Q,La Cancha,Charlotte,2,10,4.5,35.11783174,-80.69658855,Anonymous
0f9yhyfnyWB9hF85PNmcLQ,Cluck 'N Cup,Charlotte,1,75,4,35.20661,-80.860136,Coffee & Tea
0FQ8Kj6ZITbN8lrlIZOugA,Monterrey Mexican Restaurant,Charlotte,1,41,3.5,35.1357117,-80.7126734,Mexican
0Iu3lb-HD3IrsowtbVGzPw,Niyo,Charlotte,1,25,3,35.3339753,-80.7919828,Japanese
0jye3EpGbU3dFe4yf9pxzQ,Taqueria La Unica,Charlotte,1,10,3,35.219076,-80.796646,Mexican
0K8roYiVL3c5koa5pDEBUw,Bricktop's Restaurant,Charlotte,2,203,4,35.1561919,-80.8314309,American (New)
0KkMoh1zaAloeomx1cBXTw,Chick-fil-A,Charlotte,1,10,3.5,35.352232,-80.850748,Fast Food
0KNRmt72IWxI1JLpfpLwSA,Cantina 1511,Charlotte,2,160,3.5,35.062252,-80.815427,Mexican
0mEX61cGG-LMAdrsZL3erw,Taco Bell,Charlotte,1,11,2.5,35.204348,-80.863485,Fast Food
0nCS2KIWbqV4p5UZ8zZ6TA,Firehouse Subs,Charlotte,1,9,4,35.3713178,-80.7183571,Fast Food
0NeXPGy3_N9T4IeHde7iGQ,Nothing But Noodles,Charlotte,2,70,3.5,35.059113,-80.8138,Anonymous
0pikmKdTttjRlDHRS68z0w,Taqueria La Unica,Charlotte,1,16,3.5,35.14344634,-80.8761084,Mexican
0p-JqQ3DOXC90ad563C1FQ,Tony's Pizza- Ballantyne,Charlotte,1,75,4,35.05622,-80.854088,Pizza
0QYucq-OkyThZzGdhONSHw,Great China,Charlotte,1,9,3,35.0689849,-80.6786911,Chinese
0R5W3JfCKW_DT6szm-826A,Birch Restaurant & Bar,Charlotte,2,4,2,35.1593724,-80.8896484,American (Traditional)
0RD2dEOZTK5eCzYT5ogH8w,PePeRo,Charlotte,2,149,4,35.1246318,-80.7300655,Korean
0RIAwEggED60mK3mDSTr-Q,Davinci's Pizza,Charlotte,1,68,4,35.3346884,-80.8135014,Pizza
0sbPpUIyTpcx90bLRsVx0w,Shuffletown Drive-In,Charlotte,1,25,4,35.321649,-80.952888,Breakfast & Brunch
0SepDX0DR46sCdxkCI5Txg,Joe's Touch of Italy,Charlotte,2,13,4,35.2321234,-81.0393113,Italian
0s-OY8GuWszGYSMDAMw6kQ,Papa John's Pizza,Charlotte,2,5,4,35.1069699,-80.806871,Pizza
0uq7x1_pxU1hajaIDhv3MQ,Kabuto Japanese Steak House & Sushi Bar,Charlotte,2,49,3.5,35.2941824,-80.7397396,Steakhouses
0Urh_U-9IwPoNNgteSHNGQ,Jimmy John's,Charlotte,1,4,3.5,35.1010897,-80.9918697,Anonymous
0UyVyPKOhQNwqQO1hc8_6Q,Chin Chin,Charlotte,1,6,3.5,35.1374964,-80.7390948,Chinese
0Vczk_zvQgsUGTrnBzfIZg,Bonsai Fusion,Charlotte,2,44,4,35.2274621,-80.8388937,Sushi Bars
0wssFDu7pSsFzmEnTMAceA,Taziki's Mediterranean Cafe,Charlotte,2,16,4.5,35.2145285,-80.8334314,Mediterranean
11_Py0PMSwvnok8K9I3AgA,Razzoo's Cajun Cafe,Charlotte,2,208,4,35.36954693,-80.71739852,Seafood
11EgWgfvmtToc2lg3DFo4A,Outback Steakhouse,Charlotte,2,56,2.5,35.1357117,-80.7126734,Steakhouses
11XUTAA8QO11cuyzEPVOkg,Mac's Speed Shop,Charlotte,2,186,3.5,35.1358714,-80.9401401,American (Traditional)
15hrYjqHdOe5VK4fCmYJAg,Saigon Kitchen,Charlotte,1,30,4,35.0838193,-80.6604096,Anonymous
17BG9tz-YY01kuPiaiNgpg,Red Sea Restaurant & Bar,Charlotte,2,20,4.5,35.215648,-80.8282849,Anonymous
19R96ARU7-qDBjJBZrhg9w,Pollos Mario Restaurant,Charlotte,1,10,2.5,35.203621,-80.74255,Anonymous
1AXQja1QV47FGU0Jp0CSxw,Bojangles' Famous Chicken 'n Biscuits,Charlotte,1,15,3.5,35.2289881,-80.9258677,Fast Food
1dcY-5qVX3NnFn6FiHFrzw,Firehouse Subs,Charlotte,1,3,2.5,35.07848958,-80.65353178,Fast Food
1e3C5v3vz40fOwfx3wVmGQ,The Lodge,Charlotte,2,57,4,35.106407,-80.8077349,American (Traditional)
1GhNcayyYhNapZsScKnmwg,Subway,Charlotte,0,3,2,35.283162,-80.6691759,Fast Food
1gKBusJMk66ypwEKF0vOAA,Palm Restaurant,Charlotte,3,98,4,35.1468168,-80.8277649,Seafood
1HmLi5NNs0_FDYYxBgRxzw,Taco Bell,Charlotte,1,10,3.5,35.098696,-80.77854,Fast Food
1MiiUX0bjhfQoVF9c-be_A,Hibachi Express & Grill,Charlotte,1,24,2.5,35.1901778,-80.9219497,Seafood
1NY_yI7WuhNd-cAFktTbIQ,Little Caesars,Charlotte,1,3,3,35.2245579,-80.8939338,Pizza
1ODO0uiu3ieP1f2Yl2iEcQ,Morazan Restaurant,Charlotte,2,3,4.5,35.148215,-80.8950909,Anonymous
1OkZfDe0FqTPrvH1EG2knQ,El Valle Mexican Restaurant,Charlotte,1,35,4,35.117393,-80.725534,Mexican
1olAT5l8ZiKLVavyWkeElw,Thai Taste,Charlotte,2,208,3.5,35.210017,-80.855878,Thai
1PSnPPFVfp03iPfJRPWWQw,Nakato Japanese Steakhouse,Charlotte,2,106,4,35.3058802,-80.754177,Sushi Bars
1qgy9kz5TQaTm-9qcoATwg,Light Rail Family Restaurant,Charlotte,1,22,4,35.126897,-80.877174,Breakfast & Brunch
1rtp8yZW8fI1Y3C8WxWthg,Bojangles' Famous Chicken 'n Biscuits,Charlotte,1,16,2.5,35.2031629,-80.7254871,Fast Food
1SpCrLI6cGGzXQbDL-W6GA,Anthonys Restaurant of Charlotte,Charlotte,2,3,3.5,35.300651,-80.802205,American (Traditional)
1V7FUtycm6a5VUyqMNrQBw,Hickory Tavern,Charlotte,2,43,2.5,35.001381,-80.693298,American (Traditional)
1x6MlFYhRSzbGZ_E7kICvQ,Aroojis Wine Room,Charlotte,3,29,3,35.064717,-80.772205,Italian
1xaqS4n17AzF6RsbshEO6Q,Koffee Kup Cafeteria,Charlotte,2,4,4.5,35.2168382,-80.88208493,Anonymous
1Z0NrI911tt0Huyc8S8BZw,Salsarita's,Charlotte,1,5,1,35.3713178,-80.7183571,Mexican
2_0P2AmSSFtPgddio0MgYA,Waldhorn Restaurant,Charlotte,2,175,4.5,35.076521,-80.882357,Anonymous
23xfK-M76sWaAGgIwy5wPA,Woodlands,Charlotte,2,143,4,35.203477,-80.7216047,Vegetarian
24Qlwel3zvrkNX9zMvBJDg,Diamond Restaurant,Charlotte,1,267,3.5,35.219066,-80.813221,Anonymous
27cIh0prWEOO2anhGx2G8A,Stockyard Restaurant,Charlotte,1,19,4.5,35.273464,-80.89172,Breakfast & Brunch
27Q69LYNbqANTkPZdxsZFA,The Local On 5th,Charlotte,1,24,3,35.2278131,-80.8414916,American (Traditional)
2Cxq5noMJdIo-0K2zd8JYw,Harbor Inn,Charlotte,2,29,3,35.287171,-80.728185,Seafood
2DDY0JRc8q8PApPEPF-vGQ,Red Lobster,Charlotte,2,40,2.5,35.3707672,-80.7158178,Seafood
2dz6psLH_yvejmYaiq0_HA,Bedder Bedder & Moore-Montford Abbey,Charlotte,1,22,3.5,35.170641,-80.84658,Breakfast & Brunch
2ew7Ol0Nxbk_AGAtHXnnMA,Rhino Market & Deli,Charlotte,1,93,4.5,35.22971959,-80.86591418,Breakfast & Brunch
2G-I9lROOVwkIkBSE8iVZg,Mortimer's Cafe and Pub,Charlotte,2,149,3.5,35.225378,-80.841961,American (Traditional)
2hM--u1QSxnJsdsExT42Lw,Waffle House,Charlotte,1,9,3.5,35.170397,-80.7438279,Anonymous
2HRwlEmWi-WcLh9uVQ1fsg,Hardee's Red Burrito,Charlotte,1,6,3.5,35.3075148,-80.8438944,Burgers
2iiCazdKZjFYy46FR8iySA,Circle G Restaurant,Charlotte,1,12,4.5,35.2724109,-80.8898552,Anonymous
2k5Tvw4XTMGNE6wh_kexdQ,One Life Raw Juice Bar,Charlotte,1,18,4.5,35.1731814,-80.8400346,Anonymous
2kCgC1VAEs3K8SJ86S6Fog,Papas Pizza To-Go,Charlotte,2,7,4,35.0264103,-80.7630602,Pizza
2LReRp3yoccIQDV8LYaSqw,Ivy Burger Co,Charlotte,1,4,3.5,35.2270869,-80.8431267,Burgers
-2NCvK5807Nxs9GUb2Eo1g,Juliana Pizza Family Restaurant,Charlotte,1,24,3.5,35.137534,-80.739321,Pizza
2Nf2NqvfkrpCecdoB6-e2g,Salsas Mexican Grille,Charlotte,2,72,3.5,35.1376239,-80.9318719,Mexican
2owT9j-7HXR-wtPmrIzDxA,Bad Daddy's Burger Bar - Dilworth,Charlotte,2,373,4,35.199097,-80.840805,Burgers
2p14-jQFDrb5TRi9r80gGA,Island Hub Restaurant & Lounge,Charlotte,2,26,4.5,35.19992208,-80.79568796,Anonymous
2pjLeLgjPJYelEiuWFYB-g,Another Broken Egg Cafe,Charlotte,2,101,3,35.156307,-80.823686,Breakfast & Brunch
2qkXCZLumfhvHt2gKluIlA,Jeff's Bucket Shop,Charlotte,1,33,3,35.1708615,-80.8496225,Anonymous
2rT4LrsGGd9mjerwEWKfYw,McBonie's Bar & Grill,Charlotte,1,14,3,35.192734,-80.7810547,Anonymous
2uJNnNYUv23qcnpBg4Wy5A,Taqueria Mexico,Charlotte,1,60,4,35.1396022,-80.8761008,Mexican
2VuPoaFPktvtAqTX_Fzc-A,El Valle Mexican Restaurant,Charlotte,2,15,3,35.3035634,-81.0272196,Mexican
2xf0BwWMLhAZojYNAHR6Gw,Woody's Chicago Style,Charlotte,1,3,3,35.2254909,-80.8463086,Hot Dogs
2XTcAcbJ7O0LKjUBto726A,McDonald's,Charlotte,1,14,1.5,35.3337519,-80.797556,Burgers
2XU8BqJ81UxQn8SOi01R8g,Honey Bun's Cafeteria,Charlotte,1,22,3.5,35.16263884,-80.73807652,Dim Sum
2y-zifC8_V5XUTsyCSWvdQ,Famous Toastery,Charlotte,2,201,3.5,35.1985012,-80.85265,Breakfast & Brunch
31IcDxg3P4P2kCjZ3OLCNQ,Tops China Restaurant,Charlotte,1,3,3.5,35.2644481,-80.8558779,Chinese
31x0JXe6pG_DaID-8N92GQ,Donatos,Charlotte,1,3,1,35.0818854,-80.7288043,Pizza
329L4KhvziONbftfHdvwYQ,Mai Japanese Express,Charlotte,2,49,3,35.138139,-80.935394,Japanese
3-2yz7oIwZVMl5JNZSqLXw,Letty's,Charlotte,2,56,4,35.235092,-80.787771,American (New)
330OW1waJYEv7CXgcSwLSQ,Jaipur Indian Restaurant,Charlotte,2,91,3.5,35.155407,-80.875309,Indian
33HGPPn76nwLDYdAp2zUkw,Maki Taco,Charlotte,1,32,3,35.2270869,-80.8431267,Mexican
33Yx4cpIPS32Bbvm2Aeo0g,Hickory Tavern,Charlotte,2,56,2.5,35.336821,-80.755961,American (Traditional)
34FswFM28xpuNp3SmFVxeA,Shane's Rib Shack,Charlotte,2,51,3.5,35.302106,-80.74776,Barbeque
352PyQvZXioNgmETfb9FZA,Big Guys Pizza,Charlotte,2,43,4,35.171874,-80.656173,Italian
36-XZlXeTz66g98AxGFbig,Wild Wing Cafe,Charlotte,2,44,3,35.3289163,-80.7385921,American (Traditional)
376PDtBpGi74Os08TvCkhg,French Quarter,Charlotte,2,60,3,35.225996,-80.847022,French
383qWVMlSLxZdEKYE2aCXg,The Friendly Moose,Charlotte,1,73,3.5,35.086181,-80.697093,Breakfast & Brunch
3C-tuH9X6x5PqGDRYn83uQ,Ilios Noche,Charlotte,2,186,4,35.0529811,-80.7707695,Greek
3DCd-kJ-p-36U-AORR6fOw,Sabor Latin Street Grill,Charlotte,1,21,4,35.1171945,-80.9616929,Mexican
3eCcG2anbC12_1wPxFO8xw,Dean & DeLuca - Tryon Cafe,Charlotte,2,67,3.5,35.226074,-80.8440336,Cafes
3EDCh1Wssaak6D7OXx1bqA,Boudreaux's Louisiana Kitchen,Charlotte,2,205,4,35.247776,-80.804143,Breakfast & Brunch
3HK-vpxevbiVQhnS_Zvpwg,Pizza Hut,Charlotte,2,7,3.5,35.319942,-80.668735,Chicken Wings
3hMF86FemqR_sH8OOh6sYQ,Maki of Japan,Charlotte,0,3,2.5,35.352549,-80.851181,Japanese
3hWuhwAKxodX8ayAb-fe2g,BV Pub and Pizzeria,Charlotte,2,30,4,35.06862,-80.842617,Italian
3IQSDaqbnqACADJWlXpRkA,Chick-fil-A,Charlotte,1,22,4,35.0988152,-80.78132351,Fast Food
3oL6dqvLAeIGR4ZkDrZwBQ,Brixx Wood Fired Pizza,Charlotte,2,59,3,35.1465729,-80.80895,Pizza
3ornwb5L2Cy-DKeR6xbpdw,Siam Garden,Charlotte,2,94,3.5,35.1517973,-80.9507926,Thai
3PmyPp1Nv7oBMHLzeOfdeQ,Lawrence Caribbean Restaurant,Charlotte,2,21,4.5,35.208554,-80.913437,Anonymous
3QZKUTsMGPBEAAUMpIFw5A,Bojangles' Famous Chicken 'n Biscuits,Charlotte,1,8,3,35.188534,-80.690679,Fast Food
3R_AAO0AI3WkR9rti5Rvpg,Bisonte Pizza Co.,Charlotte,2,61,4,35.06875544,-80.70116222,Italian
3ShZ3IidYKRZVp09up-mMQ,Cottage 2,Charlotte,1,9,2,35.240222,-80.897657,Chinese
3TkYBmVGHz-t4mc1U8Eo0g,Punta Cana,Charlotte,2,63,3.5,35.166205,-80.876446,Anonymous
3tv7w70_-WQ28MNsWSWLiw,KFC,Charlotte,2,5,2,35.1934,-80.795,Fast Food
3uty2cB6NzZn6CM-8udUew,Nakato Japanese Steakhouse & Sushi Bar,Charlotte,2,6,3.5,35.30563468,-80.75423241,Sushi Bars
3WkxgBbLz-Acok03ySdMbA,Zaxby's,Charlotte,1,10,2,35.3347243,-80.7973306,Fast Food
3WZirVpghhNWTa4N2HU-xQ,Valhalla Pub and Eatery,Charlotte,2,134,4,35.2261079,-80.8468595,Breakfast & Brunch
3xdV-7di_YD3MVqs3Pa7-g,Picasso's Sports Cafe,Charlotte,2,78,4,35.303872,-80.749548,Burgers
4_IPjeZZ87LPiXkKDHx2-A,Wild East,Charlotte,2,93,3.5,35.0894934,-80.8448416,Asian Fusion
41PpH8THYsCDvhE57RTDEA,La Unica,Charlotte,2,48,3.5,35.22166785,-80.81918135,Mexican
41uh9gpSwCfiJuK3EaHisQ,Monsoon Thai Cuisine,Charlotte,2,87,4,35.199336,-80.8668329,Thai
43WsbaQ0-yr72YfqwQAC0g,Junior's Pizzeria,Charlotte,1,59,4,35.190366,-80.922471,Pizza
47_9VH3BVhJpyFtOdiCUfQ,Tres Pesos Bar and Grill,Charlotte,1,48,2.5,35.1800168,-80.8832252,Mexican
4-B5ou1FbGVjVEQd3FAoIA,Sub One Hoagie House,Charlotte,1,32,4.5,35.2340477,-80.841786,Anonymous
4bAKfxF3cXWPCCzqjJTA7A,Luigi's Pizza,Charlotte,1,100,4,35.14585998,-80.93646419,Italian
4Cjf5Q94Rf1o2P-X70BFwg,Hong Kong BBQ,Charlotte,1,9,4,35.2562941,-80.7911635,Chinese
4CPrhBc4Ado90fj7PG6jrA,P.F. Chang's,Charlotte,2,120,3,35.14656902,-80.82711071,Asian Fusion
4DpqEjsFyH0y9B5QvdR8Gg,Hibachi Express,Charlotte,1,5,3,35.297087,-80.755382,Japanese
4eWKhiixHQcEvQpwIPvT0g,The Peculiar Rabbit,Charlotte,2,330,3,35.2194153,-80.8137099,American (New)
4GcHDf9uxK54OOxNIRYoNQ,Salsarita's Fresh Cantina,Charlotte,1,20,2.5,35.1033096,-80.9869002,Mexican
4glD2-evDFddHjQaEVpCPQ,Sushiya Japan,Charlotte,2,48,4,35.0952753,-80.7791381,Sushi Bars
4jl0_Ny3wForCqs06DRzRg,Kabab-Je Rotisserie & Grille,Charlotte,2,263,4.5,35.1281898,-80.7022409,Mediterranean
4kM-mP7z1nP015R2Tlz1Tw,McDonald's,Charlotte,1,25,2.5,35.14974032,-80.83334148,Burgers
4lNdMQQMAJ7ptcKCOMhg4g,Corkbuzz Charlotte,Charlotte,2,55,4,35.14593869,-80.83041074,American (Traditional)
4MuAYyzgK2AhwMlBOjzTNA,Genghis Grill,Charlotte,2,105,3.5,35.055385,-80.8349322,Anonymous
