Business_id,Name,City,Price Range,Review Count,Stars,Latitude,Longitude,Cuisine
_0xMKAK1_ODB_k1CKiI__Q,Yum Yum,Edinburgh,1,3,3.5,55.953252,-3.188267,Fast Food
_31B--Q8eNp8ZLQ8bJabOw,Nor Loch Bar,Edinburgh,3,11,2.5,55.9519615,-3.189944,British
_6l_vm7_maYTfO5tpei27A,Stable Bar,Edinburgh,3,11,4.5,55.9033136,-3.1811563,British
_72Q2LjA3_Tas16Brg8GiA,Fryers Delight,Edinburgh,1,5,3.5,55.9021298,-3.1555278,Anonymous
_9TAKW96z3RuWLHjKVlqDw,The Three Coins,Edinburgh,1,12,5,55.9432562,-3.2034659,Pizza
_c7vrEqEGfWKkhXMNZNGXA,Aizle,Edinburgh,4,17,5,55.9419569,-3.1791181,Anonymous
_cxnSeFM0G5AdvCpJjTb0g,Pizza Express,Edinburgh,2,10,3.5,55.9509725,-3.2096455,Italian
_hu-d-tbmtqd8xF37LynpA,The Brig,Edinburgh,2,3,3.5,55.9652042,-3.3173128,British
_Hwdp9pNtJ14MsBujtIa5A,The Bailie,Edinburgh,2,14,4.5,55.95740503,-3.207224607,Anonymous
_IPUEiZFc8vzsXp-BSlpIA,Café Renroc,Edinburgh,2,13,4,55.95953045,-3.178783638,Breakfast & Brunch
_KhWxgstswdzKPfghqjoKw,Pizza Express,Edinburgh,2,15,4,55.9758481,-3.1689479,Italian
_KTtGB2edcjK9JEm5pBMEg,Snax,Edinburgh,1,3,3.5,55.96943938,-3.168547153,Fast Food
_-lfVoZxIc-ZJPeEwr1YqQ,Teuchters Landing,Edinburgh,2,46,4.5,55.9771207,-3.171932,Anonymous
_r5wdqj0GYI_IttoPpCDbw,Bites,Edinburgh,0,6,4.5,55.9595435,-3.1826089,Coffee & Tea
_tBkysAUsKNoki7Gmvi1ug,The Huxley,Edinburgh,2,37,4,55.95002186,-3.207799502,Anonymous
_uh8g9rh4MtVEOnCEbqwnA,Bentoya,Edinburgh,2,25,4,55.94592974,-3.20472838,Sushi Bars
_YwaJy2wtry7kds0VwvJ4Q,Franco's Chip Shop,Edinburgh,1,16,4,55.95921535,-3.214699535,Fast Food
_zBGLuqsrqpTGtO9M1Ql9Q,No1 Grange Road,Edinburgh,3,6,3,55.93689994,-3.18062733,Anonymous
0_CG2HJGjGAgyxVKlBgLGg,Fresh Cut,Edinburgh,0,7,3.5,55.9476933,-3.2059514,Anonymous
03_t9LNPKZs4d-hkmqzLTQ,The Mash Tun,Edinburgh,2,11,4,55.96000516,-3.171303124,Anonymous
0-9h0LgHXgV-jz5EXWmnmA,Rocket Café,Edinburgh,1,23,4,55.9323195,-3.2099265,Coffee & Tea
0aJVALy940i-NMWDZsIPRg,Bisque Bar and Brasserie,Edinburgh,3,9,3.5,55.93812409,-3.205781482,Anonymous
-0bl9EllYlei__4dl1W00Q,Wee Bite,Edinburgh,1,6,3.5,55.9496051,-3.1834737,Breakfast & Brunch
0gf-Yj5sEUy9fLCPOh63ng,Pret A Manger,Edinburgh,1,8,4.5,55.9531093,-3.1966737,Coffee & Tea
0Jm4RIxcfipZkl8KeZQVrw,St Andrews Restaurant,Edinburgh,1,7,3.5,55.9517005,-3.1101122,Italian
0TgiBiSmp6cHVGqDuIkANA,Cafe Cassis,Edinburgh,2,6,4,55.9377652,-3.1769618,Cafes
0YVzWax3LlWYECacU-wUqQ,Shapla Takeaway,Edinburgh,2,12,4.5,55.9600699,-3.1716409,Indian
107RvbkBZUVULsHq_0d3mw,The Original Mosque Kitchen,Edinburgh,1,41,4,55.9450577,-3.1865445,Anonymous
141RZw5r7oHtcGa-A-R_cw,Rigatoni's,Edinburgh,2,4,5,55.9409328,-3.180198669,Italian
16yAOGqd3cF0srbeRfkaow,Philpotts,Edinburgh,3,11,2.5,55.945446,-3.2057564,Coffee & Tea
19gGxL5cofD_CsA_3vOPKg,Krispy Kreme,Edinburgh,2,21,3.5,55.9263498,-3.3102285,Coffee & Tea
1aFu-WWB_5slFJrT7enPJQ,Voujon,Edinburgh,2,14,4,55.9375905,-3.1779513,Indian
1dsO4GdGe7OKrXmd9nfneg,Bodrum Express,Edinburgh,2,4,4,55.9616566,-3.1964569,Fast Food
1GuNIGzqvuLF6fAebFPw1Q,No 12 Picardy Place,Edinburgh,3,10,4.5,55.9570128,-3.1868369,Anonymous
1GYzYjw-eLqppSL1ni82sA,Elfalafel,Edinburgh,1,7,4,55.946022,-3.189798,Middle Eastern
1h__4qbRjvyVvVwCgbKroA,The Magnum Restaurant and Bar,Edinburgh,2,12,4.5,55.95676091,-3.192821615,British
1hIxn8IpLTjXX8ogsO67bA,Hakataya,Edinburgh,2,11,3.5,55.9514293,-3.203846467,Sushi Bars
1Jmf09hDwaXoE06YK3P9GA,Red Fort,Edinburgh,2,35,4,55.9471939,-3.1854832,Fast Food
1jTLAXGm25CAmBNZc4baJg,Newhaven Quay Brewers Fayre,Edinburgh,2,11,3.5,55.9829162,-3.1944802,Anonymous
1OuEfF4qB_sBv3RfabrvrA,Meze Meze,Edinburgh,0,5,4,55.9525469,-3.1990746,Anonymous
1RxsOdiWyIkA8B2_K3Df6w,Lagermans Takeaway Sandwich Bar,Edinburgh,2,3,5,55.9435867,-3.1847681,Anonymous
1S0vJfhkdxiPxzxC9iE9kg,Mc Kirdy's Steakhouse,Edinburgh,3,5,3.5,55.9459816,-3.2125303,British
1TnTa9GtHKcUc48TdEQHKw,Bodrum Express,Edinburgh,0,3,5,55.9240933,-3.2767249,Fast Food
1Up3ZUh37Z8OIan0xQFxLQ,Millers Sandwich Bar,Edinburgh,1,9,4.5,55.9407257,-3.1811801,Coffee & Tea
1yNJy2fxEF__dKFEYgTcFg,Crumbs Cafe,Edinburgh,0,4,4.5,55.9643055,-3.1957216,Cafes
2_zxQRUOfXmDQDFQrEoBGw,Giovanni's Fish Bar,Edinburgh,1,6,4,55.9552713,-3.1405576,Anonymous
2aBTRy6MxW-TvIDphn-AEQ,Hermitage Bar,Edinburgh,2,8,4,55.9245343,-3.2096679,Anonymous
2dUrYkzgoIuFC8hu1DTknw,Kebab Mahal,Edinburgh,1,58,4,55.9469623,-3.1859303,Indian
2EKfKOBIuLiCjnXv3fltrQ,Olly Bongo's,Edinburgh,1,24,4,55.9456591,-3.1903111,Coffee & Tea
2FeI5q8Sm1Hk9jF4XGJbgw,Hong Fu Noodle,Edinburgh,2,7,3,55.9537887,-3.1877579,Chinese
2ftNAAakpz-8nYLkUnx6xQ,Deli Fresco,Edinburgh,1,11,4.5,55.9542757,-3.1873516,Coffee & Tea
2iVnO23-gLBM_PTBCLynAw,Dersim Kebab House,Edinburgh,2,7,4,55.9415254,-3.2233743,Anonymous
2jxWAJrqC0kfuhp3PXRFUw,The Spice Pavilion,Edinburgh,2,17,4.5,55.9564765,-3.1987516,Indian
2LYLnSVja3u921WP_2Jo6w,Indian Cavalry Club,Edinburgh,2,15,3,55.947754,-3.2130862,Indian
2N_CsFJdBNqSQY5uSsHbvA,Steak,Edinburgh,3,24,3.5,55.9571631,-3.1872526,Steakhouses
2rSvtVINABQgJIegCt2V9Q,Under the Stairs,Edinburgh,2,67,4,55.9476709,-3.1921299,Anonymous
2SNjQ8JLEOFFdsj4cykX7g,Thai Basil,Edinburgh,2,12,3,55.9469102,-3.1854336,Thai
2sQnp6jfOVrhn6CxraltZg,Salt 'n' Pepper,Edinburgh,0,6,4.5,55.9479692,-3.1917895,Anonymous
2valrZLZWYz62Vd2vgLF_w,Lancers Brasserie,Edinburgh,3,17,4,55.9584814,-3.2082341,Fast Food
2X_IKaaeVgm1v9SBNeQxkQ,Urban Angel,Edinburgh,2,76,4,55.9548801,-3.1979891,Coffee & Tea
2yjduT-Bt3-Kn9G75RWu8w,L'escargot Bleu,Edinburgh,2,18,4.5,55.9586114,-3.1902786,French
3bdePZRBF5zv1LMjmqp7Cg,Café Saint Honoré,Edinburgh,4,27,4.5,55.95403757,-3.200225138,French
3HPAoKDhWwgb3NXm4H7NFg,Tonic,Edinburgh,2,24,4,55.9527233,-3.2040111,Anonymous
3-hYANZRTcZsfMLT8X1YwQ,Pizza Paradise,Edinburgh,1,23,4,55.9471429,-3.1915291,Fast Food
3iEYvXVjz35-B8kZ5NF0ZQ,Maki & Ramen,Edinburgh,2,24,4.5,55.9454223,-3.1836587,Japanese
3ikkGPdcZMkiboPmIc1Evg,La Barantine Victoria,Edinburgh,1,25,5,55.9483436,-3.1945835,Breakfast & Brunch
3KQvBPTm4hGNqFMKwZygXg,Global,Edinburgh,1,11,4,55.9479597,-3.1921432,Coffee & Tea
3pa2GMSECbVpKm3qUMIe1w,La Locanda,Edinburgh,2,6,5,55.95047468,-3.189041913,French
3rFTT43tQg992no381rVvQ,Pret A Manger,Edinburgh,3,18,4,55.952082,-3.2030645,Coffee & Tea
3UYAEVkrmaSV7D7rny1rzg,Sonar Gao,Edinburgh,2,3,5,55.9735152,-3.1768627,Fast Food
3WNy4woyh9Ih2wr9UcCo0w,Peter's Yard,Edinburgh,2,78,4,55.94338425,-3.191614151,Coffee & Tea
3WvnsAqaUV3Jte-_QQFcpg,El Quijote,Edinburgh,2,19,4.5,55.9432967,-3.2026448,Anonymous
3X5XdSXWUmotmNocS5qV5A,Pep & Fodder,Edinburgh,1,16,4,55.9535309,-3.1879051,Cafes
3XN1taTQqQKC8nl3DgMM1A,Gusto,Edinburgh,2,48,4,55.9521852,-3.2059971,Italian
436HzbOivpoGJ3RlXA783Q,Chi Wai Chinese Restaurant,Edinburgh,0,3,4.5,55.9513089,-3.1076735,Chinese
43fGLtHqvdtxy6S_gT-Lmw,Newhaven Express Chinese,Edinburgh,2,4,4,55.9796755,-3.1877533,Chinese
44HpnhfDtSL5kRNaypBZqQ,The Milkman,Edinburgh,1,9,4,55.95064375,-3.190744988,Coffee & Tea
4dIzmqGAhFIcuHfI8CySig,The Witchery By The Castle,Edinburgh,3,148,3.5,55.9487885,-3.1956276,British
4E9PSb3q40oyjXfujUKqXQ,Nonna's Kitchen,Edinburgh,2,6,4.5,55.9321024,-3.2098185,Italian
4iaAezy5-l6CpxZa51mLtA,La Dolce Vita,Edinburgh,1,3,3.5,55.9728806,-3.1755716,Italian
4ISrDLsDCi-AHOBylcgbAQ,Tempting Tattie,Edinburgh,1,14,4,55.9511052,-3.1842221,Coffee & Tea
4jvFXuAI5qyVX9NqwzstOg,Riverlife,Edinburgh,2,9,3.5,55.9439251,-3.2188005,French
4KN-PSLwo_oLw2WZlumwHw,10-to-10 In Delhi,Edinburgh,1,50,4.5,55.945489,-3.1847414,Coffee & Tea
4kyggAmvnuCV68CmjYm5aw,Marks & Spencer Simply Food,Edinburgh,2,14,4,55.9526313,-3.1912938,Anonymous
4ljVhTNTfZap5ZerVwUjUQ,Yum Yum,Edinburgh,1,7,3.5,55.9507203,-3.1891373,Fast Food
4qcd2_d3h2eJmvUwUbmOFg,Yocoko Noodle Bar,Edinburgh,1,37,3,55.9490807,-3.186781,Japanese
4tHDW0O8ZunvT8SVmI69bQ,Giuliano's,Edinburgh,2,11,4,55.9573893,-3.1859519,Italian
4U0lz6WgowkETK3YaIT8sg,Hanam's,Edinburgh,2,46,4,55.9486067,-3.1945524,Middle Eastern
-4wMopMwxh1p0N7pFFn3Tw,Spoilt for Choice,Edinburgh,1,3,4.5,55.9583,-3.15768,Anonymous
51HrsPJiguk_zflY5n1W5g,Scooby's Take Away Food Shops,Edinburgh,0,5,4,55.94579883,-3.209679233,Coffee & Tea
55J_rNyR7HW8aDs0zJDiTg,Kyloe Restaurant & Grill,Edinburgh,3,38,4,55.94979222,-3.20724851,Steakhouses
56_uqCzMcaBu1WxgoS8Xuw,Pataka Restaurant,Edinburgh,2,12,4.5,55.9354979,-3.1798984,Indian
59n9g2JDT7z4uGkbWyG-OQ,Sitara Spice,Edinburgh,0,3,4.5,55.9590914,-3.2123244,Indian
5dO1hAptK5fOkQFo374mKA,Xiang Bala Hot Pot,Edinburgh,2,11,3,55.944312,-3.2180487,Chinese
5ItCz2CsxGRmh7rjxAhvyw,Globetrotter Fish & Chips,Edinburgh,1,10,3,55.9357149,-3.2096036,Anonymous
5JmhoKhGFb0w4_Pp9lIJew,Storytelling Café,Edinburgh,0,4,4,55.950789,-3.1847995,Cafes
5oBjSVmqMbvawqMUVzt5zQ,The Orchard,Edinburgh,2,18,4,55.96338929,-3.20035277,British
5pA0bK3x-8TWzWzbZRUJew,Il'Castello Restaurant,Edinburgh,2,8,3,55.9470883,-3.2021432,Italian
5pB-HQT-LvEdE2Pa5oyxdw,Relish,Edinburgh,1,9,4.5,55.9777631,-3.1779952,Coffee & Tea
5qY6LqQFupz2Dm8LB4xkJw,Pho Vietnam House,Edinburgh,2,46,4.5,55.9459387,-3.2126304,Vietnamese
5SGCEovPpcEZgU-sr7Tqog,Veritas,Edinburgh,2,5,4.5,55.95818067,-3.209314424,Middle Eastern
5TTr08j2W2Fv8jkOCvUm8w,Nawroz,Edinburgh,2,8,4.5,55.9453189,-3.1864578,Middle Eastern
5umhAoolDqO-M3w-VvSQZg,Peach Garden Chinese Restaurant,Edinburgh,2,4,3.5,55.9427443,-3.2802685,Chinese
5wVfDg9rAu9pgv5w0QLVqw,Passage to India,Edinburgh,0,7,3.5,55.9573195,-3.185944,Indian
5xNcbsy1S_AtB-FLQTkWfA,Hung Fung,Edinburgh,2,5,3.5,55.9746136,-3.1850116,Fast Food
66_04nEOBGN6FSpiNt5aSA,Hemma,Edinburgh,2,49,4,55.9503472,-3.1777767,British
66lcsXVFNVp1tPMHheSepg,Eat,Edinburgh,1,15,4,55.94859908,-3.363447189,Anonymous
67KjBC7FW7KoLj_O4Dg6sg,Pizza Mafia,Edinburgh,0,3,2.5,55.9514762,-3.199479,Pizza
67RicD8bcklxdnXk-zRAkw,Royal Dynasty,Edinburgh,0,3,2.5,55.9615497,-3.3059778,Fast Food
68Ih9ZPaANmAeVdXvHav1Q,Chicken Cottage,Edinburgh,0,5,2.5,55.956337,-3.1889888,Fast Food
6cIZhJJy2LgLID1u-sxvmw,Khushi's,Edinburgh,2,28,3.5,55.9578139,-3.1849227,Indian
6hIBbmGVbjYii3TrohNyMQ,Secret Arcade,Edinburgh,2,23,4.5,55.9505008,-3.1889333,British
6mgbxYVBCFB7cWx-cy5yLw,Victor & Carina Contini The Scottish Cafe and Restaurant,Edinburgh,2,21,4,55.9507884,-3.1962074,Breakfast & Brunch
6MujEd4R1taYm__hZ2gLZA,Montpeliers,Edinburgh,2,52,3.5,55.93581779,-3.209505363,Anonymous
6omMF5aEC33HgvAAZ5cGbg,Pig In A Poke,Edinburgh,1,6,4,55.95210901,-3.201161127,Fast Food
6RsqA11RGj_tyUvMoDdnCA,KFC,Edinburgh,1,11,3.5,55.9460125,-3.1848008,Fast Food
6RVoRilHow-zehz_qVZQCA,Frankenstein & Bier Keller,Edinburgh,2,86,3,55.9473086,-3.1916428,Anonymous
6thw6oE4W40yo4nFD9tQ7g,The New Bell,Edinburgh,3,7,4.5,55.9349651,-3.1790015,Seafood
6UHWPb1ee_J8eL1UtV-aEQ,Tupiniquim,Edinburgh,1,20,4.5,55.94522131,-3.191442742,Anonymous
6VbM5hHuI0g8oKRSnJOqpw,Thai Orchid,Edinburgh,2,47,4,55.94864401,-3.194266821,Thai
6VIOw-CtnSQmDjWTwij4-A,Candy Bar,Edinburgh,2,23,3.5,55.9525725,-3.2043102,Anonymous
6WC2MEdR1SQeESCDyVh2UA,Pomegranate Restaurant,Edinburgh,2,23,4,55.95768174,-3.185091323,Middle Eastern
6wdnVxUD8VTtwhe2sjcZ8w,Circus,Edinburgh,1,22,3.5,55.950405,-3.1838732,Breakfast & Brunch
6Z-gTRMXUVHDK7KHbT-qnQ,Chinese Manor House,Edinburgh,3,8,4,55.9409837,-3.3118152,Chinese
6zRmrhf8lTFBiTBD5BWyyA,Marchmont Takeaway,Edinburgh,1,6,3,55.9362617,-3.1941561,Fast Food
72aMHZszkTpCV_c5VwPiZA,Toby Carvery,Edinburgh,2,10,3,55.97130234,-3.274453982,British
72XWQHDdhbliqkNPa4d1hQ,The Rabbie Burns,Edinburgh,3,20,3,55.9503933,-3.1860365,British
73YvRCWay6GHGQ7oxMxFQQ,First Coast,Edinburgh,2,25,4,55.9435343,-3.2193242,British
764VAPPKPA2hJtLzE9UXiQ,La Lanterna Ristorante,Edinburgh,2,12,4,55.9541085,-3.1972555,Italian
77091of0hG4JaDZL1FYnYw,The Zulu Lounge,Edinburgh,0,9,4.5,55.9266149,-3.2093281,Coffee & Tea
7AdnaGsWjWhg2c-U0GsG-Q,Royal Overseas League,Edinburgh,0,3,3.5,55.9516472,-3.2002013,Coffee & Tea
7AH9-OG_1kWppKioHZqZJA,Pizza Express,Edinburgh,2,22,3.5,55.9506243,-3.1874361,Italian
