Business_id,Name,City,Price Range,Review Count,Stars,Latitude,Longitude,Cuisine
_8tUKyMRMMt1YSlac04eqg,Schiffsrestaurant Vater Rhein,Karlsruhe,2,3,3.5,49.0377,8.31318,Anonymous
_CEgkUvPLL-omIutKaWs5Q,Chiang Mai,Karlsruhe,2,18,3.5,49.0084,8.42079,Thai
_Fi4b5lYGsKhI4iCw7j_BQ,Rote Sonne China Schnellrestaurant,Karlsruhe,1,3,4,49.0106,8.42177,Chinese
_J9JwsqYf1hKdtsE7A9OnA,Kofflers Wiener Beisel,Karlsruhe,2,4,4,49.0096502,8.405104,Fast Food
_lhblpeTBbfG3TnWLLEGBw,Fünf Sterne,Karlsruhe,2,43,3.5,49.00540211,8.411165151,Chinese
_TgKU9RQ10RfdZz8CSGEGQ,Böckeler,Karlsruhe,0,3,3.5,49.0093,8.40339,Anonymous
_v0l_NYqRLE12GJMflm4Zg,Phó,Karlsruhe,1,17,4,49.0109,8.39556,Vietnamese
_WxiLrlNpPuERam8YuQ-dg,Da Giovanni,Karlsruhe,0,10,4.5,49.001,8.39079,Italian
0_6u_uhvLYGRt9YLtZLa9A,Pizzeria Luisenstube,Karlsruhe,1,4,3,48.9375,8.4149704,Italian
0123BsbSufx_cKhbbVWmIQ,Rintheimer Stuben im Tsv,Karlsruhe,2,3,4.5,49.0108,8.44033,Anonymous
081EZ8AIZ4QWVaYl_1wUCw,Cafe Carré,Karlsruhe,3,4,3.5,49.0092602,8.3764097,Coffee & Tea
0h64oEQLhlMrrsko7B1eNA,Sol i Luna Restaurant,Karlsruhe,2,52,4,48.9994,8.47134,Anonymous
0J0FdaT-dhECIrnnlfQqqA,San Marco,Karlsruhe,2,9,3.5,48.9975,8.33655,Pizza
0NWm7KorY2NDl9jAjZPTRw,Thai Orchid,Karlsruhe,2,4,4.5,49.0062086,8.4082587,Thai
0OTWK0GcabvOWfaqqJsBxw,Mersin Kebab-Pizza-Imbiß,Karlsruhe,1,4,4,49.0116,8.36299,Anonymous
0Q7ftIbv1r7Jiupuxi7WDw,Syrtaki,Karlsruhe,2,19,3.5,49.0083,8.3975907,Greek
0SgsUyw0sQSpt6CSI73r6Q,Zum Elsternest,Karlsruhe,2,6,3.5,48.9778654,8.3960922,Anonymous
0tIwFdNA942oqnm47cnw4w,Watts Brasserie,Karlsruhe,3,23,3.5,48.9395,8.4176,Anonymous
0W3K89HZ6zkNg3AqBMq4Dw,Klenerts,Karlsruhe,3,7,4,48.9641,8.28743,Anonymous
0WiuRhBf8WQlr1UqFgKEXQ,Olive - das kleine Restaurant,Karlsruhe,2,18,4,49.0062,8.38194,Anonymous
126Dmjf_NJs6OJ3ttI-J5Q,McDonald's,Karlsruhe,2,15,3,48.99435118,8.399387249,Burgers
14FahioZzo_F5LlscNzcUw,Saray Kebap,Karlsruhe,0,3,3,48.91062,8.25346,Anonymous
14qE5P0ZtWe782tWQYwCcw,Herrmannshäusle,Karlsruhe,3,11,4.5,49.0647934,8.4715598,Anonymous
1FVEeqJv6V6decG4S4ZNFw,Jäger Biergarten,Karlsruhe,0,3,3.5,48.96339,8.33443,Anonymous
1vObhKVuXQF7YX5R6qxwVA,Rote Taube,Karlsruhe,2,9,4,49.0057518,8.3721617,Anonymous
24nfW5gDvX9ot2hT9rf6xg,Coffee Boxx,Karlsruhe,2,12,4.5,49.01488101,8.384188414,Cafes
2fS1ssXEmuXH7t2zNx_DZQ,Judy's Café,Karlsruhe,2,4,4.5,48.9881413,8.4743368,Cafes
2hTbsev_7hF8Fyla0zoUAw,Nuraghe,Karlsruhe,3,24,4,49.0551485,8.3814993,Italian
2J6pdzKizFye435wkEcMpg,Vongruen,Karlsruhe,2,5,4,49.0087904,8.3898076,Burgers
2PlaD6xXItbxo0ZbjQ7iQg,Pizzeria Stella Maris,Karlsruhe,2,5,4.5,49.04215,8.36618,Pizza
2QclfX_80Y4T2zZ-h0FlmA,Unterhaus Gaststättenbetriebs,Karlsruhe,3,5,1.5,49.0103,8.39713,Seafood
2x1USZcrV-1zrEDLzaX-lw,Bombay Palace,Karlsruhe,0,5,3.5,48.9858,8.39276,Vegetarian
35Znve8wyIqKcGRJ3vVdLA,Padellino,Karlsruhe,3,16,3.5,48.9420364,8.4097545,Italian
39zkau4YW8ovL3zUS10SAA,Restaurant Abrahams,Karlsruhe,3,5,2.5,49.0079738,8.4141097,Anonymous
3C70DNk7sa0KuRJu3zKiXQ,Pomodoro,Karlsruhe,2,17,4,49.0118,8.40066,Italian
3Dk5qrbYaP7lCYyjmo0JRg,Mogogo,Karlsruhe,2,38,4,49.0126722,8.397885,Anonymous
3hrqeq7BVC8RP3rJBgCcIA,Pizzeria Fliegender Italiener,Karlsruhe,2,3,3.5,49.0114,8.36071,Italian
3LA8ABDMBZnlEnVMmJ-YIA,Bäckerei-Konditorei Visel,Karlsruhe,2,5,3,49.00981,8.42244,Cafes
-3Qu8aYgOleRw-OThNPovA,Sole d' Oro,Karlsruhe,2,11,4,48.9948165,8.393987,Italian
3Rm2NlH_9Tp249DqicoeqQ,Maredo,Karlsruhe,2,63,3,49.0088748,8.4021614,Steakhouses
3uIRIs9Bs1ImPjfQp-lYoA,Lehner's Wirtshaus,Karlsruhe,2,64,3.5,49.009036,8.3953183,Anonymous
3vhkvCQizEJqcPfdURBj3g,amici,Karlsruhe,2,11,3.5,49.0103,8.39786,Italian
41tFQSXt68OyPDbm3GAQdQ,Bangkok Foodland,Karlsruhe,1,35,4,49.010514,8.393407,Thai
43A2uNd1EDp_tZGAzcl0AA,Beyti,Karlsruhe,1,5,4,49.0079271,8.3795858,Anonymous
4fZtwMekeFdChOBQizz8Fg,Burger King,Karlsruhe,2,3,2.5,49.0289,8.35834,Burgers
4lanRbZT3tZx9Gv63SO7kQ,Pizzeria Centrale,Karlsruhe,2,28,3.5,49.00744697,8.388330448,Italian
4qI8E_OhC1RsO4nRtim-cQ,Schnitzelparadies,Karlsruhe,1,5,4,49.09544514,8.484202623,Anonymous
4XZmBXSb-IvtkQ2nx_TQSg,Bambus-Garten,Karlsruhe,2,10,3,48.9426,8.40896,Chinese
516cVatYZRqXcHEdfSTasw,Café Am Markt,Karlsruhe,2,6,3.5,49.009768,8.40367,Cafes
51tbyswAGxdw9mN5qrPGeA,Nat-Pob,Karlsruhe,2,9,3.5,49.0175,8.34959,Thai
5cOhs2bPeCMYA7OdQ3AOrQ,Gasthaus dBadisch,Karlsruhe,2,5,5,49.0761184,8.39144,Anonymous
5jb7i9_803c0YejTudYzHA,Shanghai China Schnellrestaurant,Karlsruhe,3,13,4,49.0103,8.38512,Fast Food
5VTBQov3GPKQ-dl-GW4JeA,Cafe Eukalyptus,Karlsruhe,0,5,4.5,49.00165894,8.382980727,Coffee & Tea
5wfKnQS46yzNQSVfK0Cugg,Class Döner & Pizzahaus Rüppurr,Karlsruhe,1,4,4,48.9726,8.40868,Pizza
5wUave1meYwsd6UFdihW4w,Maiers Restaurant Am See,Karlsruhe,3,9,4,48.9188,8.37076,Anonymous
5xXr_KnqboB4SclCe9d9jg,Falafelhaus,Karlsruhe,1,13,5,49.0088292,8.3915418,Mediterranean
69-bzg2RpU2mi9T79u6nUg,Gasthaus Adler Rheinstetten,Karlsruhe,0,4,4,48.9618109,8.292246,Anonymous
6Ai-Uz3h9eC7UiaLvR-irA,ZEL Restaurant,Karlsruhe,2,19,4,49.01022814,8.392091015,Pizza
6B2uNKnslhbSFfym3Tw4ZQ,Cafe Brahms,Karlsruhe,1,3,4.5,49.01288,8.36553,Cafes
6FAJctqkP0uwTWfSV3lDSQ,Kofflers Heuriger,Karlsruhe,2,15,3,48.9722843,8.403436,Anonymous
6ffwWT-0iWLc7TnKkh-Nuw,Ssc Gaststätte,Karlsruhe,2,5,3.5,49.027,8.44388,Anonymous
6fYqoI-jc2qpBAGOyWC65A,Zum Laub,Karlsruhe,2,11,3.5,49.0037,8.52661,Steakhouses
-6NaBMeSXBnY7j9p7sdPhw,Brauhaus 2.0,Karlsruhe,2,25,3,49.0370694,8.3485875,Anonymous
6WbvAT9Il4Fi9egO4F2M5g,La Pizza,Karlsruhe,2,7,2.5,49.0056,8.40342,Italian
6yCm35snSRmCQqXI8MlYSw,Restaurant La Signora,Karlsruhe,2,13,4,49.04508,8.38144,Italian
