Business_id,Name,City,Price Range,Review Count,Stars,Latitude,Longitude,Cuisine
__kNfrrGoUXoF-BYciMU_Q,Bite Breakfast & Lunch,LasVegas,2,428,4.5,36.11391655,-115.3086255,Breakfast & Brunch
_2FUpthYr7h9VLNbe9Gxyw,Porchlight Grille,LasVegas,1,75,4,36.130313,-115.274574,American (Traditional)
_2HFbrYZFp2p59hptZeDbw,Subway,LasVegas,1,7,4,36.1906225,-115.2588414,Fast Food
_2RBxybvzNmw2k1_jJTe1Q,China Tango,LasVegas,1,150,4,36.02953738,-115.0858369,Chinese
_3f8o37w8APyUboCgwPkhA,Buon Gusto Ristorante,LasVegas,2,279,4,36.0019645,-115.1031259,Pizza
_3fswReXCBK1Fidkll5Piw,Ben's BBQ & Smokehouse,LasVegas,2,21,3.5,36.128561,-115.1711298,Barbeque
_44__hQ4GxGNRzkhLHBw0A,Carbone,LasVegas,4,152,4,36.1073485,-115.1765836,Italian
_45p8kOA__aNycVVe-n-KA,Planet Dailies,LasVegas,2,575,3,36.1096948,-115.1701624,American (Traditional)
_4-K6xAYzCEIn_r4B8FB2g,In-N-Out Burger,LasVegas,1,47,4,36.28526896,-115.1343861,Burgers
_65BG8jLwJJYihHqPkGH_w,Subway,LasVegas,1,17,2.5,36.06961478,-115.2982041,Fast Food
_6gbnNRPIc-iM_0cBLPX1A,Estiatorio Milos,LasVegas,4,755,4,36.109883,-115.173887,Greek
_6mftzpLyxUd6bk520nT_g,Grape Vine Cafe,LasVegas,2,27,4.5,36.19459476,-115.2587036,Mediterranean
_8-pQzmTWT3Vsn3QnrnoUA,Del Taco,LasVegas,1,4,3,36.2036872,-115.1992573,Mexican
_9q_TYfKeegwc32Z0mtpYw,EATT Healthy Food,LasVegas,2,33,5,36.14333071,-115.2620287,French
_9YyclQi9o9EalWKM8MG0g,Taco Tijuana,LasVegas,1,138,4,36.10020889,-115.1151449,Mexican
_agqgl4kkXu_5xKCKP8gcA,Buffalo Wild Wings,LasVegas,2,126,2.5,36.2769842,-115.1380177,American (Traditional)
_Aq9R8FRoXq8HwC5qf80Xg,Koi Restaurant,LasVegas,3,489,3.5,36.1096948,-115.1701624,Japanese
_aqNCt2RzYu8Qkj0z6A9cw,Palm Pizza,LasVegas,1,24,2.5,36.1584128,-115.1007484,Pizza
_aRnypLaHgZ7E9wZqHilOg,Gyro Time,LasVegas,1,59,3.5,36.08550023,-115.1194323,Greek
_AzE9doN9QL3Ffwfe9FGKA,Annie's Kitchen,LasVegas,1,8,4.5,36.18430301,-115.1470054,Barbeque
_BL-KfyZqYruqDvxTY-vUg,Surang's Thai Kitchen,LasVegas,2,188,4,36.089564,-115.2974352,Thai
_BrLcaVzE6GqBilwmdQOfg,Elixir - A Local Lounge,LasVegas,2,100,4,36.0762625,-115.080961,American (New)
_c6EWrGrbqjDOk99aX3yLQ,Jack In the Box,LasVegas,1,7,3.5,36.10165897,-115.2073942,Fast Food
_Ck4AAtkBLsDL9Qcbo9h1Q,Port Of Subs,LasVegas,1,20,4,36.08564777,-115.1194259,Anonymous
_cNzmoWpJfIHlsmlMGJuLw,Einstein Bros Bagels,LasVegas,1,54,2.5,36.19187938,-115.3051186,Anonymous
_Ec1KaH6DpX-1NNE8fA55Q,Pho Rancho Asian Cuisine,LasVegas,1,209,3.5,36.2377496,-115.2317001,Vietnamese
_fcEpudbiTB4o9wLJ-egTA,Grand Café,LasVegas,2,105,3,36.0209607,-115.09037,American (New)
_gPmBXNTJqI5tGhe7G_BKg,Carl's Jr Restaurants,LasVegas,1,12,3,36.1462673,-115.1829873,Fast Food
_GWuXjPNBnO56OaT_daPZQ,Zeffirino,LasVegas,3,327,3.5,36.11924082,-115.1715938,Seafood
_GZArxAclA3vjhXWIMmvCA,Feast Buffet,LasVegas,2,70,3.5,36.1337103,-115.0850568,Anonymous
_i1CmdenYAwLKyBpX3oVHg,Subway,LasVegas,1,12,1.5,36.24024897,-115.1161388,Fast Food
_iA0u6ZKehTUvPY7Xp4Jbw,Wings Restaurants,LasVegas,1,80,3.5,36.006758,-115.116175,Chicken Wings
_ibKsVEx2LMobFd52D0NZg,Verona Pizza,LasVegas,1,50,3.5,36.1151646,-115.1484109,Italian
_IDjM6FxLd3sudSm8YBA5A,Subway,LasVegas,1,8,3.5,36.26434433,-115.2579025,Fast Food
_I-hcsM-TFQkBgSjpk7JLQ,The View Cafe,LasVegas,1,6,4,36.2156114,-115.2490872,Cafes
_iMlWyow-HdId-sFburl8w,Cafe Americano,LasVegas,2,95,3.5,36.1162194,-115.1745719,American (New)
_j4jCjlnuUnsvq1UnfF1Ag,Pei Wei,LasVegas,1,91,3.5,35.999131,-115.1061084,Asian Fusion
_jcTmBq7W7p4HOl9nJ4SlA,Wild Grill,LasVegas,1,14,4,36.004894,-114.941267,American (Traditional)
_jpV3XLukEsSbXkff5_uzQ,Lobster Me,LasVegas,2,10,3.5,36.1081485,-115.1699073,Seafood
_K14v9GZVIoQJhrgPJm9MQ,Dairy Queen,LasVegas,1,5,3,36.098909,-115.175557,Fast Food
_LjNO1X-jFr_HWSfnkTP_Q,Don Vito's Italian,LasVegas,2,117,3.5,36.011877,-115.175816,Italian
_LsGlbpybDbENusCXuEpyQ,JJ's Boulangerie,LasVegas,2,159,3,36.111721,-115.171207,Breakfast & Brunch
_m1jiGnFykgtWB07JkOttA,LaBella's Pizzeria,LasVegas,2,38,3.5,36.2807033,-115.2654758,Pizza
_MHdQ-eZ3baeGlX0uj2Nyg,Sushi Hiro,LasVegas,2,92,5,36.01761705,-115.118231,Sushi Bars
_MkEsZayoYMMOXE_qCJYgA,Raising Cane's,LasVegas,1,129,4,36.2649844,-115.2566817,American (Traditional)
_nJ1w00q6dWlub82Qt0BcA,KFC,LasVegas,2,10,1.5,36.2398,-115.16,Fast Food
_Nxn5EnIvuz48O1x-nsRfw,Sushi Neko,LasVegas,2,211,4,36.1260481,-115.2123157,Sushi Bars
_OXr_eA576nwnU-dFsEfvA,The Mad Batter Café & Bakery,LasVegas,1,162,4,36.013102,-114.962135,Breakfast & Brunch
_PuhheIPgmDCBJe1nhpKTg,Tuscany Gardens,LasVegas,2,76,4,36.1133965,-115.1600873,Breakfast & Brunch
_PVEERIWg0xyrGXgL8iz_A,Golden Phoenix Chinese Cuisine,LasVegas,1,70,3,36.27478545,-115.1183045,Chinese
_Q4VSHSr8ryAOfmsd9g6yA,SEA: The Thai Experience,LasVegas,2,280,3.5,36.1142773,-115.1709763,Thai
_Q5Q5mBgMaG1EyEsVIuv8A,McDonald's,LasVegas,1,7,2,36.1953052,-115.1611508,Burgers
_qEeF5FDUe3y3uU9NK_kCg,Port of Subs,LasVegas,1,9,3.5,36.2715522,-115.2676311,Anonymous
_qr-o4j4a_9OMIWhmaZqVA,Taqueria La Casa Del Pastor,LasVegas,1,27,3.5,36.0995058,-115.2222678,Mexican
_rv6-4ryEg5V18cs6DNUug,Jack In the Box,LasVegas,1,14,2.5,36.012077,-114.9919903,Fast Food
_rZmCez34Su-r9yEIkUwQQ,Little Caesars Pizza,LasVegas,1,19,2.5,35.9995957,-115.1025168,Pizza
_SdixbXjvpCIMln7_sgDfg,Manhattan Pizza II,LasVegas,2,34,3.5,36.2400178,-115.0655934,Pizza
_tS0YfyPDxOXxrN4Kl2_HQ,Trevi Italian Restaurant,LasVegas,2,609,3.5,36.11783958,-115.1732183,Pizza
_UdfuV4VH5PopAuCJPflYw,Peace Ethiopian Market & Cafe,LasVegas,1,7,4.5,36.11605296,-115.207261,Breakfast & Brunch
_UeDYGanV1pMDrhFb2gMVA,Fuego Steakhouse,LasVegas,3,62,4,36.0319583,-115.0091278,Steakhouses
_uORj7gXai7YEpC9fY4xDw,Pizza Forte,LasVegas,2,30,3.5,36.1102226,-115.155311,Pizza
_UsqOvmgoNzb_0xWpzwZBg,Chicago Brewing Company,LasVegas,2,353,3.5,36.1474961,-115.2980652,American (New)
_v51zHEOkXseN6mtNCddbQ,China Garden,LasVegas,1,47,3.5,36.05489537,-115.0846514,Chinese
_VN5hYv1VgNIBgwxTQZ_1Q,Mr. Lucky's 24-7,LasVegas,2,691,3.5,36.10829438,-115.1525895,American (Traditional)
_wA2aYYo1zyQr4VF2OibSQ,Jersey Mike's Subs,LasVegas,1,14,3.5,36.0005078,-115.105592,Fast Food
_WU8xM2pvdVHSjDMdEm8Ow,La Reyna Mexican Restaurant & Mariscos,LasVegas,2,15,4,36.17617,-115.0630157,Mexican
_xmJB767rROtAy6XepMlkQ,The Buffet At TI,LasVegas,2,613,2.5,36.124829,-115.171991,Breakfast & Brunch
_yQkTIlbJlBt0tQRbzBa7g,China Star,LasVegas,0,3,2.5,36.0655752,-115.0453713,Chinese
_zj1jifyGsT611EkfOgHhA,Subway,LasVegas,1,5,2.5,36.15748,-115.079768,Fast Food
_ZR4CE9JwB42By5R7qVi2g,Subway,LasVegas,1,8,2.5,36.219354,-115.296681,Fast Food
_zrSQdISpB_qry9tb098rw,Rao's,LasVegas,3,652,3.5,36.11636745,-115.1764396,Italian
_ZyJLAlkmqefU0WXQ2o6jQ,Sammy's Woodfired Pizza and Grill,LasVegas,2,244,3.5,36.144512,-115.2366621,Pizza
0_LZEAYsexEZS-OFTjdjNQ,Flavors The Buffet,LasVegas,2,485,3,36.11992826,-115.172435,Anonymous
00Xax3gkt7x1U06JBDIiEg,Rick's Rollin Smoke BBQ & Tavern,LasVegas,2,90,4,36.161205,-115.145457,Barbeque
014pkZADThO2BoXFa1tuKg,Promenade Cafe,LasVegas,1,58,2.5,36.175747,-115.2917528,Breakfast & Brunch
04SHVStCJ-517oUBKEBjfQ,Roberto's Taco Shop,LasVegas,1,47,3,36.0391085,-114.9805988,Mexican
05fTEsjUPVo5jks8PpNKCQ,Rollin Smoke Barbeque,LasVegas,2,1844,4.5,36.1321763,-115.177067,Burgers
05i9WpIZPJRb-d0XF6ywTQ,Waterside Cafe,LasVegas,2,3,3,36.17457592,-115.2923512,Cafes
05tazaFQt1EnQ_Gk_1AFyg,Nine Fine Irishmen,LasVegas,2,823,4,36.103087,-115.17352,Anonymous
06NjrKnpuwCWQQfKpt4tvQ,Las Islitas Mariscos,LasVegas,2,177,4,36.2045285,-115.1170442,Seafood
08ke0Orbu5x3mYZPgMadaw,Sin City Thai Restaurant,LasVegas,1,73,3.5,36.07250977,-115.2069016,Thai
08qUHIm3HIFMnkMdS5IYLg,Barbacoa Kings,LasVegas,1,6,5,36.1975116,-115.2060571,Mexican
098lYL3ZpOayRvk7MbwyLg,Teriyaki Madness,LasVegas,1,87,4,36.1955613,-115.2567931,Asian Fusion
0ACVidzreTcv88AHqWXqNA,Subway,LasVegas,2,9,2.5,36.1587061,-115.0675277,Fast Food
0aV8mzabKSFylfi0NQGqlQ,Los Tacos,LasVegas,1,220,4,36.1584563,-115.1275613,Mexican
0AzoCP_nz0hv0-BpXLxq_A,Farm,LasVegas,2,101,3,36.29255268,-115.1801785,American (Traditional)
0CI1U1SNHFKdSGMD9M4emA,Dickey's Barbecue Pit,LasVegas,2,76,3.5,36.27993091,-115.206377,Barbeque
0D-b8L0yFcNEi9k5mkoXiw,Capriotti's Sandwich Shop,LasVegas,2,45,3.5,36.0254612,-115.0466357,Anonymous
0eGGV3yyJT4joipvaoYrkw,El Guanaco Restaurant,LasVegas,2,6,4.5,36.130393,-115.108235,Anonymous
0enMncxkQZB0-rHnoFMGLg,The Lodge At Cactus,LasVegas,2,86,3,35.9989125,-115.2037393,Burgers
0EQSQwYecFTq7wpuUXLxnA,Globe Cafe,LasVegas,1,33,4,36.0345123,-115.120111,Coffee & Tea
0FmQpDFbWRIPHYBInCTwlg,Jack in the Box,LasVegas,2,8,2.5,36.158602,-115.0791016,Fast Food
0GCpesRgXSVluFoB2otXlA,Firehouse Subs,LasVegas,1,72,4.5,36.0819824,-115.1196025,Fast Food
0gsYv0BRBxd5wDYDsB9wDw,Jollibee,LasVegas,1,122,2.5,36.14627434,-115.3010218,Fast Food
0H7ewZ656xM0bulSMowWtQ,Sagos Baja Tavern & Lounge,LasVegas,2,89,4,36.102015,-115.2965319,American (New)
0hej0FRXraL5BNUKWhY_8w,Taco Bell,LasVegas,1,28,3,36.0609332,-115.2242758,Fast Food
0i0PwU8lpj4evYKQogWxcA,Public House,LasVegas,3,537,3.5,36.1214517,-115.1696112,Anonymous
0IJWOuv6BT3HYo2V-SttcA,Rizanos Pizza and Pasta,LasVegas,1,36,3.5,36.1161569,-115.2418001,Pizza
0ik871AZ59p77xpkA0RwSA,Carl's Jr,LasVegas,1,12,3,36.100397,-115.2073399,Burgers
0JBktMcQgwxObtrwjILJuQ,Pizza Hut,LasVegas,1,13,2.5,36.1442831,-115.0625725,Pizza
0jETMJNxaeKAlE_Ts0lruQ,Little Caesars,LasVegas,1,12,3,36.1149174,-115.0991304,Pizza
0JhjsUzRz98dhAUr5o2DCw,Applebee's,LasVegas,2,112,3,36.0655776,-115.0465752,American (Traditional)
0jkZZRywo3wlmZcuCFbSEg,Macayo Vegas,LasVegas,2,42,3.5,36.1592393,-115.1261371,Mexican
0jMvE0Mu4GOfhztWz5YLoA,Images,LasVegas,1,3,4.5,36.0327021,-114.9836882,American (Traditional)
0jq5ZFLRqAAujEuymdPu4g,MOzen Bistro,LasVegas,3,284,4,36.11188677,-115.1732762,Asian Fusion
0JUcQpKWku8D86TVY6cTgA,Hometown Classic American Eats,LasVegas,1,138,4,36.0859518,-115.1014889,Breakfast & Brunch
0l028v-NfBCDW2sVkfqDRQ,Hamada's Asiana,LasVegas,0,3,1.5,36.1164467,-115.1848942,Japanese
0lSpc7JQo6rXUE6nLHghLQ,Burger Lounge,LasVegas,2,20,4,36.10708403,-115.1760872,Burgers
0lWQSXID3T7K3DbjX7CpqQ,China AAA,LasVegas,1,66,4,36.0115778,-115.1381327,Chinese
0mPrp8m_caTxdSGfIxNtTw,Tommy Bahama Restaurant | Bar | Store - Las Vegas,LasVegas,2,323,4,36.06849693,-115.1769306,Seafood
0ng1b8buaqJ7deuiDxMWFg,Glutton,LasVegas,2,307,4.5,36.1675335,-115.1400717,American (New)
0o3t16CHwlhl-44fuuhYaQ,La Sierra Mexican Restaurant,LasVegas,0,3,3,36.1739664,-115.1181783,Vietnamese
0oz45sNYYP2LKKBjNTD2yA,Port of Subs,LasVegas,1,27,3.5,36.072377,-115.2428612,Anonymous
0QI1fVQ3dYUws2DZhBGDpQ,Subway,LasVegas,1,16,3,36.2191781,-115.2624712,Fast Food
0QtGVVXoDnKJxPA0v2yckA,Ceres,LasVegas,2,27,3,36.17581054,-115.291448,Breakfast & Brunch
0r0MmNl9Mj57qg-bFWL-rw,The Box Car Buffet,LasVegas,1,4,3.5,35.9725193,-114.9119698,Anonymous
