Business_id,Name,City,Price Range,Review Count,Stars,Latitude,Longitude,Cuisine
_6MDHQQ-PeUJ9CP-MoKApA,Pancake Cafe,Madison,2,36,2.5,43.04883798,-89.50367824,Breakfast & Brunch
_b-Q0ZVI30FfgPW_UtbLyw,North and South Seafood & Smokehouse,Madison,2,40,4,43.0616294,-89.4962001,Seafood
_L6sbh9zs7f4s1EM_niQcA,Casey's General Store,Madison,0,4,5,43.25312,-89.356495,Pizza
_NW61hsQvk7u2E_xWiWyMQ,Main Depot Tavern,Madison,1,11,4,43.0672802,-89.392125,American (Traditional)
_WbZri6b9Wq4iofDm7CI9Q,Bassett Street Brunch Club,Madison,2,302,4,43.072731,-89.393353,Breakfast & Brunch
_xeigHhwNOB6N1if3lQO3w,Olive Garden Italian Restaurant,Madison,2,41,3,43.06028788,-89.50449837,Italian
_xssBWvthbdPh2KdAaAJSw,Glass Nickel Pizza,Madison,2,26,3,43.0158469,-89.5114326,Pizza
_z9UrC5hCTBK1JIgQD0YDw,Noodles & Company,Madison,1,56,3.5,43.0749456,-89.3895712,Anonymous
03yij332OZ6UNqajNgZsGA,Babcock Hall Dairy Store,Madison,1,42,4.5,43.0749778,-89.4137655,Anonymous
04h3nxtkDfaKsJhrKRHZ-Q,Taco Bell,Madison,1,12,2,43.174555,-89.25008,Fast Food
07cMlpbiOeiR8AP8JR0c_g,Milio's Sandwiches,Madison,0,4,3.5,43.0839852,-89.3027469,Anonymous
08UPumc2Tr3trW8J5SCrow,El Rancho Mexican Grill,Madison,1,30,4.5,43.0588605,-89.4000633,Mexican
0CpLn6Sx7Gxv2_hThX3qzQ,New Seoul Korean,Madison,2,27,4,43.0755809,-89.518577,Korean
0DxeMAfznpqhxH1Z8O0_Yg,Magic Wok,Madison,1,44,4.5,43.092519,-89.353881,Chinese
0IDIy6Ti9V4rKhX-WgWFHg,Curry in the Box,Madison,1,66,3.5,43.023349,-89.418612,Thai
0iJhsBF_AkHsVUKCggWsQw,The Klassik Tavern,Madison,2,21,4,42.989845,-89.538978,American (Traditional)
0ilFtvFUJ71JqiaVxIM-KA,Pots N Tots,Madison,1,7,4.5,43.0730517,-89.4012302,Anonymous
0lslsYnEVGDtXiM9V2GxWg,Ginza Of Tokyo,Madison,2,56,2.5,43.056628,-89.4989583,American (New)
0NNw9CHm0X8LJBvmIJvBIA,Jordan's Big Ten Pub,Madison,2,69,4.5,43.0679737,-89.4082936,American (Traditional)
0oQFFOdPZycIBmGkoBrlbg,Noodles & Company,Madison,1,34,3.5,43.12540795,-89.30969877,Anonymous
0p3MbCriuvH9hgqRK9W-LA,Milio's Sandwiches,Madison,1,5,2.5,43.0734008,-89.382498,Anonymous
0pQhnZ5CV60lSKTQg2GKng,Oakcrest Tavern,Madison,2,52,4,43.0739889,-89.4727397,American (Traditional)
0pXk2JkijBpi2Iz0D5pFXA,Kabul Restaurant,Madison,2,133,3.5,43.075131,-89.394445,Mediterranean
0rj2xW1YKAbfHxe804Fefw,Benvenuto's Italian Grill,Madison,2,51,3,43.0146691,-89.4303415,Italian
0UL_ZuWauXthShF2mb9iKw,Pitcher's Pub,Madison,1,15,3.5,43.0365968,-89.388805,American (Traditional)
0wGWhZw81cIG7YjwghZhgw,Sunroom Cafe,Madison,1,138,3.5,43.075159,-89.396178,Breakfast & Brunch
0zaZp4Kqar6P4iG0ZfuftQ,The Seafood Center,Madison,2,26,4.5,43.0492844,-89.474125,Seafood
11yg-JMNCFowyIjJarzuDQ,Hardee's,Madison,1,8,3,43.132307,-89.300914,American (New)
154tSL4P_0sblVtP7uP3_Q,Cosi,Madison,1,35,3,43.09078469,-89.52554617,Anonymous
1alcD9lDjwxDIcGaUh9oCw,Taste of India,Madison,2,41,4,43.0572208,-89.428248,Indian
1befOgRP6P_AwzA1K6RJ4A,Dickey's Barbecue Pit,Madison,1,24,3.5,43.08999255,-89.52320934,Barbeque
-1BzcQK-HDA6LVOThHMpsw,AJ's Pizzeria and Diner,Madison,2,17,4,42.9880198,-89.5336701,Pizza
1H0L1uJtQdgwCxFEC7q6Tw,Olde Town Coffee House,Madison,2,13,4,43.0757247,-89.1994343,Coffee & Tea
1HbKFWG5QKzYkuNxig6H7w,Saigon Noodles,Madison,1,253,4,43.0571457,-89.4995195,Vietnamese
