Business_id,Name,City,Price Range,Review Count,Stars,Latitude,Longitude,Cuisine
__Y2jjdCFHvq3rzSbpDBlw,Café Crèpe,Montreal,2,20,4,45.5057561,-73.567298,Cafes
_078AkowGpJ00o2FZtnUoA,Sushi St-Denis,Montreal,2,41,3,45.5152647,-73.5635655,Sushi Bars
_0CpbHd0QcxblPByFYkaOw,Burger de Ville,Montreal,2,41,4,45.5243878,-73.5959918,Burgers
_1qRvGFwQdVmJkuSaO0MjA,Tora Sushi,Montreal,2,7,3.5,45.5314502,-73.6072027,Sushi Bars
_2BQyxiY4q6xBNh3LgoX0A,Chez Gerard,Montreal,0,7,4.5,45.5762576,-73.7881755,Burgers
_2HWFHK32CRER39vR40oRQ,Royal Sous-Marins,Montreal,1,8,3.5,45.5270321,-73.6021762,Pizza
_2SV0T9wUI2YK4rEfeLhMg,Orange Burgers & Brunch,Montreal,2,20,4,45.514486,-73.571842,Breakfast & Brunch
_-6I6VXjr-NiwIBa_1uI4A,Bistro Sanguinet,Montreal,1,5,2,45.5127967,-73.5610991,Cafes
_-8F1Ry4hQBjYVOX95T6aA,Dim Sum Montreal,Montreal,1,6,4,45.5086699,-73.5539925,Chinese
_8tGPxBYb4aq3fuhOePTgw,Chinoiseries et Dumplings,Montreal,2,11,3,45.5342123,-73.5736908,Chinese
_9_K2oblGMnTVKPdYfAJHA,Beaubien Deli,Montreal,2,4,4,45.5620562,-73.5803396,Pizza
_94uLHACC0jMNoDyI9YpaQ,Resto Chillax,Montreal,1,7,4,45.5089994,-73.5726227,Coffee & Tea
_A9Tahq291sPgIGnmOPDOw,Thaiphon,Montreal,2,4,2.5,45.5047547,-73.5712243,Thai
_B5RZxl6S3nLVV3j0UoQew,La Verita,Montreal,3,18,5,45.4848356,-73.8044082,Italian
_bDQqgRS6POAGi9-yHKDgw,Garde Manger,Montreal,4,226,4,45.5028316,-73.5555304,Seafood
_c98YKUKcD43F7oAPefM8A,Restaurant Kam DO,Montreal,1,17,3,45.5140048,-73.6820886,Chinese
_CcRXoqxDXxhgmvUFCbiQQ,Café Bedondaine,Montreal,1,4,4,45.5498089,-73.5346699,Cafes
_cY8xEvsQz0flCYWOzxD7A,Seoul Chako,Montreal,2,95,3,45.493367,-73.579637,Korean
_dgnqH3rz1L_qOGMeihIyA,Le Bourlingueur,Montreal,2,80,3.5,45.50273,-73.555096,French
_DyUWCkg-rPnJMKtBWdi-w,Pizza Expreso,Montreal,1,5,2.5,45.4580729,-73.5674251,Pizza
_eWCvyOCsuBXIQCOSVZy4Q,Casey's,Montreal,2,7,2.5,45.53437864,-73.65908994,Canadian (New)
_gb5Hxm5S5U86ejVywETMA,Chez Boris,Montreal,1,95,4,45.5203541,-73.5966742,Coffee & Tea
_ku5mlOIicSVVeXJWZnV4g,Sushi 426,Montreal,2,5,4,45.5412395,-73.6226405,Sushi Bars
_Mkp-ZD_TSmLAjR-BmBg7g,La Capital Tacos,Montreal,2,55,4,45.5084429,-73.5610566,Mexican
_N3MvTGuRApX1nddo2INrQ,Pastamore,Montreal,1,5,4,45.484117,-73.805955,Italian
_N4Z8G4uo3y7IMSoNsXmaA,L'Oeufrier,Montreal,2,3,4,45.479123,-73.581528,Breakfast & Brunch
_n6ADy2M8XCJerlXTWbvQw,Buffet Fu Lam,Montreal,2,12,2.5,45.4944687,-73.70541387,Chinese
