Business_id,Name,City,Price Range,Review Count,Stars,Latitude,Longitude,Cuisine
__CQhr0M-OpKdu0DXgGcaQ,Sylvia's La Canasta,Phoenix,1,7,2.5,33.4952465,-112.1410799,Mexican
_1GI_asXVGhOJMNF51SdlQ,Taco Bell,Phoenix,1,6,2.5,33.551799,-112.261029,Fast Food
_1kpFsEZH1VxPcTtEMtd1Q,Pizza Hut,Phoenix,1,6,1.5,33.44949699,-112.3427564,Pizza
_20WCD89imWx15jlxv7kGg,Seksun Sushi,Phoenix,2,134,3.5,33.32013,-111.862674,Sushi Bars
_2DT03K8fWh82Y9tBVYMKQ,Subway,Phoenix,1,8,3.5,33.5368504,-112.099065,Fast Food
_3Hpnxe1sJ6GOLpSRkgWyQ,Hungry Howie's Pizza,Phoenix,1,25,3,33.4795444,-111.981639,Pizza
_5FOD8UZxyJVWnnoAXq-GQ,Wendy's,Phoenix,0,11,1.5,33.45279777,-111.6835678,Burgers
_5qkBSljHlRo5B9GQLDp3w,Subway,Phoenix,0,6,3.5,33.4953887,-112.0310353,Fast Food
_5wB2ahFLsGA5L43XSAdSg,McDonald's,Phoenix,1,5,2,33.0388643,-111.3784132,Burgers
_6rAAUCDoeJKiLNwHOaS1g,McDonald's,Phoenix,0,7,2.5,33.03707955,-112.0147884,Burgers
_6rzEUOYbo7lgtkSKkKS9g,Culver's,Phoenix,1,79,3.5,33.6383013,-112.4066665,Burgers
_7EJtWjOjZsBUNRvzw-_Xg,Johnny Rockets,Phoenix,2,86,2,33.53853307,-112.2603607,Burgers
_8Y-XNHmQ76xmxUQIrn0sA,Blimpie,Phoenix,1,15,3.5,33.4736745,-111.9862587,Anonymous
_9h-jH3YOkAU9-2A-dy6YQ,Old Chicago,Phoenix,2,124,3.5,33.3847421,-111.8578485,Anonymous
_9Kk6zyna1T5CZoaBy_YCg,Federico's Mexican Food,Phoenix,1,12,2.5,33.59370132,-112.3418499,Mexican
_9wiSQbsRe0fiVeHQkxygQ,Filibertos Mexican Food,Phoenix,1,27,3.5,33.2497757,-111.6344769,Mexican
_9yrJLQpFa4JWvJ74xuHpw,Yen Ching,Phoenix,1,32,3.5,33.4132788,-111.6848381,Chinese
_A4zWsLoLbjozEJYHLDx0Q,Little Italy Pizza & Restaurant,Phoenix,2,69,4,32.9485206,-112.7117618,Pizza
_AvHni-xdRHmZ3XfYHwGkg,Posh Improvisational Cuisine,Phoenix,4,334,4,33.506543,-111.92655,American (New)
_B_ksb_rYxfnHE0kbuezSQ,Charley's Grilled Subs,Phoenix,1,3,3.5,33.3892092,-111.8605725,Anonymous
_B70VqLL-VLj3BUbBMLmFA,Subway,Phoenix,0,4,2.5,33.3772769,-111.9512974,Fast Food
_BU867oRCLZnDIRmg7S6Wg,Chili's Grill & Bar,Phoenix,2,77,3,33.6401859,-112.0685999,Tex-Mex
_CG5zJAoNN6gszjhSyUcww,Chodang,Phoenix,2,264,4,33.3118395,-111.8411351,Korean
_CIodPGuvPP2khYkDk1jKw,Taqueria Los Yaquis,Phoenix,1,159,4.5,33.50896025,-112.0834144,Fast Food
_CzopXSIYIp7_oeYNYVwWQ,Papa Sam's Chicago Style Pizzeria,Phoenix,1,48,3.5,33.6546046,-112.1526954,Italian
_D3KUba-5fHTbucTBAnigw,Wendy's,Phoenix,1,14,2.5,33.3664957,-111.841256,Burgers
_DjAApQ5qhhHP5H_gzX57A,Ocarnivores,Phoenix,0,4,1,33.5514914,-112.2701358,Mexican
_dVPzYGXKNg2rIsc40VtyA,Jack-In-the Box,Phoenix,1,14,3,33.4952631,-111.9079693,Fast Food
