Business_id,Name,City,Price Range,Review Count,Stars,Latitude,Longitude,Cuisine
_0UC6YiwhkgLOJWxMmMQQQ,Giorgio's Place,Pittsburgh,1,25,3.5,40.4520512,-80.0170515,Pizza
_-1EgXrkOlKajCsmasuEgg,Village Tavern and Trattoria,Pittsburgh,2,28,3.5,40.441158,-80.03373347,Italian
_5Hp0LNdX6ZLsQRAFFCVYg,Vocelli Pizza,Pittsburgh,1,6,3.5,40.4219149,-79.8863458,Pizza
_aGVicux2dJm9sqzLSCJtg,Subway,Pittsburgh,1,3,3.5,40.4427514,-79.9997098,Fast Food
_EBvw_mU3CowvAeBWI96sA,Niko's Coffee,Pittsburgh,0,3,4.5,40.4455125,-79.9932478,Cafes
_FlIJoFcEvYaMfZAs3LbFA,Big Shot Bob's House of Wings,Pittsburgh,1,11,4,40.3988404,-80.0829369,Chicken Wings
_GbMuSSfeZFeN08w2ONJ1g,Quik-It Chicken,Pittsburgh,1,13,4,40.45620203,-80.01619446,Barbeque
_ji6oh2RwfOOt0jMznT5wg,Crepes Parisiennes,Pittsburgh,2,94,4,40.4460679,-79.948641,Anonymous
_jsJFrAmFVPRio0eEVExbA,McDonald's,Pittsburgh,1,6,2.5,40.492067,-80.06235,Burgers
_k2nOJvhfNKUFa2i-DnlQQ,Lone Star Steakhouse,Pittsburgh,2,12,3.5,40.3502247,-79.9411557,Seafood
_KvGddVMM3d2f7NEa_eOtA,Primanti Bros.,Pittsburgh,1,219,3,40.4417769,-79.9569556,American (New)
_N6llQ4cPuNcMmKyagRRiA,Steel Cactus,Pittsburgh,2,6,3.5,40.44758122,-80.00436023,Mexican
_-Ufb4yxXeR9kTxHmODB3g,Chick-fil-A,Pittsburgh,1,3,2,40.44418,-79.95341433,Fast Food
_WaHLgLzALd2iThQAhC-sQ,Shiloh Grill,Pittsburgh,2,200,4,40.43088531,-80.00696564,American (Traditional)
_yyHTeCtVOQKjD6G6GO_lg,Eadies's Market,Pittsburgh,2,13,3.5,40.4396569,-79.9958004,Cafes
0_BIIfLeB9DEG8Tss6bZQQ,Maldini's Taste of Italy,Pittsburgh,0,7,3.5,40.4217977,-79.8904336,Pizza
04ogq23JnzauhezrWEXG_g,Pittsburgh Barbecue Company,Pittsburgh,2,58,4,40.4217207,-80.0297405,Barbeque
04P3hZHQY4Wq7atYIkJX0Q,Bea Taco Town,Pittsburgh,1,3,3.5,40.4374166,-80.0001443,Mexican
05FkTuKNfebc8BafSAq1Lw,V3 Flatbread Pizza,Pittsburgh,1,34,4,40.4424113,-80.0030312,Pizza
08eRFhpedodAf6atSRK09g,The Colombian Spot,Pittsburgh,1,8,4.5,40.428796,-79.976795,Anonymous
09r7xwM1OTEM2hnAM8WPFA,Noodles & Company,Pittsburgh,1,55,3,40.441879,-79.9568891,Anonymous
0ayh3LxJwSbJEOlBCx9APA,Sonoma Grille,Pittsburgh,3,289,3.5,40.4444445,-79.996451,American (New)
0B89ylbI0L08rgiZ5mGflw,Joe & Pie,Pittsburgh,1,31,3.5,40.4434652,-79.99619784,Pizza
0FgwBx7pgmNdUtsd_T8UYQ,Ruths Chris Steak House,Pittsburgh,4,77,4,40.4394267,-80.0038037,Steakhouses
0FmWly56nUTg60-b5k0gTQ,Bluebird Kitchen,Pittsburgh,2,168,4,40.4404781,-80.0017838,Breakfast & Brunch
0H8Xo8XtA6GkSI2hAF0LKw,Zarra's A Taste of Southern Italy,Pittsburgh,2,56,3.5,40.454755,-79.954216,Italian
0IKwgLg_UApkFzMCAaJ1Lw,Uncle Sam's Submarines,Pittsburgh,1,82,4,40.43784759,-79.92288145,Anonymous
0iLGx8ilwfncucnYAknzzw,Lebo Subs,Pittsburgh,1,30,4,40.3819604,-80.0443604,Anonymous
0Ir2L-nWFFQP3jB7fnWTuw,BRGR,Pittsburgh,2,72,3,40.357213,-80.0520951,Burgers
0mYlBBYkKTk4prNj7tsBlQ,Au Bon Pain Co,Pittsburgh,0,4,3.5,40.4418329,-80.0038794,Cafes
0nnqnQ17emhcvi1uSheUvw,Westwood Bar & Grill,Pittsburgh,0,3,2.5,40.376674,-79.88248,American (Traditional)
0O5yuql5sNG1L_bpHb553g,Vinny's Pizza,Pittsburgh,1,14,2.5,40.394962,-80.022204,Pizza
0ORPehdGZci1Z_BTKe_5VA,Il Tetto:  A Rooftop Beer Garden,Pittsburgh,2,42,3,40.4439496,-79.9964366,Italian
0QkkNagJaWllynycTF-fRQ,Steel Cactus,Pittsburgh,2,185,2.5,40.45136191,-79.93359755,Mexican
0rGKsDpXf8H2fLaDEwWa4Q,Fresh Corner,Pittsburgh,0,4,3.5,40.441888,-80.003443,American (Traditional)
0sGhloiZf62hF_OTaahS1A,Two Louie's Market,Pittsburgh,1,16,4.5,40.446426,-79.991771,Anonymous
0V7lC5Xr9dVFbjXpXFbeow,Paris 66,Pittsburgh,2,172,3.5,40.459956,-79.92427,French
0ZPJm9g-xcKh_EpofgWVCA,China Wok,Pittsburgh,1,5,3,40.3661221,-79.9817378,Chinese
