Business_id,Name,City,Price Range,Review Count,Stars,Latitude,Longitude,Cuisine
_dOcOVjrFcIKbMWX1VTdBA,Fiesta Cafe,Urbana-Champaign,2,44,4,40.1147989,-88.2384807,Mexican
_FAKUOcKi8PoztprX95oGw,A Plus VIP Lounge,Urbana-Champaign,2,13,3.5,40.112708,-88.209562,Cafes
_fcrxqrOkoC7R-p0pbPDrg,Qdoba,Urbana-Champaign,1,7,4,40.109387,-88.2272456,Mexican
_rrWTz0W1K_eWafh-8r3fA,Black Dog Smoke & Ale House,Urbana-Champaign,2,662,4.5,40.11381822,-88.20768925,Barbeque
05FJCAvUFOAk8B_nIOqt7A,Legends,Urbana-Champaign,1,65,3.5,40.1105579,-88.2311675,Anonymous
0a4lX5VhCXJOwe-idxnVbw,Sitara,Urbana-Champaign,2,135,4,40.111959,-88.208652,Vegetarian
-0GkcDiIgVm0XzDZC8RFOg,Crane Alley,Urbana-Champaign,2,140,3.5,40.1122506,-88.2080393,American (Traditional)
0kRBRm5xOWclzemsLl9iQA,Hickory River Smokehouse,Urbana-Champaign,1,75,3.5,40.128807,-88.197784,American (Traditional)
0lFRJ0q1PU_R4YaLNRWnpA,Nitaya Thai Restaurant,Urbana-Champaign,2,49,3,40.118535,-88.244967,Thai
0mLadTWoDC6K_NFLMe29mA,K-Bowl,Urbana-Champaign,1,45,4,40.109988,-88.240506,Korean
0P0XckSv_2_ZNKoYlhT4Gw,Culver's,Urbana-Champaign,1,11,3.5,40.0856319,-88.246188,Burgers
1A_4WE4hdpdU3pG6PWUOVw,Pizzeria Antica,Urbana-Champaign,2,62,3.5,40.116869,-88.242964,Italian
1d5XAAH39FKenV3_9gcFIw,Steak 'n Shake,Urbana-Champaign,1,34,3,40.0949565,-88.245852,Burgers
-1oj6-fkP-iO6OyW8QBqPg,Jerusalem Middle Eastern Cuisine,Urbana-Champaign,1,42,3.5,40.1113,-88.229192,Middle Eastern
1T2rnvl67Gk9Uc0gzsCKQA,Joe's Brewery,Urbana-Champaign,1,36,3,40.109713,-88.2317829,Burgers
1tK0k-vRgGFC3oSZNUJ58Q,Bombay Indian Grill,Urbana-Champaign,2,76,3.5,40.110474,-88.233544,Indian
27q7XsLrKPNwr8i5RcCOvQ,Boomerang's Bar & Grill,Urbana-Champaign,1,13,4,40.1050134,-88.1925483,American (Traditional)
2g4mMfy5COvUlzZWfuQkKQ,Taco Bell,Urbana-Champaign,1,17,2.5,40.11634,-88.22085,Fast Food
2M-UBKKG7DyAXcvGLwNH2w,Intermezzo Café,Urbana-Champaign,1,11,3,40.108,-88.222501,American (Traditional)
2SycDjGWWpFs1ODL-YBoHA,Biaggi's Ristorante Italiano,Urbana-Champaign,2,160,3.5,40.0865554,-88.2470018,Italian
2UAbUSTMsR9G26A8AYO3dA,Sam's Cafe,Urbana-Champaign,1,80,4,40.1169853,-88.2427068,Breakfast & Brunch
4PatE4TUcea0Dj0hKICGJw,Einstein Bros Bagels,Urbana-Champaign,1,23,3.5,40.116138,-88.21977,Breakfast & Brunch
4UG9uGnByKgoiuVpC0DthA,Tang Dynasty,Urbana-Champaign,2,18,3.5,40.111024,-88.197063,Chinese
562AuYjOuZwtTbS1UYhY6Q,Alexander's Steakhouse,Urbana-Champaign,2,53,3,40.1369071,-88.2452215,Steakhouses
