Business_id,Name,City,Price Range,Review Count,Stars,Latitude,Longitude,Cuisine
_-EB8tQzBlM_jLkgtRw4Rg,Jack Astor's Bar & Grill,Waterloo,2,7,3,43.42345529,-80.43896689,Burgers
_gXohynLlr_L-lCfonNjOg,Grand Trunk Saloon,Waterloo,2,5,4,43.4497547,-80.4911023,Anonymous
_JCjTIKSZxSO5PuHE0rXBg,Williams Fresh Cafe,Waterloo,1,6,3.5,43.4211815,-80.4450725,Cafes
_pmjqKf9iZ6zLPCiLoClYg,The Java Garden,Waterloo,1,4,5,43.5374807,-80.5539114,Cafes
_yPgKR2Q9IJZ_sWDwvmq1g,J & B Family Restaurant,Waterloo,2,7,5,43.45427631,-80.4947348,Canadian (New)
03eWcf0c0PciZt_gVATwMw,Swiss Chalet Rotisserie & Grill,Waterloo,2,3,4.5,43.4205868,-80.4491669,American (Traditional)
0IM89Z0KaBnmCo5Or2-FDg,Black Forest Inn,Waterloo,2,5,2.5,43.5411674,-80.5032574,Anonymous
0jSLF-sYd23ZUAvXwqHDPg,Bhima's Warung,Waterloo,3,58,4,43.47741773,-80.52500378,Anonymous
0LAazCkT204ZB5636IS5zg,Dynamite Pizza,Waterloo,0,4,4,43.4562565,-80.46117,Pizza
0SVfpByEWCWgdWgDr5lPNQ,Cafe Pyrus,Waterloo,2,22,4,43.4496385,-80.4916992,Coffee & Tea
0vZk2_dbdgShL8jk-wYUdg,Ginos Pizza,Waterloo,1,3,3.5,43.47597767,-80.52526765,Pizza
1_AcAa6m09HVXrfm-1B5Tg,Lai Lai Restaurant,Waterloo,2,6,3.5,43.44489232,-80.5059135,Chinese
1FFatRz562qU7sSwrkkbqA,Big John's Submarines,Waterloo,1,5,4.5,43.4528037,-80.5179854,Anonymous
-2BNc33MHRuXljtCkXcLPg,Lion Brewery Restaurant,Waterloo,2,7,2.5,43.466999,-80.523219,Breakfast & Brunch
2bzcJo6z_ipeDGLf009Xpw,Southern Ontario Smoked BBQ,Waterloo,2,18,3.5,43.435174,-80.51601,Barbeque
2ekt7hZde4jY7fenBuG-pw,Mozy's Shawarma,Waterloo,1,73,4.5,43.4760346,-80.52570283,Middle Eastern
2nsDAIDkyD1sfE4ImA0oYw,Uni Wok,Waterloo,0,4,4,43.476073,-80.526301,Chinese
2uAu33sEzH32T_MACquC8w,Twice the Deal Pizza,Waterloo,1,16,3.5,43.484483,-80.52628,Pizza
39JxLjxeG1sKSBjmREWcMw,Shawerma Plus,Waterloo,2,28,4,43.4752375,-80.5243892,Middle Eastern
3hABcvH_N883tCvZE0GY9Q,The Works,Waterloo,2,10,4,43.4195716,-80.4474237,Burgers
3iWbq5QqLIgusVI2-PuUgQ,1001 Nights Shawarma,Waterloo,2,9,5,43.4190681,-80.4691717,Middle Eastern
3V0W5s4rqjAlwEQvx2VQLQ,Dragon Court Restaurant,Waterloo,2,4,4,43.4645623,-80.5218647,Chinese
3VSgwEgiYQg9xulyRjvYTg,Costco Wholesale,Waterloo,3,5,2.5,43.4073085,-80.3914327,Anonymous
45esgySsDQJy3PgvNz-9QQ,Boston Pizza,Waterloo,2,6,2,43.4049004,-80.3854891,Pizza
4ds-oi5g3gf1GZeNo50VKw,Ennio's Pasta House,Waterloo,2,41,3.5,43.483758,-80.5260207,Italian
4e59MkVEna_4bsNfrbwIVg,Foodie Fruitie,Waterloo,2,35,3,43.4724814,-80.5337054,Sushi Bars
4G-MC2z2Vpb7vCEEItpTlA,Cheeses Murphy,Waterloo,1,3,4.5,43.46643944,-80.52258486,Anonymous
4jJkEXwytUPkEbTpwdsi-A,Gino's Pizza,Waterloo,2,4,4,43.4698791,-80.515248,Pizza
4nWCXx6simsaozF84pNbJg,Martini's,Waterloo,2,10,3,43.4290777,-80.4327628,American (Traditional)
4-V0ZlSl6c40Pz2VAabUEg,Swiss Chalet Rotisserie & Grill,Waterloo,0,3,2.5,43.435192,-80.515194,American (Traditional)
57VdwbWf6S5JJbYoM_Luzw,Fork and Cork Grill,Waterloo,2,29,4.5,43.4317835,-80.4386514,Canadian (New)
5awoo-7qHP6LGdcCiLGMkg,Masala Bay Fine Indian Dining,Waterloo,2,23,3.5,43.4657569,-80.5221353,Indian
5CWTPfVpE-yK4R7Y3vKygQ,Marbles Restaurant,Waterloo,0,14,3.5,43.462251,-80.5210309,Canadian (New)
5fOPEDqX1rqwR17ZzBiKJQ,Firkin at the Tannery,Waterloo,2,8,3,43.451609,-80.4979235,Canadian (New)
5khWg0g3fZV4K-8DEeKLyQ,Tres Chiles,Waterloo,2,13,3.5,43.484427,-80.5408376,Mexican
5r8AcIxwM6ivaOGg5_fvCA,Holy Guacamole Fresh Mex,Waterloo,1,16,3.5,43.4507953,-80.4880976,Mexican
5riVjGssTIhHeg5RlNiuXQ,Dearborn Restaurant,Waterloo,2,7,3,43.4868458,-80.517072,Breakfast & Brunch
5U7oz95bINkyw_L8RckGEA,Mikey's Eatery,Waterloo,1,24,3,43.47231231,-80.53800241,Chinese
66XRExJOYvkbKiYfc2JQhg,Vegetarian Fastfood Restaurant,Waterloo,1,28,3.5,43.471891,-80.537082,Vegetarian
6ObEB-xmhsENRXYcqEU6ag,St. Louis Bar & Grill,Waterloo,2,8,3,43.511125,-80.5216805,Chicken Wings
6Pn0AhLymS3QAp3FA-IO6A,Popeyes Louisiana Kitchen,Waterloo,2,11,2,43.4248928,-80.4840362,Fast Food
6TXQe14Y5n3FPAFeVE8onQ,Beertown,Waterloo,2,53,3.5,43.4636098,-80.5235285,Canadian (New)
6WjNnrrj1dWtO8jqBb3Hzw,Topper's Pizza,Waterloo,2,3,3.5,43.4427784,-80.54370515,Pizza
7_LgHFNEVTqjibY3jIkfZA,Cameron Chinese Seafood Restaurant,Waterloo,2,33,3.5,43.4453254,-80.4812478,Chinese
796voR3LRoQ_4EPgSg8Yww,Do Eat Chinese Restaurent,Waterloo,1,8,3.5,43.47294191,-80.53505791,Chinese
7hEhc5YSU3W-qLhj-ydU7Q,Prime Bar-B-Q Restaurant Ltd,Waterloo,2,5,2.5,43.4345769,-80.5181389,Anonymous
7KfgI59JMuYfL4yBKsl6BA,Sole Restaurant & Wine Bar,Waterloo,3,20,4,43.46311197,-80.52657246,Greek
-7Pwuxq7C04iKBiE6haISQ,Tasty Home Kitchen,Waterloo,1,8,4.5,43.4762793,-80.5256009,Chinese
7vFqvCCvyHyAoEKDbUZ4ow,Timeless Cafe and Bakery,Waterloo,3,5,4.5,43.514662,-80.5193401,Cafes
7Y16sK2L1CUFDZ-5usfKPA,Ennio's Pasta House,Waterloo,2,11,4,43.4196748,-80.4508093,Italian
8jy0Pu2Yoh4PGstBbxCyuw,Rawlicioius,Waterloo,2,4,4,43.4544362,-80.5181825,Anonymous
8U46CxZHRPuGRdnq2dFW4Q,Sogo Cuisine,Waterloo,1,7,4.5,43.4704487,-80.5939264,Chinese
8ZfAY3UJzDeCj8UnhXD9pg,Sunset Grill,Waterloo,2,6,2,43.4244,-80.52117,Breakfast & Brunch
97uYpYan6H9iCegNlbjr1A,Topper's Pizza,Waterloo,1,3,1.5,43.4396019,-80.509687,Pizza
9Azda34mhYNtxXLqvzkIwg,Mr Wok Chinese Restaurant,Waterloo,1,5,3,43.435174,-80.51601,Chinese
9ISzUw1zs9sXrcxg9nafkg,Jacob's Grill,Waterloo,2,10,2.5,43.5391262,-80.5534626,Burgers
9tWxINfoP5FPf9BTaX4_nA,Boston Pizza,Waterloo,2,9,3,43.502519,-80.535225,Pizza
9WABNoHN9WA1BsCHo58EkQ,Borealis Grille & Bar,Waterloo,2,47,4,43.4078434,-80.3966505,American (Traditional)
Ad7IM4MCYDZiF3nCm_GxQw,East African Cafe,Waterloo,1,13,4,43.449701,-80.491079,Anonymous
AEQYXTvWreI7x5h42AOsyg,Omega Family Restaurant,Waterloo,0,5,2.5,43.4157469,-80.5113586,Greek
agLIxM7QfuJmfTNf6ktaOg,Seoul Soul,Waterloo,2,18,2,43.47224554,-80.53889201,Korean
