business_id,name,city,attributes.Price Range,review_count,stars,latitude,longitude,cuisine,,
__CQhr0M-OpKdu0DXgGcaQ, Sylvia's La Canasta, Phoenix ,1,7,2.5,33.4952465,-112.1410799, Mexican,,
__kNfrrGoUXoF-BYciMU_Q, Bite Breakfast & Lunch, Las Vegas ,2,428,4.5,36.11391655,-115.3086255, Breakfast & Brunch,,
__Y2jjdCFHvq3rzSbpDBlw, Café Crèpe, montreal ,2,20,4,45.5057561,-73.567298, Cafes,,
_078AkowGpJ00o2FZtnUoA, Sushi St-Denis, montreal ,2,41,3,45.5152647,-73.5635655, Sushi Bars,,
_0CpbHd0QcxblPByFYkaOw, Burger de Ville, montreal ,2,41,4,45.5243878,-73.5959918, Burgers,,
_0LwsuDU1lG2lwFBrCgzCA, Red Bowl Asian Bistro, Charlotte ,2,50,3.5,35.33737913,-80.93515368, Thai,,
_0UC6YiwhkgLOJWxMmMQQQ, Giorgio's Place, Pittsburgh ,1,25,3.5,40.4520512,-80.0170515, Pizza,,
_0xMKAK1_ODB_k1CKiI__Q, Yum Yum, Edinburgh ,1,3,3.5,55.953252,-3.188267, Fast Food,,
_-1EgXrkOlKajCsmasuEgg, Village Tavern and Trattoria, Pittsburgh ,2,28,3.5,40.441158,-80.03373347, Italian,,
_1GI_asXVGhOJMNF51SdlQ, Taco Bell, Glendale ,1,6,2.5,33.551799,-112.261029, Fast Food,,
_1kpFsEZH1VxPcTtEMtd1Q, Pizza Hut, Avondale ,1,6,1.5,33.44949699,-112.3427564, Pizza,,
_1qRvGFwQdVmJkuSaO0MjA, Tora Sushi, montreal ,2,7,3.5,45.5314502,-73.6072027, Sushi Bars,,
_20WCD89imWx15jlxv7kGg, Seksun Sushi, Chandler ,2,134,3.5,33.32013,-111.862674, Sushi Bars,,
_2BQyxiY4q6xBNh3LgoX0A, Chez Gerard, Fabreville , ,7,4.5,45.5762576,-73.7881755, Burgers,,
_2DT03K8fWh82Y9tBVYMKQ, Subway, Phoenix ,1,8,3.5,33.5368504,-112.099065, Fast Food,,
_2FUpthYr7h9VLNbe9Gxyw, Porchlight Grille, Las Vegas ,1,75,4,36.130313,-115.274574, American (Traditional),,
_2HFbrYZFp2p59hptZeDbw, Subway, Las Vegas ,1,7,4,36.1906225,-115.2588414, Fast Food,,
_2HWFHK32CRER39vR40oRQ, Royal Sous-Marins, montreal ,1,8,3.5,45.5270321,-73.6021762, Pizza,,
_2RBxybvzNmw2k1_jJTe1Q, China Tango, Henderson ,1,150,4,36.02953738,-115.0858369, Chinese,,
_2SV0T9wUI2YK4rEfeLhMg, Orange Burgers & Brunch, montreal ,2,20,4,45.514486,-73.571842, Breakfast & Brunch,,
_31B--Q8eNp8ZLQ8bJabOw, Nor Loch Bar, Edinburgh ,3,11,2.5,55.9519615,-3.189944, British,,
_3f8o37w8APyUboCgwPkhA, Buon Gusto Ristorante, Henderson ,2,279,4,36.0019645,-115.1031259, Pizza,,
_3fswReXCBK1Fidkll5Piw, Ben's BBQ & Smokehouse, Las Vegas ,2,21,3.5,36.128561,-115.1711298, Barbeque,,
