Business_id,Name,Price Range,Review Count,Stars,Cuisine
_0LwsuDU1lG2lwFBrCgzCA,Red Bowl Asian Bistro,2,50,3.5,Thai
_4_Qn9WZVwofeaqjgQG2Zw,Fahrenheit,3,334,3.5,American (New)
_8QoZBmm4hzyrPMdAwXhZQ,The Mandrake,2,56,3.5,Anonymous
_91N3Q_MB5Nula56ZWXzSA,Shoney's Restaurants,0,18,2,Burgers
_Bh7HA8P570v2DIsltppZQ,Penn Station East Coast Subs,1,21,3.5,Anonymous
_BQ5JOUWDRgBXNylMSVpOw,Louis'grille,1,23,3.5,Anonymous
_Bz6YWNI5bi0gqQI4GLvqQ,Jason's Deli,1,50,4,Anonymous
_CBTn2OXDZFLmDfmZFvnHg,Qdoba Mexican Eats,0,6,3.5,Mexican
_CSt3oYGYC3uVaifWK0IIg,Zaxby's,1,3,2.5,Fast Food
_gzo4jScQtavLCHzJo905Q,Midnight Diner,1,391,3.5,Breakfast & Brunch
_h-wWBfKI_cRnnOB5Bkgag,Sub Station II,1,30,3,Anonymous
_JPzBYy24mIK-Iq6xv460A,TK Cafe,1,10,4,Coffee & Tea
_LYz2vdGyXsV-8b-_T47ag,Le's Sandwiches & Cafe,1,260,4.5,Vietnamese
_mrGYF6uScU24LcwshEqCA,Kabob Grill,2,124,3.5,Mediterranean
_naNO-mZQjTav4iLf5TFmA,Chicken King,1,5,4,Burgers
_O4NL-cs-Tx1Bb0TTjr5oA,Ty's Wings & Tings,2,17,4,Chicken Wings
_O9e1y02fxsywUvj7hFiGQ,Taco Bell,1,8,2.5,Fast Food
_PINIylE-HAtznOkeQ6OOw,Enso Asian Bistro & Sushi Bar,2,271,3,Sushi Bars
_qvxFHGbnbrAPeWBVifJEQ,Lenny's Sub Shop,1,27,3.5,American (New)
_qvYa_VkaAZLi_k0Bjl_JA,Noodles & Company,1,20,3,Anonymous
_sYVQM-EIWrwgyi-xKVDVg,KFC,0,4,3,Fast Food
_ULYg16ncUuhWUsACetojw,Truc Vietnamese Cuisine,2,30,4,Vietnamese
_UYJfg5GbahLiEDU1HuQhQ,Qdoba Mexican Grill,1,19,3.5,Fast Food
_VpP18kVhdR9petT8w-cuA,Domino's Pizza,2,15,2.5,Pizza
_W5QrZQPfqjj6njeqrGYEA,Texas Roadhouse,2,82,3.5,American (Traditional)
_WLYW4vzknVRGiVJBUy8oQ,Anntony's Caribbean Cafe,1,71,4,Barbeque
_xczdepRHcB-4RktSA3xgw,Korean Restaurant,2,23,4,Korean
_YCwkkdiW5KliTK8g8Tlew,Heist Brewery,2,383,3.5,American (New)
_YXBQ5Z75ZVlSV1HUtXgBg,Wang & King Asian Cafe,1,47,3,Japanese
02sOq3KVhvbOzFFmkC4Qtw,Ming Fu,2,83,3.5,Sushi Bars
08mwcGYuwXeADV9eLATRyQ,Jet's Pizza,2,18,3.5,Pizza
0AOXM-nZqXro6LAT4EKqpw,TRUE Crafted Pizza,2,163,4,Pizza
0Ayzd0haow5Ek3CdfZg5bA,Hissho Sushi,2,34,3.5,American (New)
0F4ZjPgecXQQxvYy0onC5Q,La Cancha,2,10,4.5,Anonymous
0f9yhyfnyWB9hF85PNmcLQ,Cluck 'N Cup,1,75,4,Coffee & Tea
0FQ8Kj6ZITbN8lrlIZOugA,Monterrey Mexican Restaurant,1,41,3.5,Mexican
0Iu3lb-HD3IrsowtbVGzPw,Niyo,1,25,3,Japanese
0jye3EpGbU3dFe4yf9pxzQ,Taqueria La Unica,1,10,3,Mexican
0K8roYiVL3c5koa5pDEBUw,Bricktop's Restaurant,2,203,4,American (New)
0KkMoh1zaAloeomx1cBXTw,Chick-fil-A,1,10,3.5,Fast Food
0KNRmt72IWxI1JLpfpLwSA,Cantina 1511,2,160,3.5,Mexican
0mEX61cGG-LMAdrsZL3erw,Taco Bell,1,11,2.5,Fast Food
0nCS2KIWbqV4p5UZ8zZ6TA,Firehouse Subs,1,9,4,Fast Food
0NeXPGy3_N9T4IeHde7iGQ,Nothing But Noodles,2,70,3.5,Anonymous
0pikmKdTttjRlDHRS68z0w,Taqueria La Unica,1,16,3.5,Mexican
0p-JqQ3DOXC90ad563C1FQ,Tony's Pizza- Ballantyne,1,75,4,Pizza
0QYucq-OkyThZzGdhONSHw,Great China,1,9,3,Chinese
0R5W3JfCKW_DT6szm-826A,Birch Restaurant & Bar,2,4,2,American (Traditional)
0RD2dEOZTK5eCzYT5ogH8w,PePeRo,2,149,4,Korean
0RIAwEggED60mK3mDSTr-Q,Davinci's Pizza,1,68,4,Pizza
0sbPpUIyTpcx90bLRsVx0w,Shuffletown Drive-In,1,25,4,Breakfast & Brunch
0SepDX0DR46sCdxkCI5Txg,Joe's Touch of Italy,2,13,4,Italian
0s-OY8GuWszGYSMDAMw6kQ,Papa John's Pizza,2,5,4,Pizza
0uq7x1_pxU1hajaIDhv3MQ,Kabuto Japanese Steak House & Sushi Bar,2,49,3.5,Steakhouses
0Urh_U-9IwPoNNgteSHNGQ,Jimmy John's,1,4,3.5,Anonymous
0UyVyPKOhQNwqQO1hc8_6Q,Chin Chin,1,6,3.5,Chinese
0Vczk_zvQgsUGTrnBzfIZg,Bonsai Fusion,2,44,4,Sushi Bars
