Business_id,Name,Price Range,Review Count,Stars,Cuisine
_6MDHQQ-PeUJ9CP-MoKApA,Pancake Cafe,2,36,2.5,Breakfast & Brunch
_b-Q0ZVI30FfgPW_UtbLyw,North and South Seafood & Smokehouse,2,40,4,Seafood
_L6sbh9zs7f4s1EM_niQcA,Casey's General Store,0,4,5,Pizza
_NW61hsQvk7u2E_xWiWyMQ,Main Depot Tavern,1,11,4,American (Traditional)
_WbZri6b9Wq4iofDm7CI9Q,Bassett Street Brunch Club,2,302,4,Breakfast & Brunch
_xeigHhwNOB6N1if3lQO3w,Olive Garden Italian Restaurant,2,41,3,Italian
_xssBWvthbdPh2KdAaAJSw,Glass Nickel Pizza,2,26,3,Pizza
_z9UrC5hCTBK1JIgQD0YDw,Noodles & Company,1,56,3.5,Anonymous
03yij332OZ6UNqajNgZsGA,Babcock Hall Dairy Store,1,42,4.5,Anonymous
04h3nxtkDfaKsJhrKRHZ-Q,Taco Bell,1,12,2,Fast Food
07cMlpbiOeiR8AP8JR0c_g,Milio's Sandwiches,0,4,3.5,Anonymous
08UPumc2Tr3trW8J5SCrow,El Rancho Mexican Grill,1,30,4.5,Mexican
0CpLn6Sx7Gxv2_hThX3qzQ,New Seoul Korean,2,27,4,Korean
0DxeMAfznpqhxH1Z8O0_Yg,Magic Wok,1,44,4.5,Chinese
0IDIy6Ti9V4rKhX-WgWFHg,Curry in the Box,1,66,3.5,Thai
0iJhsBF_AkHsVUKCggWsQw,The Klassik Tavern,2,21,4,American (Traditional)
0ilFtvFUJ71JqiaVxIM-KA,Pots N Tots,1,7,4.5,Anonymous
0lslsYnEVGDtXiM9V2GxWg,Ginza Of Tokyo,2,56,2.5,American (New)
0NNw9CHm0X8LJBvmIJvBIA,Jordan's Big Ten Pub,2,69,4.5,American (Traditional)
0oQFFOdPZycIBmGkoBrlbg,Noodles & Company,1,34,3.5,Anonymous
0p3MbCriuvH9hgqRK9W-LA,Milio's Sandwiches,1,5,2.5,Anonymous
0pQhnZ5CV60lSKTQg2GKng,Oakcrest Tavern,2,52,4,American (Traditional)
0pXk2JkijBpi2Iz0D5pFXA,Kabul Restaurant,2,133,3.5,Mediterranean
0rj2xW1YKAbfHxe804Fefw,Benvenuto's Italian Grill,2,51,3,Italian
0UL_ZuWauXthShF2mb9iKw,Pitcher's Pub,1,15,3.5,American (Traditional)
0wGWhZw81cIG7YjwghZhgw,Sunroom Cafe,1,138,3.5,Breakfast & Brunch
