Business_Id,Name,Price Range,Review Count,Stars,Cuisine,City
__CQhr0M-OpKdu0DXgGcaQ,Sylvia's La Canasta,1,7,2.5,Mexican,Phoenix
__kNfrrGoUXoF-BYciMU_Q,Bite Breakfast & Lunch,2,428,4.5,Breakfast & Brunch,LasVegas
__Y2jjdCFHvq3rzSbpDBlw,Café Crèpe,2,20,4,Cafes,Montreal
_078AkowGpJ00o2FZtnUoA,Sushi St-Denis,2,41,3,Sushi Bars,Montreal
_0CpbHd0QcxblPByFYkaOw,Burger de Ville,2,41,4,Burgers,Montreal
_0LwsuDU1lG2lwFBrCgzCA,Red Bowl Asian Bistro,2,50,3.5,Thai,Charlotte
_0UC6YiwhkgLOJWxMmMQQQ,Giorgio's Place,1,25,3.5,Pizza,Pittsburgh
_0xMKAK1_ODB_k1CKiI__Q,Yum Yum,1,3,3.5,Fast Food,Edinburgh
_-1EgXrkOlKajCsmasuEgg,Village Tavern and Trattoria,2,28,3.5,Italian,Pittsburgh
_1GI_asXVGhOJMNF51SdlQ,Taco Bell,1,6,2.5,Fast Food,Phoenix
_1kpFsEZH1VxPcTtEMtd1Q,Pizza Hut,1,6,1.5,Pizza,Phoenix
_1qRvGFwQdVmJkuSaO0MjA,Tora Sushi,2,7,3.5,Sushi Bars,Montreal
_20WCD89imWx15jlxv7kGg,Seksun Sushi,2,134,3.5,Sushi Bars,Phoenix
_2BQyxiY4q6xBNh3LgoX0A,Chez Gerard,0,7,4.5,Burgers,Montreal
_2DT03K8fWh82Y9tBVYMKQ,Subway,1,8,3.5,Fast Food,Phoenix
_2FUpthYr7h9VLNbe9Gxyw,Porchlight Grille,1,75,4,American (Traditional),LasVegas
_2HFbrYZFp2p59hptZeDbw,Subway,1,7,4,Fast Food,LasVegas
_2HWFHK32CRER39vR40oRQ,Royal Sous-Marins,1,8,3.5,Pizza,Montreal
_2RBxybvzNmw2k1_jJTe1Q,China Tango,1,150,4,Chinese,LasVegas
_2SV0T9wUI2YK4rEfeLhMg,Orange Burgers & Brunch,2,20,4,Breakfast & Brunch,Montreal
_31B--Q8eNp8ZLQ8bJabOw,Nor Loch Bar,3,11,2.5,British,Edinburgh
_3f8o37w8APyUboCgwPkhA,Buon Gusto Ristorante,2,279,4,Pizza,LasVegas
_3fswReXCBK1Fidkll5Piw,Ben's BBQ & Smokehouse,2,21,3.5,Barbeque,LasVegas
_3Hpnxe1sJ6GOLpSRkgWyQ,Hungry Howie's Pizza,1,25,3,Pizza,Phoenix
_4_Qn9WZVwofeaqjgQG2Zw,Fahrenheit,3,334,3.5,American (New),Charlotte
_44__hQ4GxGNRzkhLHBw0A,Carbone,4,152,4,Italian,LasVegas
_45p8kOA__aNycVVe-n-KA,Planet Dailies,2,575,3,American (Traditional),LasVegas
_4-K6xAYzCEIn_r4B8FB2g,In-N-Out Burger,1,47,4,Burgers,LasVegas
_5FOD8UZxyJVWnnoAXq-GQ,Wendy's,0,11,1.5,Burgers,Phoenix
_5Hp0LNdX6ZLsQRAFFCVYg,Vocelli Pizza,1,6,3.5,Pizza,Pittsburgh
_5qkBSljHlRo5B9GQLDp3w,Subway,0,6,3.5,Fast Food,Phoenix
_5wB2ahFLsGA5L43XSAdSg,McDonald's,1,5,2,Burgers,Phoenix
_65BG8jLwJJYihHqPkGH_w,Subway,1,17,2.5,Fast Food,LasVegas
_6gbnNRPIc-iM_0cBLPX1A,Estiatorio Milos,4,755,4,Greek,LasVegas
_-6I6VXjr-NiwIBa_1uI4A,Bistro Sanguinet,1,5,2,Cafes,Montreal
