Business_id,Name,Price Range,Review Count,Stars,Cuisine
_0UC6YiwhkgLOJWxMmMQQQ,Giorgio's Place,1,25,3.5,Pizza
_-1EgXrkOlKajCsmasuEgg,Village Tavern and Trattoria,2,28,3.5,Italian
_5Hp0LNdX6ZLsQRAFFCVYg,Vocelli Pizza,1,6,3.5,Pizza
_aGVicux2dJm9sqzLSCJtg,Subway,1,3,3.5,Fast Food
_EBvw_mU3CowvAeBWI96sA,Niko's Coffee,0,3,4.5,Cafes
_FlIJoFcEvYaMfZAs3LbFA,Big Shot Bob's House of Wings,1,11,4,Chicken Wings
_GbMuSSfeZFeN08w2ONJ1g,Quik-It Chicken,1,13,4,Barbeque
_ji6oh2RwfOOt0jMznT5wg,Crepes Parisiennes,2,94,4,Anonymous
_jsJFrAmFVPRio0eEVExbA,McDonald's,1,6,2.5,Burgers
_k2nOJvhfNKUFa2i-DnlQQ,Lone Star Steakhouse,2,12,3.5,Seafood
_KvGddVMM3d2f7NEa_eOtA,Primanti Bros.,1,219,3,American (New)
_N6llQ4cPuNcMmKyagRRiA,Steel Cactus,2,6,3.5,Mexican
_-Ufb4yxXeR9kTxHmODB3g,Chick-fil-A,1,3,2,Fast Food
_WaHLgLzALd2iThQAhC-sQ,Shiloh Grill,2,200,4,American (Traditional)
_yyHTeCtVOQKjD6G6GO_lg,Eadies's Market,2,13,3.5,Cafes
0_BIIfLeB9DEG8Tss6bZQQ,Maldini's Taste of Italy,0,7,3.5,Pizza
04ogq23JnzauhezrWEXG_g,Pittsburgh Barbecue Company,2,58,4,Barbeque
04P3hZHQY4Wq7atYIkJX0Q,Bea Taco Town,1,3,3.5,Mexican
05FkTuKNfebc8BafSAq1Lw,V3 Flatbread Pizza,1,34,4,Pizza
08eRFhpedodAf6atSRK09g,The Colombian Spot,1,8,4.5,Anonymous
09r7xwM1OTEM2hnAM8WPFA,Noodles & Company,1,55,3,Anonymous
0ayh3LxJwSbJEOlBCx9APA,Sonoma Grille,3,289,3.5,American (New)
0B89ylbI0L08rgiZ5mGflw,Joe & Pie,1,31,3.5,Pizza
0FgwBx7pgmNdUtsd_T8UYQ,Ruths Chris Steak House,4,77,4,Steakhouses
0FmWly56nUTg60-b5k0gTQ,Bluebird Kitchen,2,168,4,Breakfast & Brunch
0H8Xo8XtA6GkSI2hAF0LKw,Zarra's A Taste of Southern Italy,2,56,3.5,Italian
0IKwgLg_UApkFzMCAaJ1Lw,Uncle Sam's Submarines,1,82,4,Anonymous
0iLGx8ilwfncucnYAknzzw,Lebo Subs,1,30,4,Anonymous
0Ir2L-nWFFQP3jB7fnWTuw,BRGR,2,72,3,Burgers
0mYlBBYkKTk4prNj7tsBlQ,Au Bon Pain Co,0,4,3.5,Cafes
0nnqnQ17emhcvi1uSheUvw,Westwood Bar & Grill,0,3,2.5,American (Traditional)
0O5yuql5sNG1L_bpHb553g,Vinny's Pizza,1,14,2.5,Pizza
0ORPehdGZci1Z_BTKe_5VA,Il Tetto:  A Rooftop Beer Garden,2,42,3,Italian
0QkkNagJaWllynycTF-fRQ,Steel Cactus,2,185,2.5,Mexican
0rGKsDpXf8H2fLaDEwWa4Q,Fresh Corner,0,4,3.5,American (Traditional)
0sGhloiZf62hF_OTaahS1A,Two Louie's Market,1,16,4.5,Anonymous
0V7lC5Xr9dVFbjXpXFbeow,Paris 66,2,172,3.5,French
0ZPJm9g-xcKh_EpofgWVCA,China Wok,1,5,3,Chinese
14gY1iJ-KRnERxHj4ONasA,Giovanni's Pizza & Pasta,2,103,3.5,Italian
14JrDlEb7SMK_ZHrS80lFA,The Pub Chip Shop,1,155,4.5,Anonymous
1arFPq3HVIPnGkIVw6RAJw,Primanti Brothers at PNC Park,2,12,2.5,Anonymous
1E53rS8afK2jiLod8Jwy7A,Fu Lai Chinese Restaurant,1,24,2.5,Chinese
