Business_id,Name,Price Range,Review Count,Stars,Cuisine
_dOcOVjrFcIKbMWX1VTdBA,Fiesta Cafe,2,44,4,Mexican
_FAKUOcKi8PoztprX95oGw,A Plus VIP Lounge,2,13,3.5,Cafes
_fcrxqrOkoC7R-p0pbPDrg,Qdoba,1,7,4,Mexican
_rrWTz0W1K_eWafh-8r3fA,Black Dog Smoke & Ale House,2,662,4.5,Barbeque
05FJCAvUFOAk8B_nIOqt7A,Legends,1,65,3.5,Anonymous
0a4lX5VhCXJOwe-idxnVbw,Sitara,2,135,4,Vegetarian
-0GkcDiIgVm0XzDZC8RFOg,Crane Alley,2,140,3.5,American (Traditional)
0kRBRm5xOWclzemsLl9iQA,Hickory River Smokehouse,1,75,3.5,American (Traditional)
0lFRJ0q1PU_R4YaLNRWnpA,Nitaya Thai Restaurant,2,49,3,Thai
0mLadTWoDC6K_NFLMe29mA,K-Bowl,1,45,4,Korean
0P0XckSv_2_ZNKoYlhT4Gw,Culver's,1,11,3.5,Burgers
1A_4WE4hdpdU3pG6PWUOVw,Pizzeria Antica,2,62,3.5,Italian
1d5XAAH39FKenV3_9gcFIw,Steak 'n Shake,1,34,3,Burgers
-1oj6-fkP-iO6OyW8QBqPg,Jerusalem Middle Eastern Cuisine,1,42,3.5,Middle Eastern
1T2rnvl67Gk9Uc0gzsCKQA,Joe's Brewery,1,36,3,Burgers
1tK0k-vRgGFC3oSZNUJ58Q,Bombay Indian Grill,2,76,3.5,Indian
27q7XsLrKPNwr8i5RcCOvQ,Boomerang's Bar & Grill,1,13,4,American (Traditional)
2g4mMfy5COvUlzZWfuQkKQ,Taco Bell,1,17,2.5,Fast Food
2M-UBKKG7DyAXcvGLwNH2w,Intermezzo Café,1,11,3,American (Traditional)
2SycDjGWWpFs1ODL-YBoHA,Biaggi's Ristorante Italiano,2,160,3.5,Italian
2UAbUSTMsR9G26A8AYO3dA,Sam's Cafe,1,80,4,Breakfast & Brunch
4PatE4TUcea0Dj0hKICGJw,Einstein Bros Bagels,1,23,3.5,Breakfast & Brunch
4UG9uGnByKgoiuVpC0DthA,Tang Dynasty,2,18,3.5,Chinese
562AuYjOuZwtTbS1UYhY6Q,Alexander's Steakhouse,2,53,3,Steakhouses
5CKtgK5jb0wX0LGs3JthEw,Wingin Out,2,29,3,Fast Food
5FPsw0_mNhylWujmJHseCQ,Golden Wok,1,86,4,Thai
5RGl0_k489Q8vfr7spyDmQ,Burrito King At Torticas,1,9,4,Mexican
6AHfkdtpx7yLOFetI38gHQ,Chopstix,1,50,3,Chinese
-6GmhSnM8D48JtJkxVAmbA,Burrito King,0,11,4,Mexican
6HKjKhgDLBpuZFNBOCzVQw,Le Peep Restaurant,2,91,3.5,American (New)
6LtZI1tpMHPZv5nVHAF6rA,McDonald's,1,8,1.5,Burgers
6M1F5AECDtWff1Tu3uLEWA,Empire Chinese Restaurant,1,39,3.5,Chinese
6Ori-rHJC0lJ6uEt4D_Lkw,Sushi Ichiban,2,40,3,Sushi Bars
6U94ybDpNd0fTL7TIzb5Kg,Jupiter's Pizzeria and Billiards,2,86,4,Pizza
6UftUvNBqANqybf8wpWeNA,Ambar India,2,44,3.5,Indian
7QyBU6vqp1R9JnZYfPtNPQ,Woori Jib Restaurant,1,70,3.5,Korean
8LCPOZXh_yvigEOWg0ZR2g,Sushi San,1,3,2.5,Anonymous
8RP_A9rBaDRMQUwNYSl7YA,Basil Thai Urbana,1,78,3,Thai
9nmeU-OOyxkn8vRy5dolNg,Caffebene,2,48,2.5,Coffee & Tea
9SFWEreW7wAXB3zYu28r_Q,Hardee's,1,11,2.5,Burgers
a4JU2JqAbT0p8_A8s_v8Kw,Meatheads,2,120,4,Burgers
AB5RgQ0ZnMThdqgFS3cPuw,Radio Maria,2,241,3.5,Breakfast & Brunch
AjgLxtP_cejKAlw3GmXpsQ,Po' Boys Restaurant,2,42,4,Pizza
Aln3dngHMyG6OyPBe7fucw,Wedge Tequila Bar & Grill,2,91,3,Mexican
amHyyeQJ7Q8k8jTw_miXLw,Hilton Garden Inn,2,28,3.5,American (New)
AodYROfPTfYuRAL4f_dTdg,KFC,1,5,2.5,Fast Food
bcW-OuYklAXeEZWBgc7TaA,Pekara Bakery and Bistro,1,124,3.5,Anonymous
BikDzi8YhQkTJP_nAGOEUA,Dublin O'Neil's,2,106,3.5,Anonymous
bkbOmsZ9cOggOnpKsxOyiQ,The Bread Company,2,101,3.5,American (New)
BYqyxLaW9aIQ07BRs-Khrw,Shanghai 1938,2,3,1,Chinese
cab8Jri_Zdz2487hG5em6w,Dragon Fire Pizza,1,21,4.5,Pizza
caK31Iq3TClNCRB9WH9lhQ,Mirsung,1,10,3.5,Indian
CcsJm10_5ULE0j41DkcQ6g,V Picasso,3,59,4,Anonymous
cF2s9dlQ0ZiSDUdH-odoKQ,Dairy Queen,1,6,4,Fast Food
cmLB5X26RJXWdZ2qrS5KOg,The Red Herring Vegetarian Restaurant,1,48,4,Vegetarian
CRgeCxjrOrAqW3x_bt7e8g,Pancheros Mexican Grill,1,5,2.5,Mexican
cT9uP_Lr5bz6jhIqZPlLcw,El Charro,1,46,4,Mexican
Cu4WjKd2EZ-b5PxPXyH9EA,Kato's Cajun,2,6,2.5,Anonymous
CyS-v4frMGcXeDIl2sZtqQ,Domino's Pizza,2,5,3,Pizza
d1ZT8gm7MTNHipyHEphKYA,Panera Bread,1,25,2.5,Anonymous
D7ENnY6AzeFxlhNfnVH54w,Pho Cafe,1,32,4,Thai
DB5rZ9spvyhBJsqOwckncw,South China Restaurant,2,25,4,Chinese
DjJS8vJXzmpwMUEAcxCexg,301 Mongolia,2,53,3.5,Anonymous
dJO8yBh-GIIn1vl9MDSX3A,Windy City Express,1,17,3.5,Burgers
dnRzZsej_I1URXYqEGGm7w,Miga,3,81,4,American (New)
DntkMrzlbFPdOdxJtEWLBw,Bevier Cafe,1,23,4,American (New)
doCqqCuoDsIQYDSY2gkUtQ,Za's Italian Cafe,1,30,3.5,Italian
dvO4zlxg3GoK_CiqbvtxbQ,Masijta Grill,2,57,4,Korean
DWZ1_iy-cTeehK5FTiqH-g,Steak 'n Shake,1,10,1.5,Burgers
ec1gbPLxYhUYDu_1h4c7dQ,Cafe Sababa,1,4,5,Vegetarian
efJQBC6yfKzUvn0Fk08vbw,Cactus Grill,1,44,4,Mexican
EJCIIIy4RghSG3Blsg9BrA,Cravings,1,121,4,Asian Fusion
ekRwCkp1nS1hsbXLAOiPzw,Panda Express,1,7,3,Fast Food
eKzME8Ax_RHe1f0YmXD8tg,China Garden,1,15,3.5,Chinese
elwuxXreWA3IVAW5qNOw3g,Jimmy John's,1,25,4,Anonymous
ey7-ihj-OjM4sEOwWTc06Q,Atlanta Bread,1,47,3,Cafes
Fb3Pl0PO_ojEyChkM_SApA,Fat Sandwich Company,1,77,3,Anonymous
fREkmfcmiusbDkXDKRit3g,Mashawi Grill,1,63,4.5,Mediterranean
fXpuT4mNzxzUZbt--vqzIg,Subway,0,5,2,Fast Food
fxYiDAxCK33ANk8-QemInA,Rainbow Garden,2,30,3.5,Chinese
fYE54FZCIFYYdFs-AkqRuw,Flat Top Grill,2,89,3,Asian Fusion
g5I1qNIGWTU3lizsneXQiw,Perkins Restaurant & Bakery,1,37,2.5,American (Traditional)
Gf9HbiraKNZpxbxwScHBVw,The Apple Dumplin',1,28,3.5,American (Traditional)
gVSokyUWqy14UEp_JNVL7Q,Taco Bell,1,13,3,Fast Food
gY7617TMFGmPQR2A70L2vA,DP Dough,1,38,3,Fast Food
h_usUndeAdHj-wH219-wUA,Sakanaya Restaurant,2,218,4.5,Sushi Bars
H0D2HYqLd9MRCq68rtbTyQ,Olive Garden Italian Restaurant,2,47,3,Italian
h1kMWbt6gjkIy4VC8VqVuQ,Good Fella Korean Bistro,2,22,4,Korean
H8_t8PEf1FBVGPoQyVvi1w,Nando Milano Trattoria,3,75,4,Italian
h9xdY1NO4GnNijNChTy-8A,Bacaro,3,140,4,American (New)
hy9t4AZaPOszsR73wEKm3w,Sarku Japan,0,9,2.5,Japanese
i0_W9_1abdjBS7d5-pWORQ,Lai Lai Wok,2,89,4,Chinese
i7lY2Ip8dEIkyuI75vNO4Q,Subway,0,7,2,Fast Food
icumGKhp1TQEPBm5kUs3XQ,Black Dog Smoke & Ale House,2,96,4,Barbeque
iK_jWW1xRfLCq693JVmD6A,The Y Eatery,1,27,4,Thai
iUuHgmsuCPstwJlr5jH02w,J Gumbo's,1,58,4,Anonymous
ivZo1goh7HXdep03NfA7Cg,Maize Mexican Grill,1,400,4.5,Mexican
iYaDjwYdtqhLMY_tQFRlKA,Huaraches Moroleon,1,116,4.5,Mexican
iZ5BEHyjL9WOre19gx_FxQ,Bar M,2,7,4,American (New)
IZOKtFjm_hiL4OGmCq2NNA,The Dancing Dog Eatery & Juicery,2,45,4,Vegetarian
j9N_fG1PVCSY-3HY1TRQ5Q,Jimmy John's,1,12,3.5,Anonymous
JaIXI_TRhHh1HbXlFC-n3w,Watson's Shack & Rail,2,67,4,American (Traditional)
JCqFWCn31OMSk-vqF5aYNQ,Big Grove Tavern,2,225,3.5,Breakfast & Brunch
jg8rb2o3n0WTB1cBxhEycg,Evo Cafe,2,43,2.5,Chinese
JhEA8qHfNmIh8c6OHXnaYA,Hooters,2,25,2.5,American (Traditional)
jKPEJgRE_WvryvExq7zogQ,Noodles & Company,1,36,3,Anonymous
JlcbIU8V6ohFCwfuMr7tBg,Houlihan's,2,66,3,American (New)
jS0mmzYf4mouMEcGzQ5Z-Q,Jurassic Grill,1,26,3.5,Burgers
jydmaHFFWpKKDKTJLwThyA,The Clark Bar,1,13,4,American (Traditional)
k0kNhfkp1GrYE15YDApKMg,Bangkok Thai and Pho 911,1,126,4,Thai
KI96Ec7doScwF2jD6B7RdA,Toro Loco,2,16,3.5,Mexican
kMcbuXZx3iILJVEPyLgPpQ,Panda Express,1,6,3,Fast Food
KQXusKEWX5iTdzSJStW8Dg,Asian Taste Restaurant,1,20,3.5,Chinese
KUpdnQi16DGP54FlDWOJ6g,Bob Evans,1,19,3,Breakfast & Brunch
L3S29vAyPOxmDZ04AilwnQ,Subway,1,5,1.5,Fast Food
l6KWHEZMr1AuabPA61wlUw,Yori Q Korean Grill & Bar,2,36,4,Korean
l8B35OwrDUQTg5ojQu0tEA,Firehaus,2,70,3.5,Burgers
leH24AjTrmcImAbsdh4HFQ,Jimmy John's,1,11,3,Anonymous
ljsTa0MiQyVfKrgq2FOKdg,McDonald's,1,14,2.5,Burgers
lmDV-oW_dNn8kGHBbuNzXg,Xinh Xinh Cafe,1,149,4,Vietnamese
LN0mZ37BeruC0XjyhES-ug,Panchero's Mexican Grill,1,34,2.5,Mexican
m19xUciXTS5zcjkYiy4xUQ,Beckman Cafe,1,5,3,Anonymous
M2boe4Te0rQ5RasVJkPXng,Wendy's,1,5,3,Burgers
M5E7DW8rqI4v37HhD2pzGQ,Peking Garden Restaurant,2,52,4,Chinese
McjqmrsudvpnVxtYJKSUtQ,Burger King,1,4,2.5,Fast Food
M-eAou5siImNKoxxcSEX-g,Green Street Cafe,1,10,3,Mediterranean
mSTjlawGZcbg8YBQx9UxFg,Jimmy John's,1,15,2.5,Anonymous
mv1gFZ8FYsFIOTENKhXddw,Papa Murphy's,1,9,3.5,Pizza
MVH3JOKpQvMTP4jxwBUhkA,Murphy's Pub,1,102,3.5,American (New)
niK-GkBZ_RIFscfy-nH1rg,Old Time Meat & Deli Shoppe,2,36,5,Anonymous
NQvZ_RotIEalBKsJ8zuLIw,Timpone's,2,74,3.5,Steakhouses
NR9KuzgfS39H5YODLMPurQ,BBQ Premium Chicken,2,13,3,Korean
O_HxmcRtxdJluerS2RYqtA,Illini Union Ballroom Dining,1,8,3,American (Traditional)
oIU_awAiDThL0Xz0iGD5TA,Siam Terrace,2,145,4,Thai
OkNhrobZUhpybZlpHAA_bQ,Azzip Pizza,1,25,4,Pizza
oL91dKGJxL7F1u9X-QKXiw,Merry Ann's Diner,1,31,3.5,Anonymous
OQIDPNTLuOD8io9FoKKIKA,Auntie Lee's Chinese Kitchen,2,12,3,Chinese
oVX8BPEWRl4iBgApA3PBYw,Brixx Wood Fired Pizza,2,46,3,Pizza
p6hu5CtjfAzBiYhMDY_s7A,Domino's Pizza,2,9,2,Pizza
p7pGpir_7sZZrxmOUV3Leg,Wingstop,2,25,2.5,Chicken Wings
p8GMdsCCy-NV_wZuDaU2Jw,Aroma Cafe,1,106,4,Coffee & Tea
PeQ3gtLHAg9ov0YuM-m21A,Seven Saints,2,228,4,American (Traditional)
pPWre8lbVAssER6CN0uWMw,Esquire Lounge,1,88,4,American (Traditional)
px_FHVv6bmidLZXlfEVhaQ,Bobo China,2,13,2,Anonymous
pXZtvvXtVSXHgodcGfiX_g,Pizza M,2,53,3.5,Pizza
PYG1nrz2yYDSQk3W-vYwAA,Chipotle Mexican Grill,1,60,3,Fast Food
Q_y3CeG_tsKTang0NHtVLQ,Sushi Kame,2,119,3.5,Sushi Bars
Q4H5csHMZiQOZrwk-oU7yg,Seoul Taco,1,32,3.5,Korean
q4raCE4a8wMEETPG45HgAA,Panera Bread,2,18,2.5,Anonymous
qevmzWge4_pwJ6SB8gKTiA,Escobar's Restaurant,2,147,4,American (New)
qgIAjfsGIqteEu0473miPg,Lil Porgy's Bar-B-Que,1,75,3.5,Barbeque
qJlrHs5iyFOLA7Wly-M0pg,World Harvest Foods,2,51,4,Anonymous
qUWDPFWaW0fOY66lL0diqg,Papa John's Pizza,1,23,2.5,Pizza
QUZUgIHFKgYEgM-QNROgHw,B Won,2,75,3.5,Korean
QZBQBQkNEefPbTo5SIoE7A,Niro's Gyros,1,42,3.5,Greek
R-0IVFEKseAL9wYgIhPy1w,Rosati's Pizza,1,39,3.5,Pizza
r2pKiQ9LLaaVNNvBDfPd2w,Kofusion,2,224,3.5,Asian Fusion
R3dSeFD8k_Z-EHNLlUELiw,Taco Motorizado,1,25,4.5,Mexican
RbThUOAzsx7am1xaft29zg,Antonio's Pizza,1,71,4,Pizza
rE8048_DAh3Z8Tep466wrA,Mandarin Wok,2,50,3.5,Chinese
Rj0EiZoTEHqUo_wt-MTd0g,Jet's Pizza,1,38,4,Pizza
rm2OnyNDnlWkSNUSxETsGg,Guido's Bar & Grill,2,86,3,American (Traditional)
RSk-BYX8s5027cKo_aELrw,Attie's Bar & Grill,2,9,4,American (Traditional)
RwhUzMEG2tVnZQY9dEuXzw,Kam's,1,46,2,Anonymous
rzH3NU9teI9WVKt-hBsJjg,Golden Harbor Authentic Chinese Cuisine,2,271,4.5,Chinese
sBw0ZgTVeRgdOA3sfGIcwQ,Destihl Restaurant & Brew Works,2,348,3.5,Breakfast & Brunch
SeQv-RJ2rS070NvSRh_siQ,Silvercreek,2,104,3.5,Breakfast & Brunch
shwDnhZS6pvQZXaN903XgQ,Burrito King,0,3,2.5,Mexican
SoyigEmlt4JYwnOqR_cqUw,The Ribeye,2,53,3.5,Steakhouses
SQASst3NU4tA-t4cmWLILA,Subway,1,9,2.5,Fast Food
sz6liH4acI8N17UCxiheXA,Campus Burger,0,3,3.5,Burgers
TD11IPIlFL9sLAWbN9FzdA,Hot Wok Express,1,20,3,Chinese
tSObxv4wRa99nEDaB8Xisw,Milk Tea House,1,17,3.5,Cafes
u06X5C_pIAVuOXOznIcPYw,Home of Gourmet Chinese & Thai Restaurant,1,36,3.5,Chinese
U2VUcIbuxGT6rK1EETf8aA,Spoon House Korean Kitchen,2,63,3,Korean
U8fJ4fEhoFGqxYLK_VNoEQ,A-Ri-Rang,1,44,3.5,Korean
UBriZt4m5BzkvNqnCeuGmw,El Toro Mexican Restaurant,1,79,3,Mexican
ucqMmYA5hiXZO1uV0YN8Vw,McDonalds,1,15,3,Burgers
UcuoAlVyNXeD1Na9M47qZw,Casey's Carry Out Pizza,1,3,3.5,Pizza
ufOY2lQHDgSvou3YLT8gHA,Bunny's Tavern,1,30,4,American (Traditional)
uhzZM-WwNsaVuvGRjv3mXw,Potbelly Sandwich Shop,1,31,4,Anonymous
uJczFcnoK8f9uWgtb0hFGw,Milo's Restaurant,2,67,3.5,American (New)
umq8alp-uLf3hXnpSC99WA,Green Jade,1,25,4,Chinese
URAkdLzbFwbhvp087RlvzA,Papa John's Pizza,1,5,2,Pizza
UrxAu3jjRM_u6iQXDPzkSQ,Zorba's Restaurant,1,96,4,Greek
u-y1z3usKenHtOGrH5Vveg,Cracker Barrel Old Country Store,2,23,3.5,Breakfast & Brunch
vBg5V39Vf4eTx1JVgl_5Pg,Merry-Ann's Diner,1,56,3,Breakfast & Brunch
VI-zVIlK11AUz47mro8nMA,Urbana Garden Family Restaurant,1,33,3,Breakfast & Brunch
vJ8mUl29TkJLXckZSxCC6A,Applebee's,2,20,2.5,American (Traditional)
VlWL5QDNc0fFskZeougbhw,Penn Station,2,13,3,American (New)
vubRS4bmJ_8yXpn-67wNZA,First Wok,1,25,4,Chinese
vxFeYTFre83stnrcLAj84A,Arby's,1,5,3.5,Fast Food
VyqJehEkM6jlrzbXOudviw,Szechuan China,2,25,3,Chinese
wGp0fgsmqCL8ovLwQrlSKw,Bab Plus Korean Restaurant,2,17,3,Korean
Wh6FdYZJz9b3x4rf6RJK_A,Taco Bell,0,4,2.5,Fast Food
wO8c-FbduauxCGiEHchGRA,Courier Cafe,1,274,4,Breakfast & Brunch
wYT34MQMvjXU_j62UiyFtQ,Hot Pot Lab,2,35,3.5,Asian Fusion
X3WnRljmATFjSluwVWFzdQ,Moe's Southwest Grill,1,17,3,Mexican
xjSFeUIvCZBzDHwQ_26TJg,El Oasis,1,57,5,Mexican
xJwYqy04FB7GRRUNQmMDBQ,Tasty Fish Chicken & Grill,2,3,4.5,American (Traditional)
xKoqmvyHBovS7RmKQn3_jg,KFC,1,8,2,Fast Food
XLCnhlUqBLmb39LiitikkQ,Burger King,1,4,2.5,Burgers
XMLbJeauBC6DANgNsJO6CQ,Big J J Fish & Chicken,1,21,4,Fast Food
XPmdbNofdUUGQuc6QxD2pA,Yellowfin Japanese Restaurant,2,94,3.5,Sushi Bars
X-UNqji6i-G6q_5jPMHV5g,Spicy Tang,1,12,3.5,Chinese
XW3R4wyKl3GPSO7q0_USiw,Sunny China Buffet,1,8,3,Chinese
ygZ1n-RjzZibC80NLgHauw,Manzellas Italian Restaurant,2,25,3.5,Italian
YkKEsYsSpOkDBbHBGKuWQA,Caffe Paradiso,1,87,3.5,Coffee & Tea
YPLuTiEIrkVGxfxzuq54FA,Kofusion,2,27,3.5,Sushi Bars
yTlW8Xh1wPpvHBl3dGz9mA,Monical's Pizza,2,25,3,Pizza
Z4ZP0LwHhG8SMTkvEcVvpg,Manolo's Pizza & Empanadas,1,74,3.5,Pizza
Z8EGaOokvK2hoD6tGup0MA,TGI Fridays,2,42,3,American (Traditional)
Zb2Bqf6MSiSbwIz0GyK7Qw,McDonald's,1,6,2,Burgers
zLkok9inSL4lzVoSzfpxAA,Vinny's East Coast Pizzeria,2,51,3.5,Pizza
zMN8UGd1zDEreT58OCdnyg,Papa Del's Pizza,2,305,3.5,Pizza
zO0xbqEznVuzPl54RExymg,Old Chicago,2,50,3,American (Traditional)
zOaUK1e0W7TtyYabzDBK9w,Merry-Ann's Diner,1,38,3.5,Anonymous
ZSTTU_-duEqyIDZgLV45DA,Mia Za's Cafe,1,73,3.5,Italian
zWywRjPZSKVieUVnzE1eLA,Sushi Rock,2,41,3,Japanese
