Business_id,Name,Price Range,Review Count,Stars,Cuisine
_0xMKAK1_ODB_k1CKiI__Q,Yum Yum,1,3,3.5,Fast Food
_31B--Q8eNp8ZLQ8bJabOw,Nor Loch Bar,3,11,2.5,British
_6l_vm7_maYTfO5tpei27A,Stable Bar,3,11,4.5,British
_72Q2LjA3_Tas16Brg8GiA,Fryers Delight,1,5,3.5,Anonymous
_9TAKW96z3RuWLHjKVlqDw,The Three Coins,1,12,5,Pizza
_c7vrEqEGfWKkhXMNZNGXA,Aizle,4,17,5,Anonymous
_cxnSeFM0G5AdvCpJjTb0g,Pizza Express,2,10,3.5,Italian
_hu-d-tbmtqd8xF37LynpA,The Brig,2,3,3.5,British
_Hwdp9pNtJ14MsBujtIa5A,The Bailie,2,14,4.5,Anonymous
_IPUEiZFc8vzsXp-BSlpIA,Café Renroc,2,13,4,Breakfast & Brunch
_KhWxgstswdzKPfghqjoKw,Pizza Express,2,15,4,Italian
_KTtGB2edcjK9JEm5pBMEg,Snax,1,3,3.5,Fast Food
_-lfVoZxIc-ZJPeEwr1YqQ,Teuchters Landing,2,46,4.5,Anonymous
_r5wdqj0GYI_IttoPpCDbw,Bites,0,6,4.5,Coffee & Tea
_tBkysAUsKNoki7Gmvi1ug,The Huxley,2,37,4,Anonymous
_uh8g9rh4MtVEOnCEbqwnA,Bentoya,2,25,4,Sushi Bars
_YwaJy2wtry7kds0VwvJ4Q,Franco's Chip Shop,1,16,4,Fast Food
_zBGLuqsrqpTGtO9M1Ql9Q,No1 Grange Road,3,6,3,Anonymous
0_CG2HJGjGAgyxVKlBgLGg,Fresh Cut,0,7,3.5,Anonymous
03_t9LNPKZs4d-hkmqzLTQ,The Mash Tun,2,11,4,Anonymous
0-9h0LgHXgV-jz5EXWmnmA,Rocket Café,1,23,4,Coffee & Tea
0aJVALy940i-NMWDZsIPRg,Bisque Bar and Brasserie,3,9,3.5,Anonymous
-0bl9EllYlei__4dl1W00Q,Wee Bite,1,6,3.5,Breakfast & Brunch
0gf-Yj5sEUy9fLCPOh63ng,Pret A Manger,1,8,4.5,Coffee & Tea
0Jm4RIxcfipZkl8KeZQVrw,St Andrews Restaurant,1,7,3.5,Italian
