Business_id,Name,Price Range,Review Count,Stars,Cuisine
_8tUKyMRMMt1YSlac04eqg,Schiffsrestaurant Vater Rhein,2,3,3.5,Anonymous
_CEgkUvPLL-omIutKaWs5Q,Chiang Mai,2,18,3.5,Thai
_Fi4b5lYGsKhI4iCw7j_BQ,Rote Sonne China Schnellrestaurant,1,3,4,Chinese
_J9JwsqYf1hKdtsE7A9OnA,Kofflers Wiener Beisel,2,4,4,Fast Food
_lhblpeTBbfG3TnWLLEGBw,Fünf Sterne,2,43,3.5,Chinese
_TgKU9RQ10RfdZz8CSGEGQ,Böckeler,0,3,3.5,Anonymous
_v0l_NYqRLE12GJMflm4Zg,Phó,1,17,4,Vietnamese
_WxiLrlNpPuERam8YuQ-dg,Da Giovanni,0,10,4.5,Italian
0_6u_uhvLYGRt9YLtZLa9A,Pizzeria Luisenstube,1,4,3,Italian
0123BsbSufx_cKhbbVWmIQ,Rintheimer Stuben im Tsv,2,3,4.5,Anonymous
081EZ8AIZ4QWVaYl_1wUCw,Cafe Carré,3,4,3.5,Coffee & Tea
0h64oEQLhlMrrsko7B1eNA,Sol i Luna Restaurant,2,52,4,Anonymous
0J0FdaT-dhECIrnnlfQqqA,San Marco,2,9,3.5,Pizza
0NWm7KorY2NDl9jAjZPTRw,Thai Orchid,2,4,4.5,Thai
0OTWK0GcabvOWfaqqJsBxw,Mersin Kebab-Pizza-Imbiß,1,4,4,Anonymous
0Q7ftIbv1r7Jiupuxi7WDw,Syrtaki,2,19,3.5,Greek
0SgsUyw0sQSpt6CSI73r6Q,Zum Elsternest,2,6,3.5,Anonymous
0tIwFdNA942oqnm47cnw4w,Watts Brasserie,3,23,3.5,Anonymous
0W3K89HZ6zkNg3AqBMq4Dw,Klenerts,3,7,4,Anonymous
0WiuRhBf8WQlr1UqFgKEXQ,Olive - das kleine Restaurant,2,18,4,Anonymous
126Dmjf_NJs6OJ3ttI-J5Q,McDonald's,2,15,3,Burgers
14FahioZzo_F5LlscNzcUw,Saray Kebap,0,3,3,Anonymous
14qE5P0ZtWe782tWQYwCcw,Herrmannshäusle,3,11,4.5,Anonymous
1FVEeqJv6V6decG4S4ZNFw,Jäger Biergarten,0,3,3.5,Anonymous
1vObhKVuXQF7YX5R6qxwVA,Rote Taube,2,9,4,Anonymous
24nfW5gDvX9ot2hT9rf6xg,Coffee Boxx,2,12,4.5,Cafes
2fS1ssXEmuXH7t2zNx_DZQ,Judy's Café,2,4,4.5,Cafes
2hTbsev_7hF8Fyla0zoUAw,Nuraghe,3,24,4,Italian
2J6pdzKizFye435wkEcMpg,Vongruen,2,5,4,Burgers
2PlaD6xXItbxo0ZbjQ7iQg,Pizzeria Stella Maris,2,5,4.5,Pizza
2QclfX_80Y4T2zZ-h0FlmA,Unterhaus Gaststättenbetriebs,3,5,1.5,Seafood
2x1USZcrV-1zrEDLzaX-lw,Bombay Palace,0,5,3.5,Vegetarian
35Znve8wyIqKcGRJ3vVdLA,Padellino,3,16,3.5,Italian
39zkau4YW8ovL3zUS10SAA,Restaurant Abrahams,3,5,2.5,Anonymous
3C70DNk7sa0KuRJu3zKiXQ,Pomodoro,2,17,4,Italian
3Dk5qrbYaP7lCYyjmo0JRg,Mogogo,2,38,4,Anonymous
3hrqeq7BVC8RP3rJBgCcIA,Pizzeria Fliegender Italiener,2,3,3.5,Italian
3LA8ABDMBZnlEnVMmJ-YIA,Bäckerei-Konditorei Visel,2,5,3,Cafes
-3Qu8aYgOleRw-OThNPovA,Sole d' Oro,2,11,4,Italian
3Rm2NlH_9Tp249DqicoeqQ,Maredo,2,63,3,Steakhouses
3uIRIs9Bs1ImPjfQp-lYoA,Lehner's Wirtshaus,2,64,3.5,Anonymous
3vhkvCQizEJqcPfdURBj3g,amici,2,11,3.5,Italian
41tFQSXt68OyPDbm3GAQdQ,Bangkok Foodland,1,35,4,Thai
43A2uNd1EDp_tZGAzcl0AA,Beyti,1,5,4,Anonymous
4fZtwMekeFdChOBQizz8Fg,Burger King,2,3,2.5,Burgers
4lanRbZT3tZx9Gv63SO7kQ,Pizzeria Centrale,2,28,3.5,Italian
4qI8E_OhC1RsO4nRtim-cQ,Schnitzelparadies,1,5,4,Anonymous
4XZmBXSb-IvtkQ2nx_TQSg,Bambus-Garten,2,10,3,Chinese
516cVatYZRqXcHEdfSTasw,Café Am Markt,2,6,3.5,Cafes
51tbyswAGxdw9mN5qrPGeA,Nat-Pob,2,9,3.5,Thai
5cOhs2bPeCMYA7OdQ3AOrQ,Gasthaus dBadisch,2,5,5,Anonymous
5jb7i9_803c0YejTudYzHA,Shanghai China Schnellrestaurant,3,13,4,Fast Food
5VTBQov3GPKQ-dl-GW4JeA,Cafe Eukalyptus,0,5,4.5,Coffee & Tea
5wfKnQS46yzNQSVfK0Cugg,Class Döner & Pizzahaus Rüppurr,1,4,4,Pizza
5wUave1meYwsd6UFdihW4w,Maiers Restaurant Am See,3,9,4,Anonymous
5xXr_KnqboB4SclCe9d9jg,Falafelhaus,1,13,5,Mediterranean
69-bzg2RpU2mi9T79u6nUg,Gasthaus Adler Rheinstetten,0,4,4,Anonymous
6Ai-Uz3h9eC7UiaLvR-irA,ZEL Restaurant,2,19,4,Pizza
6B2uNKnslhbSFfym3Tw4ZQ,Cafe Brahms,1,3,4.5,Cafes
6FAJctqkP0uwTWfSV3lDSQ,Kofflers Heuriger,2,15,3,Anonymous
6ffwWT-0iWLc7TnKkh-Nuw,Ssc Gaststätte,2,5,3.5,Anonymous
6fYqoI-jc2qpBAGOyWC65A,Zum Laub,2,11,3.5,Steakhouses
-6NaBMeSXBnY7j9p7sdPhw,Brauhaus 2.0,2,25,3,Anonymous
6WbvAT9Il4Fi9egO4F2M5g,La Pizza,2,7,2.5,Italian
6yCm35snSRmCQqXI8MlYSw,Restaurant La Signora,2,13,4,Italian
7a2RrK3SYgMOEuJesKBZLA,Pizzeria Steinofen,1,7,4.5,Italian
7eiSjE-Q8Z9hJXkzfUYlhA,McDonald's,1,4,2.5,Burgers
7GFd-ao4w7MzUDb-qz-ayg,Oishii,2,40,4,Sushi Bars
7jt9kAnYOweq9y2I0uE1Dw,Moghul Mahal,4,11,3.5,Indian
7Sl1qWqsYO_K0Ah7btDzbA,Ristorante Schwanen,2,11,3.5,Mediterranean
8BlSo_rH0CUlkpogYMeN8Q,Fischerheim Durlach,2,12,3.5,Anonymous
8dVpiN5yCnpnhW3DL-2_uA,Landgasthof Hirsch,0,3,3.5,Anonymous
8FgK0h0Kh0BpxhaqDsjaZA,Rim Wang,3,34,3.5,Thai
8KCsKouVZYtpRB0fniPrdg,MoccaSin Coffee,1,6,5,Coffee & Tea
8QhUXk_Y89rMmQHzzBLNBQ,Gasthof Tannweg,1,7,4.5,Anonymous
8R57IiGUkoq6A9DSEmJRcQ,Zur Tränke,0,5,4.5,Anonymous
8rtzGl1pt3YrICBum8cRxA,Restaurant Piro,2,15,3.5,Pizza
8WUOay5hclm0wjKGCRm7Sw,Café Creativ Cuisine,0,4,3.5,Cafes
-8YUIv3tK0Ui1G8KA5c9zA,Hotel-Restaurant Erbprinz,4,15,3.5,Anonymous
96-0tsLAkE3xC0eZ7Jsu_g,Wirtshaus zum Schwanen,0,3,3.5,Anonymous
9HZiyUyDcZl5WCA248mAJA,Imbiß & Bistro Dersim,2,6,3,Fast Food
9jSE6VWYhI_4NRwoXRQQ4w,Dr. Kaffee,1,11,5,Coffee & Tea
9O13j4NIYBkZVfInk6FDEA,Restaurant Weinhaus Steppe,0,5,4.5,Anonymous
9rz7hggrbeIOg1FcQa_uwQ,Borsalino,2,75,3.5,Italian
9sR3wYRz9WxCCCt4Br-T3g,Hartmaier's,4,19,4.5,Seafood
A0g1MhXHME3C1yxc4PCxhA,Pizza Hut,2,11,2.5,Fast Food
A2aS1RVe9nM-CiLa0vN69w,Wirtshaus Zur Rose,2,9,4,Anonymous
AAaF8hc_KTjhi-2HzWdsRg,Hagsfelder Stuben,2,14,4,Steakhouses
ac8dhJhjJgan5T-_KHu_9w,Romulus et Remus,2,18,4,Pizza
acyHuDT1T7naRmWDVfDhXg,Marianne's Flammkuchen,2,31,3.5,French
A-DrNFzlaynJgnPtu8LBMw,Le Restaurant,2,3,5,Vietnamese
aM0RwIaM3IRrCb4mtLwPig,Cielo,2,21,4,Cafes
APr27c-qEfk7RGCPFE_tug,Bep Xua,0,4,4.5,Vietnamese
AThVusdWIYLmXMCVFN5n2w,El Tesoro,1,5,4.5,Cafes
