Business_id,Name,Price Range,Review Count,Stars,Cuisine
__kNfrrGoUXoF-BYciMU_Q,Bite Breakfast & Lunch,2,428,4.5,Breakfast & Brunch
_2FUpthYr7h9VLNbe9Gxyw,Porchlight Grille,1,75,4,American (Traditional)
_2HFbrYZFp2p59hptZeDbw,Subway,1,7,4,Fast Food
_2RBxybvzNmw2k1_jJTe1Q,China Tango,1,150,4,Chinese
_3f8o37w8APyUboCgwPkhA,Buon Gusto Ristorante,2,279,4,Pizza
_3fswReXCBK1Fidkll5Piw,Ben's BBQ & Smokehouse,2,21,3.5,Barbeque
_44__hQ4GxGNRzkhLHBw0A,Carbone,4,152,4,Italian
_45p8kOA__aNycVVe-n-KA,Planet Dailies,2,575,3,American (Traditional)
_4-K6xAYzCEIn_r4B8FB2g,In-N-Out Burger,1,47,4,Burgers
_65BG8jLwJJYihHqPkGH_w,Subway,1,17,2.5,Fast Food
_6gbnNRPIc-iM_0cBLPX1A,Estiatorio Milos,4,755,4,Greek
_6mftzpLyxUd6bk520nT_g,Grape Vine Cafe,2,27,4.5,Mediterranean
_8-pQzmTWT3Vsn3QnrnoUA,Del Taco,1,4,3,Mexican
_9q_TYfKeegwc32Z0mtpYw,EATT Healthy Food,2,33,5,French
_9YyclQi9o9EalWKM8MG0g,Taco Tijuana,1,138,4,Mexican
_agqgl4kkXu_5xKCKP8gcA,Buffalo Wild Wings,2,126,2.5,American (Traditional)
_Aq9R8FRoXq8HwC5qf80Xg,Koi Restaurant,3,489,3.5,Japanese
_aqNCt2RzYu8Qkj0z6A9cw,Palm Pizza,1,24,2.5,Pizza
_aRnypLaHgZ7E9wZqHilOg,Gyro Time,1,59,3.5,Greek
_AzE9doN9QL3Ffwfe9FGKA,Annie's Kitchen,1,8,4.5,Barbeque
_BL-KfyZqYruqDvxTY-vUg,Surang's Thai Kitchen,2,188,4,Thai
_BrLcaVzE6GqBilwmdQOfg,Elixir - A Local Lounge,2,100,4,American (New)
_c6EWrGrbqjDOk99aX3yLQ,Jack In the Box,1,7,3.5,Fast Food
_Ck4AAtkBLsDL9Qcbo9h1Q,Port Of Subs,1,20,4,Anonymous
_cNzmoWpJfIHlsmlMGJuLw,Einstein Bros Bagels,1,54,2.5,Anonymous
_Ec1KaH6DpX-1NNE8fA55Q,Pho Rancho Asian Cuisine,1,209,3.5,Vietnamese
_fcEpudbiTB4o9wLJ-egTA,Grand Café,2,105,3,American (New)
_gPmBXNTJqI5tGhe7G_BKg,Carl's Jr Restaurants,1,12,3,Fast Food
_GWuXjPNBnO56OaT_daPZQ,Zeffirino,3,327,3.5,Seafood
_GZArxAclA3vjhXWIMmvCA,Feast Buffet,2,70,3.5,Anonymous
_i1CmdenYAwLKyBpX3oVHg,Subway,1,12,1.5,Fast Food
_iA0u6ZKehTUvPY7Xp4Jbw,Wings Restaurants,1,80,3.5,Chicken Wings
_ibKsVEx2LMobFd52D0NZg,Verona Pizza,1,50,3.5,Italian
_IDjM6FxLd3sudSm8YBA5A,Subway,1,8,3.5,Fast Food
_I-hcsM-TFQkBgSjpk7JLQ,The View Cafe,1,6,4,Cafes
_iMlWyow-HdId-sFburl8w,Cafe Americano,2,95,3.5,American (New)
_j4jCjlnuUnsvq1UnfF1Ag,Pei Wei,1,91,3.5,Asian Fusion
_jcTmBq7W7p4HOl9nJ4SlA,Wild Grill,1,14,4,American (Traditional)
_jpV3XLukEsSbXkff5_uzQ,Lobster Me,2,10,3.5,Seafood
_K14v9GZVIoQJhrgPJm9MQ,Dairy Queen,1,5,3,Fast Food
_LjNO1X-jFr_HWSfnkTP_Q,Don Vito's Italian,2,117,3.5,Italian
_LsGlbpybDbENusCXuEpyQ,JJ's Boulangerie,2,159,3,Breakfast & Brunch
_m1jiGnFykgtWB07JkOttA,LaBella's Pizzeria,2,38,3.5,Pizza
_MHdQ-eZ3baeGlX0uj2Nyg,Sushi Hiro,2,92,5,Sushi Bars
_MkEsZayoYMMOXE_qCJYgA,Raising Cane's,1,129,4,American (Traditional)
