Business_id,Name,Price Range,Review Count,Stars,Cuisine
__Y2jjdCFHvq3rzSbpDBlw,Café Crèpe,2,20,4,Cafes
_078AkowGpJ00o2FZtnUoA,Sushi St-Denis,2,41,3,Sushi Bars
_0CpbHd0QcxblPByFYkaOw,Burger de Ville,2,41,4,Burgers
_1qRvGFwQdVmJkuSaO0MjA,Tora Sushi,2,7,3.5,Sushi Bars
_2BQyxiY4q6xBNh3LgoX0A,Chez Gerard,0,7,4.5,Burgers
_2HWFHK32CRER39vR40oRQ,Royal Sous-Marins,1,8,3.5,Pizza
_2SV0T9wUI2YK4rEfeLhMg,Orange Burgers & Brunch,2,20,4,Breakfast & Brunch
_-6I6VXjr-NiwIBa_1uI4A,Bistro Sanguinet,1,5,2,Cafes
_-8F1Ry4hQBjYVOX95T6aA,Dim Sum Montreal,1,6,4,Chinese
_8tGPxBYb4aq3fuhOePTgw,Chinoiseries et Dumplings,2,11,3,Chinese
_9_K2oblGMnTVKPdYfAJHA,Beaubien Deli,2,4,4,Pizza
_94uLHACC0jMNoDyI9YpaQ,Resto Chillax,1,7,4,Coffee & Tea
_A9Tahq291sPgIGnmOPDOw,Thaiphon,2,4,2.5,Thai
_B5RZxl6S3nLVV3j0UoQew,La Verita,3,18,5,Italian
_bDQqgRS6POAGi9-yHKDgw,Garde Manger,4,226,4,Seafood
_c98YKUKcD43F7oAPefM8A,Restaurant Kam DO,1,17,3,Chinese
_CcRXoqxDXxhgmvUFCbiQQ,Café Bedondaine,1,4,4,Cafes
_cY8xEvsQz0flCYWOzxD7A,Seoul Chako,2,95,3,Korean
_dgnqH3rz1L_qOGMeihIyA,Le Bourlingueur,2,80,3.5,French
_DyUWCkg-rPnJMKtBWdi-w,Pizza Expreso,1,5,2.5,Pizza
_eWCvyOCsuBXIQCOSVZy4Q,Casey's,2,7,2.5,Canadian (New)
_gb5Hxm5S5U86ejVywETMA,Chez Boris,1,95,4,Coffee & Tea
_ku5mlOIicSVVeXJWZnV4g,Sushi 426,2,5,4,Sushi Bars
_Mkp-ZD_TSmLAjR-BmBg7g,La Capital Tacos,2,55,4,Mexican
_N3MvTGuRApX1nddo2INrQ,Pastamore,1,5,4,Italian
_N4Z8G4uo3y7IMSoNsXmaA,L'Oeufrier,2,3,4,Breakfast & Brunch
_n6ADy2M8XCJerlXTWbvQw,Buffet Fu Lam,2,12,2.5,Chinese
_n-Rb4H20FA1WLPfZimRiw,Taj Mahal,0,3,3.5,Indian
_objC5q_UrNvAaISXBZciQ,Sushi Newman,0,3,4.5,Sushi Bars
_P4bNzVHkm-rQHMxAioZwA,Poutineville,2,81,4,Anonymous
_q4ZzkHAVYEEg7ruKcN2vw,Restaurant Shish-Taouk,1,5,2.5,Middle Eastern
_qZfxjo5_npoJNmycYG7aA,Restaurant Iris,1,6,4.5,Anonymous
_sE20NftkRwtw1VUXM-QJA,L'Orignal,3,131,4,Canadian (New)
_TiNxnxoXMep9pU5wClv6A,Piazza Pazza (La),0,4,4.5,Pizza
_TMU3CFI_JivbU0ucjC5CQ,Ryu,3,8,3.5,Sushi Bars
_U2rYiyKaroF64PYVCWpEg,Jack Astor's Bar & Grill,2,15,3.5,Burgers
_vuqFcv8et3oK52SF2rcFg,Graziella,4,17,3.5,Italian
_wIuXuDCBD8n-74ddw-dIQ,Deli La Trattoria,1,5,5,Canadian (New)
_XdXoDwJNSbx09v8wlynFA,Nolana Pizzeria,2,27,4,Pizza
_z8eyM5pAiW9CtHU2bga1A,Pizzeria Magpie,2,13,3,Pizza
_zgFLQBXMBP7XMhKp6_BYA,Paname Sandwicherie,1,4,4,Fast Food
_ZGgROII4bTkc57decF85A,Bacaro Urban Pizzeria,0,6,3,Italian
0_3EKletnyBQQOAqYrmUnQ,C'ChoColat,2,30,4,Anonymous
039MksBX4qnW6v_wOpA2Ew,Le Ballpark,2,21,4,Italian
03IKzXT_2X8qV__BZdnxtA,Okia,2,4,4,Asian Fusion
08-gH0F1IGXDDlCYEpDbMg,Fiddler's Green,2,53,4,Anonymous
08n_s26U9MCCMe-QvEjwiA,Piri Piri Hochelaga,2,6,4.5,Anonymous
0AvBnd7-gs4Buj2EVlpxMA,Petinos,2,27,4.5,Breakfast & Brunch
0b2-YVU2Oi_LHX6KwmWjpA,Darbar,2,120,4.5,Indian
0b9xK8HknerqoYQQ3z_NYg,Agrikol,2,23,4,Anonymous
0BgWMs-yBOFIkm9jo803Kg,Café Frida,1,34,4.5,Cafes
0bvEdXuzPhZ_MuGA5KjPkA,Pizzeria Bros,2,19,4.5,Pizza
0Bygrn-XjwiYLU57EWpKiA,La Grillia D'Oro,3,4,4.5,Steakhouses
0CSlUTZiecFhGb3CrwEoiQ,Bières et Compagnie,2,3,3.5,Canadian (New)
0DtZaDi7scZJ6c1sRGs8Vw,Ocean Sushi,2,10,3.5,Sushi Bars
0dZDsLpO8xcluLZZ6sXtLA,M Cafe,2,37,3,Cafes
0e0zwBVof4t_CGIelV5gfQ,Presse Café,2,7,2,Coffee & Tea
0F9SlguwWGntcxX-ZG3CSA,Cafe Luna D'oro,0,6,4,Cafes
0FL85lRTZpc1I6HbfnqKuQ,Trattoria Micco,1,6,4.5,Cafes
0fxmzX9vxrOBDGtLWSDb4Q,Rotisserie Ebal,0,5,3,Anonymous
0giHAKqhmiCWS-bMPzMjQw,Aka Fuji,2,17,4,Sushi Bars
0gUfHbaPOZ34U9oAP2dd0w,Casa del Popolo,1,41,4,Vegetarian
0h4Acu2I_OekwGL79lQWnA,Le Square,3,17,3,French
0iyIM1AbDMWjJB5OEw7WVg,Bulldog Beer House,0,3,4,Steakhouses
0JYy7b7rmRH6mmAZ8EuFxQ,Le Zéphire,2,6,2.5,Cafes
0KU-tajtS1YDaqNN_EmPEA,Chennai Express,0,3,4.5,Indian
0lP8Y9-51l7LydplYtDfBg,La Salle à Manger,3,83,4,Breakfast & Brunch
0MQbIFVam9tIRLSdz5_Rag,Le Lotus Bleu Restaurant,1,10,4,Chinese
0ms0KIi4TldMAHSElBoWWg,Kinoya Izakaya,2,33,3,Japanese
0NKoM64Tp6qEvMz-DYWhbw,Les Enfants Terribles,2,28,3,Anonymous
0OhiWafyODzdWh4LR1Fphw,Restaurant Da Vinci,4,26,4,Italian
0OO33xWUYsfIzL9DU4DfXw,Restaurant Du College,2,5,3,Italian
0Pid9Wbjfp6p4BUGPi6Qcg,Terrasse Place D'Armes,2,30,3.5,Canadian (New)
0Q4SxppwaTjQnGhdjy3Hsg,McDonald's,1,3,2.5,Burgers
0QFuPPkKOi9CaQYskMVO5g,Crazy Falafel,1,4,3.5,Mediterranean
0qU9e6D3shl4dxYyiNuqfg,Café Mariposa,1,4,4,Breakfast & Brunch
0Rf3R61n9Ac45mS408n4Ww,Cacao 70,2,185,4,Breakfast & Brunch
0RsYRnk0z2Y_GbK7fB9nLQ,Cabotins,2,8,4,Breakfast & Brunch
0U_EE7Z9P7TKNj2HCbhi8A,Maison Grecque La,2,4,4.5,Greek
0uiTtPZY34OD18dA2CWzqA,Commerce Bar Gastronomique,2,17,3.5,Anonymous
0WhQ8juXQ7CwbuHGKTsFJw,Les Délices de l'Île Maurice,2,8,4.5,Indian
0WkA-i33LYolDZsVjSBavw,Chez Milo & Fine,1,5,4,Cafes
0Wv-7RqDZGRIyLzOM5cdlg,Vie&Nam,2,3,3.5,Vietnamese
0X9e90_Bn1GS0nlF1Icu2w,Bonsa Sushi,2,6,3.5,Sushi Bars
0xiOY84T0FuSBKTtdKAAZA,Chez Benny,2,3,3,Burgers
0XKW_jUfxG8ViW1d2VVNTQ,Five Guys,2,40,3.5,Fast Food
0YTDinp9GH4kj1qp5pfeeA,Madhatter Pub,1,29,3.5,Burgers
0zl6CUKK3OxeoBocBiNC4w,Kazu,2,431,4.5,Japanese
1_c8vjJk6jUk9btzDiMe0A,Bistro Entre Ciel Et Terre,2,16,4,Anonymous
16jP9XNNLLv7e_hpLX_jIA,F+F Pizza,2,19,3.5,Pizza
1aHoOynysVOQnkethOWWkA,Rotisserie Portugalia,2,23,3.5,Anonymous
1bPngA5zYQjTvt-qQ4xJqw,Le Local,3,96,4,French
1Dba1fUiAMSpPmR0pI05ag,Azteca,2,10,4,Mexican
1dmFVHlSC-rBi0FyCzU2kA,Le Pionnier,2,3,3,Barbeque
1dprSfGrxNxgYiuYcmb3FQ,Liverpool House,3,152,4,French
1EBp5c5t6QzfT8eozTahVQ,El Chalateco,2,15,4,Anonymous
1eLPQ67ayM5JoV7O7mn0kQ,Restaurant Amaranto,2,27,4.5,Mexican
1Ep5GrhzLlU863gTMyPvng,Restaurant Senatore,0,3,2.5,Canadian (New)
1I_lxaBBCK4TqYliZhfokg,MStar Sandwich,0,3,4.5,Anonymous
1kbC_52wOm8FxbbmZWS3Yw,JoBlo,2,32,3.5,Steakhouses
1KFrIIhGMKwo2IvWnwAoSg,Chow's Restaurant Chinese Food,1,11,3.5,Chinese
1mGjUeBlm3Z3LDFsbTYqwQ,Restaurant Zibo,2,14,2.5,Pizza
1mOxsDg-r02Ftfpl_D3Xfw,Restaurant Côba,4,7,3.5,Thai
1nYhyiluPnAGssHin3dU1g,Galo,2,9,4,Barbeque
1OFxKn4wSmUw8Ioo7OU_-Q,Brioche Dorée,2,8,3.5,Cafes
1ohCXrrWNxcqKJXbyyajWw,Ichigo Ichie,2,20,4.5,Japanese
1P3EU4xdvG5fJgqlp9KFrw,Le Mitoyen,4,4,5,French
1ph8PZjCMXdui-RCC3v-fA,Burger de Ville,2,42,3.5,Burgers
1RLGEWT2iU_wYUr6L6QQzg,Reuben's,2,63,3.5,American (Traditional)
