Business_id,Name,Price Range,Review Count,Stars,Cuisine
__CQhr0M-OpKdu0DXgGcaQ,Sylvia's La Canasta,1,7,2.5,Mexican
__kNfrrGoUXoF-BYciMU_Q,Bite Breakfast & Lunch,2,428,4.5,Breakfast & Brunch
__Y2jjdCFHvq3rzSbpDBlw,Café Crèpe,2,20,4,Cafes
_078AkowGpJ00o2FZtnUoA,Sushi St-Denis,2,41,3,Sushi Bars
_0CpbHd0QcxblPByFYkaOw,Burger de Ville,2,41,4,Burgers
_0LwsuDU1lG2lwFBrCgzCA,Red Bowl Asian Bistro,2,50,3.5,Thai
_0UC6YiwhkgLOJWxMmMQQQ,Giorgio's Place,1,25,3.5,Pizza
_0xMKAK1_ODB_k1CKiI__Q,Yum Yum,1,3,3.5,Fast Food
_-1EgXrkOlKajCsmasuEgg,Village Tavern and Trattoria,2,28,3.5,Italian
_1GI_asXVGhOJMNF51SdlQ,Taco Bell,1,6,2.5,Fast Food
_1kpFsEZH1VxPcTtEMtd1Q,Pizza Hut,1,6,1.5,Pizza
_1qRvGFwQdVmJkuSaO0MjA,Tora Sushi,2,7,3.5,Sushi Bars
_20WCD89imWx15jlxv7kGg,Seksun Sushi,2,134,3.5,Sushi Bars
_2BQyxiY4q6xBNh3LgoX0A,Chez Gerard,0,7,4.5,Burgers
_2DT03K8fWh82Y9tBVYMKQ,Subway,1,8,3.5,Fast Food
_2FUpthYr7h9VLNbe9Gxyw,Porchlight Grille,1,75,4,American (Traditional)
_2HFbrYZFp2p59hptZeDbw,Subway,1,7,4,Fast Food
_2HWFHK32CRER39vR40oRQ,Royal Sous-Marins,1,8,3.5,Pizza
_2RBxybvzNmw2k1_jJTe1Q,China Tango,1,150,4,Chinese
_2SV0T9wUI2YK4rEfeLhMg,Orange Burgers & Brunch,2,20,4,Breakfast & Brunch
_31B--Q8eNp8ZLQ8bJabOw,Nor Loch Bar,3,11,2.5,British
_3f8o37w8APyUboCgwPkhA,Buon Gusto Ristorante,2,279,4,Pizza
_3fswReXCBK1Fidkll5Piw,Ben's BBQ & Smokehouse,2,21,3.5,Barbeque
_3Hpnxe1sJ6GOLpSRkgWyQ,Hungry Howie's Pizza,1,25,3,Pizza
_4_Qn9WZVwofeaqjgQG2Zw,Fahrenheit,3,334,3.5,American (New)
_44__hQ4GxGNRzkhLHBw0A,Carbone,4,152,4,Italian
_45p8kOA__aNycVVe-n-KA,Planet Dailies,2,575,3,American (Traditional)
_4-K6xAYzCEIn_r4B8FB2g,In-N-Out Burger,1,47,4,Burgers
_5FOD8UZxyJVWnnoAXq-GQ,Wendy's,0,11,1.5,Burgers
_5Hp0LNdX6ZLsQRAFFCVYg,Vocelli Pizza,1,6,3.5,Pizza
_5qkBSljHlRo5B9GQLDp3w,Subway,0,6,3.5,Fast Food
_5wB2ahFLsGA5L43XSAdSg,McDonald's,1,5,2,Burgers
_65BG8jLwJJYihHqPkGH_w,Subway,1,17,2.5,Fast Food
_6gbnNRPIc-iM_0cBLPX1A,Estiatorio Milos,4,755,4,Greek
_-6I6VXjr-NiwIBa_1uI4A,Bistro Sanguinet,1,5,2,Cafes
_6l_vm7_maYTfO5tpei27A,Stable Bar,3,11,4.5,British
_6MDHQQ-PeUJ9CP-MoKApA,Pancake Cafe,2,36,2.5,Breakfast & Brunch
_6mftzpLyxUd6bk520nT_g,Grape Vine Cafe,2,27,4.5,Mediterranean
_6rAAUCDoeJKiLNwHOaS1g,McDonald's,0,7,2.5,Burgers
_6rzEUOYbo7lgtkSKkKS9g,Culver's,1,79,3.5,Burgers
_72Q2LjA3_Tas16Brg8GiA,Fryers Delight,1,5,3.5,Anonymous
_7EJtWjOjZsBUNRvzw-_Xg,Johnny Rockets,2,86,2,Burgers
_-8F1Ry4hQBjYVOX95T6aA,Dim Sum Montreal,1,6,4,Chinese
_8-pQzmTWT3Vsn3QnrnoUA,Del Taco,1,4,3,Mexican
_8QoZBmm4hzyrPMdAwXhZQ,The Mandrake,2,56,3.5,Anonymous
_8tGPxBYb4aq3fuhOePTgw,Chinoiseries et Dumplings,2,11,3,Chinese
_8tUKyMRMMt1YSlac04eqg,Schiffsrestaurant Vater Rhein,2,3,3.5,Anonymous
_8Y-XNHmQ76xmxUQIrn0sA,Blimpie,1,15,3.5,Anonymous
_9_K2oblGMnTVKPdYfAJHA,Beaubien Deli,2,4,4,Pizza
_91N3Q_MB5Nula56ZWXzSA,Shoney's Restaurants,0,18,2,Burgers
_94uLHACC0jMNoDyI9YpaQ,Resto Chillax,1,7,4,Coffee & Tea
_9h-jH3YOkAU9-2A-dy6YQ,Old Chicago,2,124,3.5,Anonymous
_9Kk6zyna1T5CZoaBy_YCg,Federico's Mexican Food,1,12,2.5,Mexican
_9q_TYfKeegwc32Z0mtpYw,EATT Healthy Food,2,33,5,French
_9TAKW96z3RuWLHjKVlqDw,The Three Coins,1,12,5,Pizza
_9wiSQbsRe0fiVeHQkxygQ,Filibertos Mexican Food,1,27,3.5,Mexican
_9yrJLQpFa4JWvJ74xuHpw,Yen Ching,1,32,3.5,Chinese
_9YyclQi9o9EalWKM8MG0g,Taco Tijuana,1,138,4,Mexican
_A4zWsLoLbjozEJYHLDx0Q,Little Italy Pizza & Restaurant,2,69,4,Pizza
_A9Tahq291sPgIGnmOPDOw,Thaiphon,2,4,2.5,Thai
_agqgl4kkXu_5xKCKP8gcA,Buffalo Wild Wings,2,126,2.5,American (Traditional)
_aGVicux2dJm9sqzLSCJtg,Subway,1,3,3.5,Fast Food
_Aq9R8FRoXq8HwC5qf80Xg,Koi Restaurant,3,489,3.5,Japanese
