Business_id,Name,Price Range,Review Count,Stars,Cuisine
__CQhr0M-OpKdu0DXgGcaQ,Sylvia's La Canasta,1,7,2.5,Mexican
_1GI_asXVGhOJMNF51SdlQ,Taco Bell,1,6,2.5,Fast Food
_1kpFsEZH1VxPcTtEMtd1Q,Pizza Hut,1,6,1.5,Pizza
_20WCD89imWx15jlxv7kGg,Seksun Sushi,2,134,3.5,Sushi Bars
_2DT03K8fWh82Y9tBVYMKQ,Subway,1,8,3.5,Fast Food
_3Hpnxe1sJ6GOLpSRkgWyQ,Hungry Howie's Pizza,1,25,3,Pizza
_5FOD8UZxyJVWnnoAXq-GQ,Wendy's,0,11,1.5,Burgers
_5qkBSljHlRo5B9GQLDp3w,Subway,0,6,3.5,Fast Food
_5wB2ahFLsGA5L43XSAdSg,McDonald's,1,5,2,Burgers
_6rAAUCDoeJKiLNwHOaS1g,McDonald's,0,7,2.5,Burgers
_6rzEUOYbo7lgtkSKkKS9g,Culver's,1,79,3.5,Burgers
_7EJtWjOjZsBUNRvzw-_Xg,Johnny Rockets,2,86,2,Burgers
_8Y-XNHmQ76xmxUQIrn0sA,Blimpie,1,15,3.5,Anonymous
_9h-jH3YOkAU9-2A-dy6YQ,Old Chicago,2,124,3.5,Anonymous
_9Kk6zyna1T5CZoaBy_YCg,Federico's Mexican Food,1,12,2.5,Mexican
_9wiSQbsRe0fiVeHQkxygQ,Filibertos Mexican Food,1,27,3.5,Mexican
_9yrJLQpFa4JWvJ74xuHpw,Yen Ching,1,32,3.5,Chinese
_A4zWsLoLbjozEJYHLDx0Q,Little Italy Pizza & Restaurant,2,69,4,Pizza
_AvHni-xdRHmZ3XfYHwGkg,Posh Improvisational Cuisine,4,334,4,American (New)
_B_ksb_rYxfnHE0kbuezSQ,Charley's Grilled Subs,1,3,3.5,Anonymous
_B70VqLL-VLj3BUbBMLmFA,Subway,0,4,2.5,Fast Food
_BU867oRCLZnDIRmg7S6Wg,Chili's Grill & Bar,2,77,3,Tex-Mex
_CG5zJAoNN6gszjhSyUcww,Chodang,2,264,4,Korean
_CIodPGuvPP2khYkDk1jKw,Taqueria Los Yaquis,1,159,4.5,Fast Food
_CzopXSIYIp7_oeYNYVwWQ,Papa Sam's Chicago Style Pizzeria,1,48,3.5,Italian
_D3KUba-5fHTbucTBAnigw,Wendy's,1,14,2.5,Burgers
_DjAApQ5qhhHP5H_gzX57A,Ocarnivores,0,4,1,Mexican
_dVPzYGXKNg2rIsc40VtyA,Jack-In-the Box,1,14,3,Fast Food
_DZfwU9dE9Q5I1-1jiM1vQ,Little Chicago Pizza,2,99,4,Pizza
_eCrBSIXbGEW62ynS2_0lA,KFC,1,22,2,Fast Food
_EdSQOkATuCtZ5y5A2m0rw,Arby's,1,7,2.5,American (New)
_EUbTaB4OUWoIcC6wc8_8g,Papa Murphy's,1,13,4,Pizza
_Ex3OUT0CBJxmn7M_ihzjg,Mafia Mike's Pizza,0,4,2,Pizza
_eymim7Di9WjVOxT4OSnjg,Pizza Studio,1,119,4,Pizza
_F2DNPjsqgkAd50zuX8dYQ,Harold's Corral,2,246,3.5,American (Traditional)
_fEbyHiAsCMAwd7FzNljWg,Taco Bell,1,15,3.5,Fast Food
_fMcFF-O4tUpVC6C23uyUQ,McDonald's,0,4,4,Burgers
_FXql6eVhbM923RdCi94SA,Hula's Modern Tiki,2,887,4,Seafood
_GnpdDmPqtrXkUHZ8YtvwA,Ada's Fish Fry,2,139,4.5,Seafood
_GWZRML1R9iHNSSo4i2MPA,Loreto's Mexican Food,1,14,4,Mexican
_gXpjRIjb5fv5f5IVGXvsw,Del Taco,1,27,3.5,Fast Food
_HGheM2jzKEZFqkT4kyViQ,Cartel Coffee Lab,1,244,4,Coffee & Tea
_HTE4pOKeJC7kcxiCF9vTA,Noodles Ranch,2,345,4,Vietnamese
_hTnLGWujfiZhIaCwWH8Ng,Bamboo Cafe,2,69,3.5,Chinese
_INaOLXnLK4cvX32CowuKw,Basil & Garlic Bistro,2,174,4.5,Italian
_io-CVnCgHyt0vpTCrP13A,Brother's Pizza,1,63,4,Italian
_jbeTDw6XSuvLaR1V_z8jw,Copper Plate An American Grill,2,20,3,American (New)
_JOTuEUnD1pU4IDIhiti5A,Taco Bell,1,7,3,Fast Food
_k2-7p9iwZOvtz59119WvA,Brenda's Kitchen,1,47,4.5,Breakfast & Brunch
_K5cfCM7-zQZ1hXdbsc2fQ,Tom Yum Authentic Thai,2,167,4,Thai
_k-f7k30E6Y8bd9kGKAuvA,Burger King,1,7,2,Burgers
_KGe3v1OzRnUmKhb3VkDgg,Dobson's Restaurant,2,15,4,American (Traditional)
_kXCU1R5-PLXRFW66la5rA,Dairy Queen,2,4,3,Fast Food
_L9E4eZWX0vdePNjU1xtuQ,Toyama,2,91,4,Sushi Bars
_Ld11xPo9puP3jBCNVkw2w,Social Tap,2,59,4.5,American (New)
_leflhF7uTuhDeGqXY6Kuw,Five Guys,2,32,3.5,Burgers
_lqPP1XZcI32DtI6pzWywA,Bistro a la Mode,2,28,4.5,Cafes
