Business_id,Name,Price Range,Review Count,Stars,Cuisine
_-EB8tQzBlM_jLkgtRw4Rg,Jack Astor's Bar & Grill,2,7,3,Burgers
_gXohynLlr_L-lCfonNjOg,Grand Trunk Saloon,2,5,4,Anonymous
_JCjTIKSZxSO5PuHE0rXBg,Williams Fresh Cafe,1,6,3.5,Cafes
_pmjqKf9iZ6zLPCiLoClYg,The Java Garden,1,4,5,Cafes
_yPgKR2Q9IJZ_sWDwvmq1g,J & B Family Restaurant,2,7,5,Canadian (New)
03eWcf0c0PciZt_gVATwMw,Swiss Chalet Rotisserie & Grill,2,3,4.5,American (Traditional)
0IM89Z0KaBnmCo5Or2-FDg,Black Forest Inn,2,5,2.5,Anonymous
0jSLF-sYd23ZUAvXwqHDPg,Bhima's Warung,3,58,4,Anonymous
0LAazCkT204ZB5636IS5zg,Dynamite Pizza,0,4,4,Pizza
0SVfpByEWCWgdWgDr5lPNQ,Cafe Pyrus,2,22,4,Coffee & Tea
0vZk2_dbdgShL8jk-wYUdg,Ginos Pizza,1,3,3.5,Pizza
1_AcAa6m09HVXrfm-1B5Tg,Lai Lai Restaurant,2,6,3.5,Chinese
1FFatRz562qU7sSwrkkbqA,Big John's Submarines,1,5,4.5,Anonymous
-2BNc33MHRuXljtCkXcLPg,Lion Brewery Restaurant,2,7,2.5,Breakfast & Brunch
2bzcJo6z_ipeDGLf009Xpw,Southern Ontario Smoked BBQ,2,18,3.5,Barbeque
2ekt7hZde4jY7fenBuG-pw,Mozy's Shawarma,1,73,4.5,Middle Eastern
2nsDAIDkyD1sfE4ImA0oYw,Uni Wok,0,4,4,Chinese
2uAu33sEzH32T_MACquC8w,Twice the Deal Pizza,1,16,3.5,Pizza
39JxLjxeG1sKSBjmREWcMw,Shawerma Plus,2,28,4,Middle Eastern
3hABcvH_N883tCvZE0GY9Q,The Works,2,10,4,Burgers
3iWbq5QqLIgusVI2-PuUgQ,1001 Nights Shawarma,2,9,5,Middle Eastern
3V0W5s4rqjAlwEQvx2VQLQ,Dragon Court Restaurant,2,4,4,Chinese
3VSgwEgiYQg9xulyRjvYTg,Costco Wholesale,3,5,2.5,Anonymous
