Business_id,Name,City,Price Range,Review Count,Stars,Cuisine
__CQhr0M-OpKdu0DXgGcaQ,Sylvia's La Canasta,Phoenix,1,7,2.5,Mexican
__kNfrrGoUXoF-BYciMU_Q,Bite Breakfast & Lunch,Las Vegas,2,428,4.5,Breakfast & Brunch
__Y2jjdCFHvq3rzSbpDBlw,Café Crèpe,montreal,2,20,4,Cafes
_078AkowGpJ00o2FZtnUoA,Sushi St-Denis,montreal,2,41,3,Sushi Bars
_0CpbHd0QcxblPByFYkaOw,Burger de Ville,montreal,2,41,4,Burgers
_0LwsuDU1lG2lwFBrCgzCA,Red Bowl Asian Bistro,Charlotte,2,50,3.5,Thai
_0UC6YiwhkgLOJWxMmMQQQ,Giorgio's Place,Pittsburgh,1,25,3.5,Pizza
_0xMKAK1_ODB_k1CKiI__Q,Yum Yum,Edinburgh,1,3,3.5,Fast Food
_-1EgXrkOlKajCsmasuEgg,Village Tavern and Trattoria,Pittsburgh,2,28,3.5,Italian
_1GI_asXVGhOJMNF51SdlQ,Taco Bell,Glendale,1,6,2.5,Fast Food
_1kpFsEZH1VxPcTtEMtd1Q,Pizza Hut,Avondale,1,6,1.5,Pizza
_1qRvGFwQdVmJkuSaO0MjA,Tora Sushi,montreal,2,7,3.5,Sushi Bars
_20WCD89imWx15jlxv7kGg,Seksun Sushi,Chandler,2,134,3.5,Sushi Bars
_2BQyxiY4q6xBNh3LgoX0A,Chez Gerard,Fabreville,0,7,4.5,Burgers
_2DT03K8fWh82Y9tBVYMKQ,Subway,Phoenix,1,8,3.5,Fast Food
_2FUpthYr7h9VLNbe9Gxyw,Porchlight Grille,Las Vegas,1,75,4,American (Traditional)
_2HFbrYZFp2p59hptZeDbw,Subway,Las Vegas,1,7,4,Fast Food
_2HWFHK32CRER39vR40oRQ,Royal Sous-Marins,montreal,1,8,3.5,Pizza
_2RBxybvzNmw2k1_jJTe1Q,China Tango,Henderson,1,150,4,Chinese
_2SV0T9wUI2YK4rEfeLhMg,Orange Burgers & Brunch,montreal,2,20,4,Breakfast & Brunch
_31B--Q8eNp8ZLQ8bJabOw,Nor Loch Bar,Edinburgh,3,11,2.5,British
_3f8o37w8APyUboCgwPkhA,Buon Gusto Ristorante,Henderson,2,279,4,Pizza
_3fswReXCBK1Fidkll5Piw,Ben's BBQ & Smokehouse,Las Vegas,2,21,3.5,Barbeque
_3Hpnxe1sJ6GOLpSRkgWyQ,Hungry Howie's Pizza,Phoenix,1,25,3,Pizza
_4_Qn9WZVwofeaqjgQG2Zw,Fahrenheit,Charlotte,3,334,3.5,American (New)
_44__hQ4GxGNRzkhLHBw0A,Carbone,Las Vegas,4,152,4,Italian
_45p8kOA__aNycVVe-n-KA,Planet Dailies,Las Vegas,2,575,3,American (Traditional)
_4-K6xAYzCEIn_r4B8FB2g,In-N-Out Burger,North Las Vegas,1,47,4,Burgers
_5FOD8UZxyJVWnnoAXq-GQ,Wendy's,Mesa,0,11,1.5,Burgers
_5Hp0LNdX6ZLsQRAFFCVYg,Vocelli Pizza,Swissvale,1,6,3.5,Pizza
_5qkBSljHlRo5B9GQLDp3w,Subway,Phoenix,0,6,3.5,Fast Food
_5wB2ahFLsGA5L43XSAdSg,McDonald's,Florence,1,5,2,Burgers
_65BG8jLwJJYihHqPkGH_w,Subway,Las Vegas,1,17,2.5,Fast Food
_6gbnNRPIc-iM_0cBLPX1A,Estiatorio Milos,Las Vegas,4,755,4,Greek
_-6I6VXjr-NiwIBa_1uI4A,Bistro Sanguinet,montreal,1,5,2,Cafes
_6l_vm7_maYTfO5tpei27A,Stable Bar,Edinburgh,3,11,4.5,British
_6MDHQQ-PeUJ9CP-MoKApA,Pancake Cafe,Madison,2,36,2.5,Breakfast & Brunch
_6mftzpLyxUd6bk520nT_g,Grape Vine Cafe,Las Vegas,2,27,4.5,Mediterranean
_6rAAUCDoeJKiLNwHOaS1g,McDonald's,Maricopa,0,7,2.5,Burgers
_6rzEUOYbo7lgtkSKkKS9g,Culver's,Surprise,1,79,3.5,Burgers
_72Q2LjA3_Tas16Brg8GiA,Fryers Delight,Edinburgh,1,5,3.5,Anonymous
_7EJtWjOjZsBUNRvzw-_Xg,Johnny Rockets,Glendale,2,86,2,Burgers
_-8F1Ry4hQBjYVOX95T6aA,Dim Sum Montreal,montreal,1,6,4,Chinese
_8-pQzmTWT3Vsn3QnrnoUA,Del Taco,Las Vegas,1,4,3,Mexican
_8QoZBmm4hzyrPMdAwXhZQ,The Mandrake,Charlotte,2,56,3.5,Anonymous
_8tGPxBYb4aq3fuhOePTgw,Chinoiseries et Dumplings,montreal,2,11,3,Chinese
_8tUKyMRMMt1YSlac04eqg,Schiffsrestaurant Vater Rhein,Karlsruhe,2,3,3.5,Anonymous
_8Y-XNHmQ76xmxUQIrn0sA,Blimpie,Phoenix,1,15,3.5,Anonymous
_9_K2oblGMnTVKPdYfAJHA,Beaubien Deli,montreal,2,4,4,Pizza
_91N3Q_MB5Nula56ZWXzSA,Shoney's Restaurants,Charlotte,0,18,2,Burgers
_94uLHACC0jMNoDyI9YpaQ,Resto Chillax,montreal,1,7,4,Coffee & Tea
_9h-jH3YOkAU9-2A-dy6YQ,Old Chicago,Mesa,2,124,3.5,Anonymous
_9Kk6zyna1T5CZoaBy_YCg,Federico's Mexican Food,El Mirage,1,12,2.5,Mexican
_9q_TYfKeegwc32Z0mtpYw,EATT Healthy Food,Las Vegas,2,33,5,French
_9TAKW96z3RuWLHjKVlqDw,The Three Coins,Edinburgh,1,12,5,Pizza
_9wiSQbsRe0fiVeHQkxygQ,Filibertos Mexican Food,Queen Creek,1,27,3.5,Mexican
_9yrJLQpFa4JWvJ74xuHpw,Yen Ching,Mesa,1,32,3.5,Chinese
_9YyclQi9o9EalWKM8MG0g,Taco Tijuana,Las Vegas,1,138,4,Mexican
_A4zWsLoLbjozEJYHLDx0Q,Little Italy Pizza & Restaurant,Gila Bend,2,69,4,Pizza
_A9Tahq291sPgIGnmOPDOw,Thaiphon,montreal,2,4,2.5,Thai
